FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5800000,0,47,3.1,5.3448275862069E-07,8.10344827586207E-06,0,711413,0,21,0,0,0,2,0,8.1,8685,-2,1,47,2,0.3,0,1.8,3,0,4,0,3,2.6,787449,0,-1,0,1,1088,137,-1,0,134,Crystal Palace,West Ham,Tottenham,Newcastle,Wolverhampton,0,0,0,0,0,2.2,2.7,1.8,3,4.1,3.8,1.9,4.4,2.5,3.1,2,3.5,2.5,3.7,2.6,2.5,3.1,84.3
Max,Aarons,DEF,NOR,4300000,0,33,1.9,4.41860465116279E-07,7.67441860465116E-06,0,153162,4,34,0,0,0,0,0,7.7,1152,-2,0,33,2,0.6,0,2.7,2,0,3,0,1,1.2,75826,1,-1,0,0,1530,470,0,0,234,Aston Villa,Arsenal,Crystal Palace,Leicester,Everton,1.8,0,2.2,1,1.1,1.9,1,1.6,2.1,2,1,1.9,1.5,1.9,1.6,1.8,1.6,1.4,1,1.8,1.3,2.7,60
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,41927,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Everton,Wolverhampton,Aston Villa,Brighton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,0,47,3.9,5.73529411764706E-07,6.91176470588235E-06,0,301791,0,13,0,0,0,3,0,6.9,5203,-2,0,47,2,0.5,0,3.5,7,0,3,0,2,1,231034,0,-1,0,0,857,57,0,0,159,Crystal Palace,West Ham,Tottenham,Newcastle,Wolverhampton,0,0,0,0,0,3.1,3.8,2.7,4.3,5.5,5.2,2.8,5.6,3.6,4.4,2.9,4.8,3.5,5.1,3.7,3.6,4.4,63.3
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,17067,0,0,0,0,0,0,0,0,86,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,7838,0,-1,0,0,0,13,0,0,0,Newcastle,Tottenham,Leeds United F.C.,Leicester,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,0,41,2.5625,5.9593023255814E-07,9.53488372093023E-06,0,62231,1,4,0,0,0,0,0,9.5,2826,-2,0,41,2,1.1,0,4.8,3,0,5,0,1,1.2,118249,0,-1,0,0,718,2902,0,0,166,Brighton,Chelsea,Watford,Arsenal,Man Utd,0,2.7,1.5,2.4,2.8,2,3,3.1,3.2,1.9,2.8,2.3,2.4,2.9,2.5,1.7,2.9,2.3,2.4,3.3,2.4,3.3,41.1
Kristoffer,Ajer,DEF,BRE,4400000,0,24,3.4,7.72727272727273E-07,5.45454545454545E-06,0,110235,1,6,0,0,0,0,0,5.5,323,-1,0,24,1,0,0,0,1,0,3,0,0,0.5,90570,0,-1,0,0,565,9,0,0,101,Brighton,Man City,Aston Villa,Liverpool,Wolverhampton,0,0,0,0,4,4.6,3.2,4.3,3.7,3.5,3.2,3.4,3.9,3,4.7,4,2.4,5,4,3.3,3.5,4.4,16.1
Nathan,Ake,DEF,MCI,4700000,7,24,1.5,3.19148936170213E-07,5.1063829787234E-06,0,56809,0,2,0,0,0,1,0,5.1,127,-3,0,24,3,0.4,0,1.7,0,0,2,0,0,0.4,38800,0,-1,0,0,399,474,0,0,102,Leeds United F.C.,Newcastle,Leicester,Brentford F.C.,Arsenal,1.4,0.8,0.8,1.2,0.9,1.3,0.8,1.3,0.9,1.9,0.9,1,0.8,1.1,0.9,1.5,0.9,0.8,1.1,0.9,1.1,1.2,14.4
Marc,Albrighton,MID,LEI,5200000,0,14,0.875,1.68269230769231E-07,2.69230769230769E-06,0,27398,1,5,0,0,0,1,0,2.7,43,-3,0,14,3,0.2,0,0.8,1,0,0,0,0,0.1,16821,0,-1,0,0,314,29,0,0,54,Man City,Liverpool,Norwich,Burnley,Brighton,0,0,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,16.4
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2216,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Liverpool,Crystal Palace,Southampton,Watford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
