FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,6000000,5,13,4.3,7.16666666666667E-07,2.16666666666667E-06,0,72031,0,6,0,0,0,1,0,2.2,6841,0,0,13,0,0.7,0,4.3,0,0,0,0,1,3.6,229703,0,-1,0,0,270,10152,0,0,38,Newcastle,West Ham,Man City,Wolverhampton,Chelsea,4.6,5.5,2.2,5.9,2.2,5.6,5.4,4.2,6.1,5.2,2.3,6.4,5.5,5.2,2.6,4.8,3.9,2.9,6.4,4.8,6.4,2.2,4.3,5.2,6.1,2.3,6.4,2.9,3.1,2.7,6.1,3,5.8,2.2,3.2,2.2,19.2
Max,Aarons,DEF,NOR,4500000,3,4,1.3,2.88888888888889E-07,8.88888888888889E-07,0,41038,0,10,0,0,0,0,0,0.9,2145,0,0,4,0,0.3,0,1.3,2,0,0,0,0,1.9,15534,0,-1,0,0,270,1038,0,0,50,Leicester,Arsenal,Watford,Everton,Burnley,1.4,1.3,0.8,0.6,0.6,0.9,0.7,1.1,0.6,0.6,1.3,0.6,1.7,2,1,0.6,1.3,0.6,0.6,0.6,0.6,1.2,2,1,0.6,1.3,0.7,0.7,0.6,0.9,1.6,0.6,0.6,0.6,1.3,1.7,15
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,34757,0,0,0,0,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2438,0,-1,0,0,0,0,0,0,0,Liverpool,Aston Villa,Tottenham,Man City,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,7000000,2,12,4,5.71428571428571E-07,1.71428571428571E-06,0,45503,0,5,0,0,0,0,0,1.7,5660,0,0,12,0,0.6,0,4,0,0,0,0,2,2.2,71522,0,-1,0,0,250,2626,0,0,34,Newcastle,West Ham,Man City,Wolverhampton,Chelsea,4.2,5,2,5.3,2,5.1,4.9,3.8,5.5,4.8,2,6,5,4.8,2.3,4.3,3.4,2.6,6,4.4,6,2,3.9,4.7,5.7,2,6,2.6,2.7,2.4,5.7,2.7,5.3,2,2.9,2,14.6
,Adrian,GLK,LIV,4500000,0,0,0,0,0,0,4441,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1287,0,-1,0,0,0,109,0,0,0,Chelsea,Leeds United F.C.,Crystal Palace,Brentford F.C.,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4400000,0,1,0.5,1.13636363636364E-07,2.27272727272727E-07,0,14601,0,0,0,0,0,0,0,0.2,645,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.4,1878,0,-1,0,0,6,213,0,0,5,Man Utd,Watford,Brentford F.C.,Southampton,Newcastle,0.6,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.2,0.2,0.3,0.7,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.2,1
Kristoffer,Ajer,DEF,BRE,4500000,2,14,4.7,1.04444444444444E-06,3.11111111111111E-06,0,9924,0,1,0,0,0,0,0,3.1,810,0,0,14,0,1,0,4.7,0,0,2,0,0,1,29120,0,-1,0,0,250,1869,0,0,54,Aston Villa,Brighton,Wolverhampton,Liverpool,West Ham,2.4,6.9,4.7,7,2.4,6.4,7,3.1,6,2.4,4.7,4.7,3.9,6.7,7,2.4,3,7,7,4.7,7,2.4,7,4.7,5.3,3.5,7,2.4,3.9,4.2,2.4,7,4,5.6,2.4,7,7.2
Nathan,Ake,DEF,MCI,5000000,0,2,1,2E-07,4E-07,0,17009,0,1,0,0,0,0,0,0.4,1844,0,0,2,0,0.1,0,0.7,0,0,0,0,0,0.5,12966,0,-1,0,0,90,349,0,0,15,Arsenal,Leicester,Southampton,Chelsea,Liverpool,1.2,0.5,0.6,0.5,0.5,0.9,0.5,1.1,0.5,0.5,0.5,0.5,0.5,1.2,1.1,0.5,1.3,0.5,0.5,0.8,0.5,1.2,0.5,1.5,0.5,1.5,0.5,0.9,0.5,0.9,0.5,0.8,0.5,0.5,0.5,1,2.8
Marc,Albrighton,MID,LEI,5400000,7,7,3.5,6.48148148148148E-07,1.2962962962963E-06,0,5972,1,1,0,0,0,1,0,1.3,219,-1,0,7,1,0.4,0,2.3,1,0,0,0,0,0.2,2256,0,-1,0,0,90,559,0,0,26,Norwich,Man City,Brighton,Burnley,Crystal Palace,1.8,5.2,1.8,4.9,1.8,3.5,1.8,4.5,1.8,3.4,5.2,1.8,1.8,4.7,2.8,1.8,1.8,2.5,4.3,1.8,3.8,1.8,3,1.8,1.8,4.3,1.8,4.5,1.8,4.9,1.8,4.8,1.8,3.6,1.8,4.5,6.3
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,1604,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Watford,Crystal Palace,Chelsea,Arsenal,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
