FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,6000000,5,41,3.7,6.16666666666667E-07,6.83333333333333E-06,0,476440,0,12,0,0,0,2,0,6.8,7401,0,0,41,0,0.8,0,5,3,0,4,0,3,4.2,690412,0,-1,0,1,874,5043,0,0,120,Norwich,Liverpool,Leicester,Brighton,Arsenal,4,3.1,4.5,3.5,3.2,2.9,3.4,3.7,4.2,5,3.7,3.1,3.4,4.7,4.3,4.6,2.8,4.9,3.8,4.6,2.1,4.1,3.8,4.2,3.9,2.9,4.4,65.5
Max,Aarons,DEF,NOR,4300000,5,22,1.8,4.18604651162791E-07,5.11627906976744E-06,0,135996,3,27,0,0,0,0,0,5.1,485,-2,0,22,2,0.2,0,1,2,0,2,0,1,1.2,57015,1,-1,0,0,1080,465,0,0,160,Southampton,Wolverhampton,Newcastle,Tottenham,Man Utd,1.2,0.9,0.9,1.9,1.2,1.5,1.4,1.7,0.9,1,1.6,0.9,1.4,1.7,1.8,0.9,1.5,1.4,1.5,1.6,1.4,1.6,1,0.9,1.4,1.2,2.3,41.2
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,41689,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Leicester,Man Utd,Watford,West Ham,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,9,35,3.9,5.73529411764706E-07,5.14705882352941E-06,0,208000,0,7,0,0,0,2,0,5.1,1355,-2,0,35,2,0.7,0,4.8,4,0,3,0,2,1.1,146367,0,-1,0,0,632,2190,0,0,117,Norwich,Liverpool,Leicester,Brighton,Arsenal,4.3,3.3,4.9,3.8,3.4,3.1,3.7,4,4.5,5.3,4,3.4,3.7,5,4.7,5,3.1,5.2,4.1,4.9,2.2,4.4,4.1,4.5,4.2,3.2,4.7,45.9
,Adrian,GLK,LIV,4400000,0,0,0,0,0,0,15360,0,0,0,0,0,0,0,0,80,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,7270,0,-1,0,0,0,27,0,0,0,Arsenal,Southampton,Everton,Wolverhampton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,9,21,1.90909090909091,4.43974630021142E-07,4.88372093023256E-06,0,40649,1,3,0,0,0,0,0,4.9,152,-2,0,21,2,1.2,0,5,3,0,2,0,1,0.3,17062,0,-1,0,1,358,2604,0,0,85,West Ham,Norwich,Burnley,Liverpool,Man City,1.2,1.6,1.2,1.6,2,2.1,1.3,1,1.7,2.1,1,2.2,1.5,2.4,1,1.9,1.2,1.7,1.5,1.4,1.2,1.5,1.4,1.3,2.2,1.3,2.3,22.4
Kristoffer,Ajer,DEF,BRE,4500000,0,24,3.4,7.55555555555556E-07,5.33333333333333E-06,0,93453,1,6,0,0,0,0,0,5.3,1652,0,0,24,0,0,0,0.2,1,0,3,0,0,0.7,90391,0,-1,0,0,565,7,0,0,101,Newcastle,Everton,Tottenham,Leeds United F.C.,Watford,0,0,0,0,0,0,0,0,0,3.4,4.9,2.2,4.4,3.1,4,2.3,3.7,3.1,3.3,4.7,3.1,2.8,4.4,4.6,2.7,3.9,3.8,16.1
Nathan,Ake,DEF,MCI,4800000,1,15,1.36363636363636,2.84090909090909E-07,3.125E-06,0,52208,0,1,0,0,0,0,0,3.1,260,-2,0,15,2,0,0,0.2,0,0,2,0,0,0.4,36625,0,-1,0,0,284,92,0,0,67,Everton,West Ham,Aston Villa,Watford,Wolverhampton,0.9,0.8,0.7,0.7,0.7,1.1,0.7,0.7,1.2,0.9,0.9,0.7,0.9,0.8,1.5,0.9,0.7,0.7,0.9,0.7,1.1,0.8,0.7,0.9,0.7,1,0.9,6.7
Marc,Albrighton,MID,LEI,5200000,2,12,1.09090909090909,2.0979020979021E-07,2.30769230769231E-06,0,26141,1,5,0,0,0,1,0,2.3,36,-3,0,12,3,0.1,0,0.5,1,0,0,0,0,0.1,15772,0,-1,0,0,280,64,0,0,48,Chelsea,Watford,Southampton,Aston Villa,Newcastle,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.5,14.9
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2175,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Leeds United F.C.,Burnley,Brentford F.C.,Norwich,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent,Alexander-Arnold,DEF,LIV,7800000,15,79,7.9,1.01282051282051E-06,1.01282051282051E-05,0,1976122,1,9,0,0,0,1,0,10.1,1181,3,-1,79,-3,1.2,0,9.5,15,0,6,0,6,32.2,1974933,0,-1,0,4,873,132660,1,0,328,Arsenal,Southampton,Everton,Wolverhampton,Aston Villa,10.7,9.9,10.6,11.5,11.3,9,10.5,10.5,10.6,11.6,9.3,9.8,9.4,10.5,10.4,10.4,9.6,11.5,9,8.3,11,10,10.4,9.9,10.6,10.2,8.8,105.6
,Alisson,GLK,LIV,6000000,8,51,4.6,7.66666666666667E-07,8.5E-06,0,469088,0,11,0,26,0,0,0,8.5,3372,0,0,51,0,0.7,0,4,5,0,6,0,0,7.7,457860,1,-1,0,1,990,4844,0,0,236,Arsenal,Southampton,Everton,Wolverhampton,Aston Villa,6,4.6,5.8,5.6,5.6,4,6.1,6.1,5,6.8,5.4,4.5,4.2,5.2,5.4,5.8,5.1,6.6,4.6,3.6,6.4,4.8,5.6,4.5,6.2,4.7,3.9,24.8
