FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Remi,Matthews,GLK,CRY,4000000,0,0,0,0,0,0,7653,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0.2,19707,0,-1,0,0,0,254,0,0,0,Newcastle,Man City,Wolverhampton,Burnley,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neal,Maupay,FWD,BHA,6600000,1,35,3.9,5.90909090909091E-07,5.3030303030303E-06,0,336421,2,8,0,0,0,4,0,5.3,8187,1,0,35,-1,0.5,0,3.2,5,0,3,0,0,4,456800,0,-1,0,1,732,3294,0,0,131,Man City,Liverpool,Newcastle,Aston Villa,Leeds United F.C.,3.5,3.8,5.3,3.3,5.1,4.8,4.1,4.2,2.7,4.8,3,2.9,4.3,4.8,4.6,2,5.3,4.7,3.9,5.1,2.9,3,4.8,4,3.9,4.1,5.2,3.9,4.9,3.4,46.5
Konstantinos,Mavropanos,DEF,ARS,4500000,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Aston Villa,Leicester,Watford,Liverpool,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke,Mbete,DEF,MCI,4000000,0,0,0,0,0,0,889,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,0,-1,0,0,0,35,0,0,0,Brighton,Crystal Palace,Man Utd,Everton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,Mbeumo,MID,BRE,5600000,1,30,3.3,5.89285714285714E-07,5.35714285714286E-06,0,137637,1,8,0,0,0,2,0,5.4,2480,1,0,30,-1,0.6,0,3.2,1,0,3,0,0,4.4,414732,0,-1,0,0,726,14958,0,0,64,Leicester,Burnley,Norwich,Newcastle,Everton,2.7,3.5,3.2,3.6,2,2.6,2.9,2.8,1.7,3.3,3.3,1.8,2.8,2.4,2.2,1.9,3.1,2.7,3.2,3.7,3,3.3,3.1,1.7,3.5,2.4,2.9,2.7,2.5,2.5,42.9
James,McArthur,MID,CRY,4500000,5,24,2.7,6E-07,5.33333333333333E-06,0,210907,3,12,0,0,0,0,0,5.3,5220,0,0,24,0,0.4,0,2,4,0,2,0,1,3.4,441181,0,-1,0,0,781,2145,0,0,133,Newcastle,Man City,Wolverhampton,Burnley,Aston Villa,3.2,1.4,2.4,1.7,2.9,1.4,1.4,2.2,2.8,1.7,1.4,3.3,1.9,1.6,1.5,1.8,1.8,1.9,3.1,2.7,2,1.7,2.5,1.5,1.4,2.7,1.5,2.9,1.4,2,34.2
Liam,McCarron,MID,LEE,4500000,0,0,0,0,0,0,851,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,0,-1,0,0,0,5,0,0,0,Wolverhampton,Norwich,Leicester,Tottenham,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,McCarthy,GLK,SOU,4500000,2,30,3.3,7.33333333333333E-07,6.66666666666667E-06,0,79811,1,12,0,22,0,0,0,6.7,1719,0,0,30,0,0.7,0,3,0,0,3,0,0,2.6,162270,0,-1,0,0,810,1493,0,0,152,Burnley,Watford,Aston Villa,Norwich,Liverpool,3.8,2,3.8,3.1,4.1,2.9,3.4,3,2.1,3.7,3.5,4.9,3,3.7,4.2,3.9,3.8,3.6,4,2.5,2.6,2.9,3.1,3.3,4,3.4,3.8,4.3,4.1,2.1,19.3
John,McGinn,MID,AVL,5800000,1,30,3.8,6.55172413793103E-07,5.17241379310345E-06,0,90075,3,14,0,0,0,2,0,5.2,2657,-2,0,30,2,0.8,0,4.5,3,0,2,0,1,1,83219,0,-1,0,1,669,1733,0,0,117,Arsenal,West Ham,Southampton,Brighton,Crystal Palace,2.3,3.2,2.9,3.6,2.4,3.4,4.5,2,3.4,4.8,3.1,2.6,3.4,3.3,2.1,4.3,3.3,4.7,3,4.5,2.9,4.1,4.7,4.1,2.6,2.9,5.1,3.1,4.9,1.9,40.9
Michael,McGovern,GLK,NOR,4000000,0,0,0,0,0,0,23966,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0.7,23367,0,-1,0,0,0,60,0,0,0,Chelsea,Leeds United F.C.,Brentford F.C.,Southampton,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
