FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,[200~Bettinelli[201~,GLK,CHE,4000000,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,-1,0,0,0,108,0,0,0,Man City,Southampton,Brentford F.C.,Norwich,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A.Armstrong,FWD,SOU,6000000,2,19,3.2,5.33333333333333E-07,3.16666666666667E-06,0,287883,0,7,0,0,0,1,0,3.2,14191,0,0,19,0,0.3,0,2,0,0,2,0,1,2.9,393521,0,-1,0,0,523,4307,0,0,55,Wolverhampton,Chelsea,Leeds United F.C.,Burnley,Watford,2,1.6,4.2,4.1,3.8,3.9,3.9,2.2,3.4,2.8,2.6,2.1,2.2,3,2.9,4.6,3.4,2.6,2.1,2.4,3.4,4.7,1.6,4.2,3.3,4.4,2,3.4,3.4,4.4,2.4,2,2.9,37.6
Max,Aarons,DEF,NOR,4400000,1,7,1.2,2.72727272727273E-07,1.59090909090909E-06,0,97770,1,16,0,0,0,0,0,1.6,2840,-1,0,7,1,0.2,0,1,2,0,0,0,0,1.5,41127,0,-1,0,0,540,1008,0,0,86,Everton,Burnley,Brighton,Chelsea,Leeds United F.C.,0.6,0.6,0.6,0.6,0.8,0.7,0.7,0.6,0.6,1.3,0.9,1.2,0.6,1,0.6,0.6,0.7,0.6,1.2,0.9,1.2,0.6,0.7,0.7,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.9,1.7,25.1
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,40401,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2438,0,-1,0,0,0,0,0,0,0,Man City,Southampton,Brentford F.C.,Norwich,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6900000,2,16,3.2,4.63768115942029E-07,2.31884057971014E-06,0,151202,0,6,0,0,0,0,0,2.3,4020,-1,0,16,1,0.2,0,1.3,0,0,1,0,2,1.2,95412,0,-1,0,0,380,778,0,0,43,Wolverhampton,Chelsea,Leeds United F.C.,Burnley,Watford,2,1.6,4.2,4.1,3.8,3.9,3.9,2.2,3.4,2.8,2.6,2.1,2.2,3,2.9,4.6,3.4,2.6,2.1,2.4,3.4,4.7,1.6,4.2,3.3,4.4,2,3.4,3.4,4.4,2.4,2,2.9,23.5
,Adrian,GLK,LIV,4400000,0,0,0,0,0,0,10169,0,0,0,0,0,0,0,0,295,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,4328,0,-1,0,0,0,67,0,0,0,Brentford F.C.,Man City,Watford,Man Utd,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,0,1,0.2,4.65116279069767E-08,2.32558139534884E-07,0,33379,0,0,0,0,0,0,0,0.2,902,-2,0,1,2,0,0,0,0,0,0,0,0,0.2,4471,0,-1,0,0,6,31,0,0,5,Southampton,Newcastle,Aston Villa,Leeds United F.C.,Everton,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1
Kristoffer,Ajer,DEF,BRE,4500000,1,23,3.8,8.44444444444444E-07,5.11111111111111E-06,0,37609,1,5,0,0,0,0,0,5.1,1664,0,0,23,0,0.7,0,3,1,0,3,0,0,1.2,74827,0,-1,0,0,520,4130,0,0,98,Liverpool,West Ham,Chelsea,Leicester,Burnley,4.5,3.8,3.9,3.1,3.7,4.2,2.6,3.6,5.1,5,2.9,4.3,3.8,4.8,4.3,5.3,5.6,3.1,3.6,5.3,4.7,3.3,4.1,3.7,3.4,3.9,3,3.3,5.1,4.6,3.5,3.3,3.9,13.1
Nathan,Ake,DEF,MCI,4900000,0,8,1.6,3.26530612244898E-07,1.63265306122449E-06,0,35623,0,1,0,0,0,0,0,1.6,2421,-1,0,8,1,0.4,0,2,0,0,1,0,0,0.5,30114,0,-1,0,0,180,433,0,0,37,Chelsea,Liverpool,Burnley,Brighton,Crystal Palace,0.8,1.7,1.2,0.9,1.9,0.8,1.2,1,0.8,0.8,1,1.3,0.8,1,1,0.9,1.3,0.8,1.2,0.8,2.4,0.8,1.5,0.8,1,0.8,2,1.3,0.9,1,1.1,0.8,2,4.2
Marc,Albrighton,MID,LEI,5400000,0,9,1.8,3.33333333333333E-07,1.66666666666667E-06,0,16807,1,2,0,0,0,1,0,1.7,1021,-1,0,9,1,0.1,0,0.7,1,0,0,0,0,0.2,14699,0,-1,0,0,180,151,0,0,34,Burnley,Crystal Palace,Man Utd,Brentford F.C.,Arsenal,1.5,0.9,0.9,0.9,1.1,1,1.1,1.2,1.1,0.9,1.7,1.1,0.9,0.9,0.9,1.5,1.1,0.9,0.9,0.9,1.9,0.9,0.9,0.9,0.9,0.9,2,0.9,1.9,0.9,0.9,1,1.3,10.9
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2019,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Arsenal,Aston Villa,Newcastle,West Ham,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent,Alexander-Arnold,DEF,LIV,7600000,1,35,7,9.21052631578947E-07,4.60526315789474E-06,0,809744,0,4,0,0,0,0,0,4.6,44176,1,0,35,-1,0.6,0,4.3,8,0,3,0,2,33.8,915314,0,-1,0,2,450,20327,0,0,153,Brentford F.C.,Man City,Watford,Man Utd,Brighton,10.3,9.9,8.3,9.5,7.9,9,9.3,8.6,8.2,10.5,10.5,8.1,9.3,8.3,8.4,9.2,8.2,8.3,7.9,8.9,9.4,9.3,7.6,10.5,9.1,7.4,8.8,8,8.8,6.8,9.3,9.1,7.4,59.4
,Alisson,GLK,LIV,6000000,1,34,5.7,9.5E-07,5.66666666666667E-06,0,213017,0,4,0,14,0,0,0,5.7,22589,0,0,34,0,1,0,5.7,4,0,4,0,0,9,334544,0,-1,0,1,540,7409,0,0,141,Brentford F.C.,Man City,Watford,Man Utd,Brighton,8.3,7.6,6.2,7.8,5.9,6.8,7.6,6.4,6.1,8.6,8.6,6.1,7.6,6.8,6.2,7,6.6,6.3,5.9,6.7,7.4,7.6,5.6,8.3,7.4,5.5,6.6,6,6.6,5,7.6,6.9,5.8,13.9
,Allan,MID,EVE,4600000,6,22,3.7,8.04347826086957E-07,4.78260869565217E-06,0,286198,0,6,0,0,0,0,0,4.8,12550,1,0,22,-1,0.7,0,3.3,2,0,2,0,2,6.9,688377,0,-1,0,0,522,22953,0,0,90,Norwich,Man Utd,West Ham,Watford,Wolverhampton,4.7,1.8,2.9,4,4.8,3.7,1.8,2.8,2.1,3.8,2.3,2.3,4.1,3.2,4.9,3.1,3.1,5.3,2.7,3.3,3.1,3.5,2.2,3.7,2.9,2.2,2.9,5.5,1.8,3.8,2.8,3.1,2.3,18.9
