FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5900000,1,47,3.1,5.25423728813559E-07,7.96610169491525E-06,0,648427,0,21,0,0,0,2,0,8,14980,-1,0,47,1,0.4,0,2.2,3,0,4,0,3,3.4,786801,0,-1,0,1,1088,1217,0,0,134,Arsenal,Crystal Palace,Brentford F.C.,West Ham,Tottenham,0,2.2,3,2.5,3.2,4.2,2.4,2.6,1.9,2.9,3.9,3.7,2.1,4.2,2.5,3.1,1.9,3.4,2.6,3.7,2.6,2.3,3.3,84.3
Max,Aarons,DEF,NOR,4300000,2,33,2.1,4.88372093023256E-07,7.67441860465116E-06,0,149787,3,32,0,0,0,0,0,7.7,601,-2,0,33,2,0.7,0,3.2,2,0,3,0,1,1.2,69813,1,-1,0,0,1440,923,0,0,226,Man Utd,Aston Villa,West Ham,Arsenal,Crystal Palace,1.7,2.1,1.7,2.5,1.1,1.3,2.2,1,2.1,2.3,2.2,1.1,2.2,1.7,2.2,1.8,2,1.7,1.5,1.3,2.1,1.6,3.1,56.6
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,41892,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Leeds United F.C.,Everton,Wolverhampton,Aston Villa,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,0,47,3.9,5.73529411764706E-07,6.91176470588235E-06,0,267459,0,13,0,0,0,3,0,6.9,8588,-2,0,47,2,0.6,0,4.2,7,0,3,0,2,1.4,230732,0,-1,0,0,857,241,0,0,159,Arsenal,Crystal Palace,Brentford F.C.,West Ham,Tottenham,0,0,0,3.6,4.5,5.6,3.5,3.7,2.8,4.2,5.3,5.1,3,5.5,3.6,4.3,2.8,4.7,3.7,5,3.8,3.3,4.5,63.3
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,16763,0,0,0,0,0,0,0,0,61,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,7766,0,-1,0,0,0,34,0,0,0,Aston Villa,Newcastle,Tottenham,Leeds United F.C.,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,2,41,2.73333333333333,6.35658914728682E-07,9.53488372093023E-06,0,56941,1,4,0,0,0,0,0,9.5,596,-2,0,41,2,1.3,0,5.8,3,0,5,0,1,0.8,75064,0,-1,0,0,718,11553,0,0,166,Man City,Brighton,Chelsea,Watford,Arsenal,3.3,3.1,2.8,1.5,2.7,3,2.1,3.3,3.2,3.5,1.8,3.1,2.6,2.8,3,2.7,1.9,3,2.6,2.6,3.6,2.6,3.7,41.1
Kristoffer,Ajer,DEF,BRE,4400000,0,24,3.4,7.72727272727273E-07,5.45454545454545E-06,0,108581,1,6,0,0,0,0,0,5.5,541,-1,0,24,1,0,0,0,1,0,3,0,0,0.5,90525,0,-1,0,0,565,13,0,0,101,Watford,Man Utd,Southampton,Brighton,Man City,0,0,0,0,0,3.9,4.7,3,4.3,3.8,3.6,3,3.4,3.7,3.1,4.7,3.9,2.3,4.9,3.9,3.2,3.6,4.3,16.1
Nathan,Ake,DEF,MCI,4700000,0,17,1.13333333333333,2.4113475177305E-07,3.61702127659574E-06,0,56304,0,2,0,0,0,0,0,3.6,303,-3,1,17,3,0.1,0,0.6,0,0,2,0,0,0.4,38009,0,-1,0,0,374,99,-1,0,81,Wolverhampton,Leeds United F.C.,Newcastle,Leicester,Brentford F.C.,0.6,0.9,0.6,0.6,0.8,0.6,0.8,0.6,0.8,0.6,1.3,0.6,0.6,0.6,0.7,0.6,0.9,0.6,0.6,0.7,0.6,0.7,0.7,8.8
Marc,Albrighton,MID,LEI,5200000,1,14,0.933333333333333,1.79487179487179E-07,2.69230769230769E-06,0,27184,1,5,0,0,0,1,0,2.7,56,-3,0,14,3,0.2,0,0.8,1,0,0,0,0,0.1,16734,0,-1,0,0,314,26,0,0,54,Newcastle,Tottenham,Everton,Man City,Liverpool,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,15.5
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2210,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Leicester,Liverpool,Crystal Palace,Southampton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
