FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5800000,1,48,3,5.17241379310345E-07,8.27586206896552E-06,0,783272,1,22,0,0,0,2,0,8.3,3174,-2,0,48,2,0.1,0,0.8,3,0,4,0,3,1.9,794984,0,-1,0,1,1170,3617,0,0,133,Tottenham,Newcastle,Wolverhampton,Man City,Tottenham,3.1,4.2,2.2,2.4,1.7,2.9,3.7,3.6,2.1,4.1,2.4,3.2,1.9,3.2,2.3,3.5,2.5,2.4,2.9,84.8
Max,Aarons,DEF,NOR,4300000,0,33,1.8,4.18604651162791E-07,7.67441860465116E-06,0,166264,4,39,0,0,0,0,0,7.7,2754,-2,0,33,2,0.1,0,0.6,2,0,3,0,1,1.1,82359,1,-1,0,0,1620,206,0,0,240,Crystal Palace,Leicester,Everton,Watford,Crystal Palace,0,0,0,0.9,1.4,1.9,1.9,0.9,1.8,1.5,1.7,1.4,1.6,1.5,1.2,1.1,1.7,1.4,2.3,62.1
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42031,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Brighton,Liverpool,Man City,Tottenham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,0,48,3.7,5.44117647058824E-07,7.05882352941176E-06,0,324266,0,13,0,0,0,3,0,7.1,2141,-2,0,48,2,0.3,0,2,7,0,3,0,2,0.9,236340,0,-1,0,0,866,569,0,0,162,Tottenham,Newcastle,Wolverhampton,Man City,Tottenham,0,0,0,3.3,2.5,4,4.9,4.8,3,5.3,3.4,4.3,2.7,4.3,3.3,4.7,3.4,3.3,4,63.5
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,18108,0,0,0,0,0,0,0,0,121,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,7895,0,-1,0,0,0,9,0,0,0,Leicester,Chelsea,Brentford F.C.,Crystal Palace,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,0,41,2.27777777777778,5.29715762273902E-07,9.53488372093023E-06,0,113221,1,4,0,0,0,0,0,9.5,2560,-2,0,41,2,0.7,0,2.8,3,0,5,0,1,0.7,121112,0,-1,0,0,718,683,0,0,166,Man Utd,Southampton,Brentford F.C.,Arsenal,Tottenham,0,2.4,1.6,2.5,2.4,2.5,1.4,2.3,1.8,2.1,2.4,2,1.5,2.4,2,1.9,2.7,1.9,2.9,41.1
Kristoffer,Ajer,DEF,BRE,4400000,0,24,3.4,7.72727272727273E-07,5.45454545454545E-06,0,112907,1,6,0,0,0,0,0,5.5,338,-1,0,24,1,0,0,0,1,0,3,0,0,0.5,90639,0,-1,0,0,565,17,0,0,101,Man City,Aston Villa,Liverpool,Wolverhampton,Man City,0,0,4.5,3.4,4.4,3.7,3.5,3.3,3.5,4,2.8,4.5,4.2,2.2,5.1,3.9,3.4,3.5,4.6,16.1
Nathan,Ake,DEF,MCI,4700000,6,30,1.57894736842105,3.35946248600224E-07,6.38297872340426E-06,0,59325,0,2,0,0,0,1,0,6.4,311,-3,0,30,3,0.4,0,2.1,0,0,3,0,0,0.4,42268,0,-1,0,0,489,438,0,0,125,Brentford F.C.,Arsenal,Chelsea,Southampton,Brentford F.C.,1.3,1,1.3,0.8,1.5,1.1,1.9,1,1,0.8,1.2,1,1.6,1.2,0.8,1.2,1,1.2,1.2,17.6
Marc,Albrighton,MID,LEI,5200000,1,17,1,1.92307692307692E-07,3.26923076923077E-06,0,27948,1,11,0,0,0,1,0,3.3,99,-3,0,17,3,0.2,0,0.8,1,0,0,0,0,0.1,17480,0,-1,0,0,426,155,0,0,68,Liverpool,Norwich,Burnley,Brighton,Liverpool,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,20.2
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2225,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Southampton,Watford,Arsenal,Chelsea,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
