FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5700000,0,51,1.96153846153846,3.4412955465587E-07,8.94736842105263E-06,0,857656,1,23,0,0,0,2,0,8.9,2985,-3,0,51,3,0,0,0.2,3,0,4,0,3,1.5,834312,0,-1,0,1,1195,1574,0,0,142,Aston Villa,Newcastle,Watford,Leeds United F.C.,Chelsea,2.8,1.9,0,1.7,1,1.6,1.3,1.8,1.2,1.3,1.4,87.4
Max,Aarons,DEF,NOR,4300000,1,47,1.8,4.18604651162791E-07,1.09302325581395E-05,0,188881,5,50,0,0,0,0,0,10.9,648,-2,0,47,2,0.2,0,1,2,0,4,0,1,1,90004,1,-1,0,0,2220,249,0,0,327,Brentford F.C.,Chelsea,Leeds United F.C.,Brighton,Burnley,3.6,1.6,0,1.5,1.7,1.5,1,1.2,1.9,1.4,1.8,76
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42248,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Burnley,Norwich,Newcastle,Brentford F.C.,Southampton,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,7000000,2,85,4,5.71428571428571E-07,1.21428571428571E-05,0,427097,0,23,0,0,0,7,0,12.1,34306,0,0,85,0,0.7,0,4.8,11,0,5,0,3,7.5,944245,0,-1,0,0,1465,17786,0,0,284,Aston Villa,Newcastle,Watford,Leeds United F.C.,Chelsea,8.4,5.3,0,4.6,3.4,4.6,4,5,3.9,4,4.2,117.8
Tayo,Adaramola,DEF,CRY,4000000,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,-1,0,0,0,105,0,0,0,Wolverhampton,Man City,Arsenal,Leicester,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,19431,0,0,0,0,0,0,0,0,57,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8433,0,-1,0,0,0,19,0,0,0,West Ham,Brighton,Arsenal,Watford,Man City,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4400000,0,62,2.38461538461538,5.41958041958042E-07,1.40909090909091E-05,0,207137,3,9,0,0,0,0,0,14.1,9441,-1,0,62,1,0.2,0,1.1,6,0,6,0,3,1.9,319783,0,-1,0,1,1192,1303,0,0,250,Crystal Palace,Watford,Everton,Leeds United F.C.,Aston Villa,3,2.3,2.6,1.9,1.5,2.9,2.6,2,3,1.8,3.2,61.8
Kristoffer,Ajer,DEF,BRE,4400000,9,46,3.1,7.04545454545455E-07,1.04545454545455E-05,0,118387,4,21,0,0,0,0,0,10.5,502,-1,0,46,1,1,0,4.2,3,0,5,0,2,0.5,96528,0,-1,0,0,1250,585,0,0,226,Norwich,Burnley,Leicester,Chelsea,West Ham,0,3.8,2.5,4,4,2.4,3.9,3.4,3.1,3.1,4.1,38.2
Nathan,Ake,DEF,MCI,4700000,0,38,1.40740740740741,2.99448384554768E-07,8.08510638297872E-06,0,67266,0,3,0,0,0,1,0,8.1,758,-3,0,38,3,0.3,0,1.2,0,0,4,0,0,0.4,47918,0,-1,0,0,669,21,0,0,170,Man Utd,Crystal Palace,Burnley,Liverpool,Wolverhampton,0,0.7,0,1.1,1.6,1,0.7,1.1,0.7,1,0.9,25.3
Marc,Albrighton,MID,LEI,5200000,3,33,1.375,2.64423076923077E-07,6.34615384615385E-06,0,29868,2,19,0,0,0,1,0,6.3,195,-3,0,33,3,0.5,0,2.6,2,0,2,0,1,0.1,19800,0,-1,0,0,902,276,0,0,131,Leeds United F.C.,Arsenal,Brentford F.C.,Man Utd,Crystal Palace,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.7,0.7,1,0.9,38.7
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2265,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Everton,Man Utd,Brighton,West Ham,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Alebiosu,DEF,ARS,4000000,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,-1,0,0,0,0,0,0,0,Watford,Leicester,Liverpool,Aston Villa,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0
Ajibola,Alese,DEF,WHU,4000000,0,0,0,0,0,0,1124,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,-1,0,0,0,51,0,0,0,Liverpool,Aston Villa,Tottenham,Everton,Brentford F.C.,0,0,0,0,0,0,0,0,0,0,0,0
Trent,Alexander-Arnold,DEF,LIV,8500000,12,174,7.2,8.47058823529412E-07,2.04705882352941E-05,0,2852992,1,17,0,0,0,2,0,20.5,9354,10,0,174,-10,0.7,0,6,31,0,14,0,11,46.2,4076106,0,-1,0,6,2133,46503,0,0,703,West Ham,Brighton,Arsenal,Watford,Man City,10.4,18.3,0,8.2,9.2,9,10.5,7.5,10.4,7.8,9.5,221.6
,Alisson,GLK,LIV,6000000,9,123,4.9,8.16666666666667E-07,2.05E-05,0,790573,0,18,0,52,0,0,0,20.5,3968,0,0,123,0,1.2,0,7.2,10,0,14,0,1,7.9,772397,1,-1,0,1,2250,21626,0,0,549,West Ham,Brighton,Arsenal,Watford,Man City,7.1,12,0,4.6,6.2,5.4,7,4.1,7.1,4.4,6,52.3
,Allan,MID,EVE,4300000,2,51,2.3,5.34883720930233E-07,1.18604651162791E-05,0,942323,6,36,0,0,0,0,0,11.9,4107,-2,0,51,2,0.3,0,1.4,2,0,4,0,3,3.4,1053193,0,-1,0,0,1852,5195,0,0,278,Tottenham,Wolverhampton,Newcastle,West Ham,Man Utd,1.2,4.1,0,1.2,1.4,0,1.2,1.4,1.2,1.8,1.2,61
Miguel,Almiron,MID,NEW,5100000,0,30,1.2,2.35294117647059E-07,5.88235294117647E-06,0,64943,1,26,0,0,0,0,0,5.9,199,-4,0,30,4,0.1,0,0.3,0,0,1,0,0,0.2,38997,0,-1,0,0,986,97,0,0,122,Brighton,Southampton,Chelsea,Everton,Tottenham,1.2,1.2,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,45.5
Marcos,Alonso,DEF,CHE,5600000,0,78,4.1,7.32142857142857E-07,1.39285714285714E-05,0,2960649,6,14,0,0,0,1,0,13.9,33729,1,0,78,-1,0.2,0,1.3,9,0,6,0,4,8.4,3140139,0,-1,0,3,1445,871,0,0,333,Burnley,Norwich,Newcastle,Brentford F.C.,Southampton,0,3.6,0,5.5,3.7,5.4,5.6,4.9,4.3,5.3,3.2,100.1
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,27550,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,818,0,-1,0,0,0,0,0,0,0,Liverpool,Aston Villa,Tottenham,Everton,Brentford F.C.,0,0,0,0,0,0,0,0,0,0,0,0
