FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Harvey,Elliott,MID,LIV,5300000,0,9,0.692307692307692,1.30624092888244E-07,1.69811320754717E-06,0,41271,0,1,0,0,0,0,0,1.7,29,-2,0,9,2,0,0,0,0,0,2,0,0,0.1,33338,0,-1,0,0,249,6,0,0,33,Everton,Wolverhampton,Aston Villa,Newcastle,Tottenham,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,18.5
,Elneny,MID,ARS,4400000,0,4,0.307692307692308,6.99300699300699E-08,9.09090909090909E-07,0,55092,0,2,0,0,0,0,0,0.9,332,-1,0,4,1,0.2,0,0.8,0,0,0,0,0,0.4,24160,0,-1,0,0,60,410,0,0,17,Man Utd,Everton,Southampton,West Ham,Leeds United F.C.,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.9
Mohamed,Elyounoussi,MID,SOU,5500000,1,29,2.6,4.72727272727273E-07,5.27272727272727E-06,0,24504,1,7,0,0,0,1,0,5.3,408,0,0,29,0,0.2,0,1.2,1,0,5,0,0,0.1,30217,0,-1,0,0,760,96,0,0,59,Leicester,Brighton,Arsenal,Crystal Palace,Brentford F.C.,2,2,1.3,1.6,2,1.4,2.3,2.8,2.4,1.5,1.4,1.9,2.3,2.9,1.5,2.8,1.8,1.5,1.5,2.5,1.7,2.5,1.8,1.3,1.8,54
,Emerson,DEF,CHE,4500000,0,1,1,2.22222222222222E-07,2.22222222222222E-07,0,2190,0,0,0,0,0,0,0,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,868,0,-1,0,0,4,0,0,0,3,Watford,West Ham,Leeds United F.C.,Everton,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
,Emerson Royal,DEF,TOT,4900000,1,16,1.6,3.26530612244898E-07,3.26530612244898E-06,0,32924,2,14,0,0,0,0,0,3.3,563,-1,0,16,1,0.6,0,2.7,0,0,1,0,0,0.6,74080,0,-1,0,0,779,1429,0,0,123,Brentford F.C.,Norwich,Brighton,Leicester,Liverpool,1.3,1.3,1.2,0.8,1.7,1.2,0.8,0.8,1.7,1.5,1.1,0.9,1.2,1.2,1.5,1.3,1.4,0.9,0.8,1.4,1.3,0.9,1.5,1.3,0.8,28
Bjorn,Engels,DEF,AVL,4500000,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Man City,Leicester,Liverpool,Norwich,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oghenekaro Peter,Etebo,MID,WAT,4400000,0,7,0.538461538461538,1.22377622377622E-07,1.59090909090909E-06,0,34425,3,6,0,0,0,0,0,1.6,165,-1,0,7,1,0,0,0,0,0,0,0,0,0.1,27012,0,-1,0,0,369,39,0,0,52,Chelsea,Man City,Brentford F.C.,Burnley,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,8.9
Jonny,Evans,DEF,LEI,5400000,7,17,2.1,3.88888888888889E-07,3.14814814814815E-06,0,18536,2,14,0,0,0,1,0,3.1,432,-1,0,17,1,0.6,0,3.2,0,0,0,0,1,0.2,15641,0,-1,0,0,656,1666,0,0,121,Southampton,Aston Villa,Newcastle,Tottenham,Everton,1.3,1.4,1.2,2.7,1.7,2.1,2.3,1.8,1.6,1.8,2.5,1.9,1.6,2.5,2.1,1.8,1.8,2.3,1.6,1.2,1.9,2.6,2,1,1.5,29.2
Eberechi,Eze,MID,CRY,5900000,0,1,0.0769230769230769,1.30378096479791E-08,1.69491525423729E-07,0,4348,0,1,0,0,0,0,0,0.2,247,-1,0,1,1,0,0,0.2,0,0,0,0,0,0.1,4461,0,-1,0,0,30,193,0,0,2,Leeds United F.C.,Man Utd,Everton,Southampton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
Lukasz,Fabianski,GLK,WHU,5000000,2,45,3.2,6.4E-07,9E-06,0,133624,0,17,0,42,0,0,0,9,1837,0,0,45,0,0.5,0,2.5,2,0,3,0,0,2.2,131329,0,-1,0,0,1260,1097,0,0,230,Brighton,Chelsea,Burnley,Arsenal,Norwich,3.6,3.6,2.9,3.3,3.5,3,2,2.5,4,3.9,2.2,2.7,2.6,2.7,4.3,3.7,4,3.9,3.9,3.4,4.3,4.3,2.9,3.9,3.7,33.4
