FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5700000,2,55,1.57142857142857,2.75689223057644E-07,9.64912280701754E-06,0,888202,1,30,0,0,0,2,0,9.6,853,-3,0,55,3,0.1,0,0.4,3,0,4,0,3,1.4,854730,0,-1,0,1,1347,487,0,0,146,Brentford F.C.,Liverpool,Leicester,,,0.8,0.8,0.9,91.3
Max,Aarons,DEF,NOR,4300000,1,51,1.6,3.72093023255814E-07,1.18604651162791E-05,0,198990,7,63,0,0,0,0,0,11.9,225,-2,0,51,2,0.1,0,0.4,2,0,4,0,1,0.9,92940,1,-1,0,0,2699,80,0,0,384,West Ham,Leicester,Wolverhampton,Tottenham,,2.6,1.2,1.4,92.9
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42346,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Wolverhampton,Leeds United F.C.,Leicester,Watford,,0,0,0,0
Che,Adams,FWD,SOU,6500000,0,101,3.6,5.53846153846154E-07,1.55384615384615E-05,0,993303,0,37,0,0,0,7,0,15.5,12581,-5,1,101,5,0.2,0,1,11,0,5,0,4,2.9,1087802,0,-1,0,0,1999,947,-1,0,329,Brentford F.C.,Liverpool,Leicester,,,3.1,3.3,3.3,156.2
Tayo,Adaramola,DEF,CRY,4000000,0,0,0,0,0,0,658,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1585,0,-1,0,0,0,57,0,0,0,Watford,Aston Villa,Everton,Man Utd,,0,0,0,0
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,20019,0,0,0,0,0,0,0,0,34,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8683,0,-1,0,0,0,12,0,0,0,Tottenham,Aston Villa,Southampton,Wolverhampton,,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4100000,1,75,2.20588235294118,5.38020086083214E-07,1.82926829268293E-05,0,314850,4,22,0,0,0,0,0,18.3,1251,-4,0,75,4,0.1,0,0.5,7,0,7,0,4,1.3,368502,0,-1,0,1,1646,2616,0,0,329,Chelsea,Man City,Norwich,Liverpool,,4.7,1.7,2.9,77.4
Kristoffer,Ajer,DEF,BRE,4400000,14,81,3.7,8.40909090909091E-07,1.84090909090909E-05,0,133131,4,28,0,0,0,1,0,18.4,590,-1,0,81,1,1.1,0,5,5,0,8,0,3,0.7,126911,0,-1,0,1,1847,3167,0,0,369,Southampton,Everton,Leeds United F.C.,,,4.2,3.6,4.7,68.3
Nathan,Ake,DEF,MCI,4700000,1,54,1.58823529411765,3.37922403003755E-07,1.14893617021277E-05,0,73050,0,3,0,0,0,2,0,11.5,681,-3,0,54,3,0.4,0,2,0,0,5,0,0,0.5,65503,0,-1,0,0,919,1756,0,0,234,Newcastle,Wolverhampton,West Ham,Aston Villa,,2.1,1.3,1,37.9
Marc,Albrighton,MID,LEI,5200000,0,36,1.09090909090909,2.0979020979021E-07,6.92307692307692E-06,0,32529,3,24,0,0,0,1,0,6.9,67,-3,0,36,3,0,0,0.2,2,0,2,0,1,0.1,22188,0,-1,0,0,1082,81,0,0,154,Everton,Norwich,Watford,Chelsea,Southampton,1.3,1.1,0.6,45.4
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2292,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Liverpool,Arsenal,Burnley,Norwich,,0,0,0,0
