FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5700000,0,52,1.85714285714286,3.25814536340852E-07,9.12280701754386E-06,0,864020,1,23,0,0,0,2,0,9.1,2616,-3,0,52,3,0.1,0,0.4,3,0,4,0,3,1.5,838782,0,-1,0,1,1212,1178,0,0,142,Watford,Leeds United F.C.,Chelsea,Arsenal,Burnley,1.8,0,1.6,1,2.5,1.2,1.5,1.1,1.1,1.2,88
Max,Aarons,DEF,NOR,4300000,1,49,1.8,4.18604651162791E-07,1.13953488372093E-05,0,190513,6,54,0,0,0,0,0,11.4,595,-2,0,49,2,0.2,0,1,2,0,4,0,1,0.9,90617,1,-1,0,0,2397,186,0,0,345,Leeds United F.C.,Brighton,Burnley,Man Utd,Newcastle,1.5,0,1.5,1.7,1.4,1,1.2,1.9,1.4,1.8,82.3
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42264,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Newcastle,Brentford F.C.,Southampton,Leeds United F.C.,Arsenal,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,7000000,5,92,4,5.71428571428571E-07,1.31428571428571E-05,0,555505,0,27,0,0,0,7,0,13.1,44948,0,0,92,0,0.6,0,4,11,0,5,0,4,5.9,967153,0,-1,0,0,1645,6711,0,0,310,Watford,Leeds United F.C.,Chelsea,Arsenal,Burnley,5.4,0,4.6,3.4,8.3,4,4.8,3.8,3.9,4.1,128.7
Tayo,Adaramola,DEF,CRY,4000000,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,666,0,-1,0,0,0,76,0,0,0,Man City,Arsenal,Leicester,Newcastle,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,19539,0,0,0,0,0,0,0,0,51,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8487,0,-1,0,0,0,22,0,0,0,Brighton,Arsenal,Watford,Man City,Aston Villa,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4400000,0,71,2.53571428571429,5.76298701298701E-07,1.61363636363636E-05,0,218580,4,9,0,0,0,0,0,16.1,3521,-1,0,71,1,0.4,0,1.8,7,0,7,0,4,2,340031,0,-1,0,1,1282,5024,0,0,282,Everton,Leeds United F.C.,Aston Villa,Newcastle,Man City,2.5,2.7,2.2,1.7,3.2,2.9,2.2,3.3,2,3.4,65.1
Kristoffer,Ajer,DEF,BRE,4400000,6,52,3.2,7.27272727272727E-07,1.18181818181818E-05,0,119742,4,21,0,0,0,0,0,11.8,697,-1,0,52,1,1.1,0,5,3,0,6,0,2,0.8,107045,0,-1,0,0,1340,6796,0,0,250,Burnley,Leicester,Chelsea,West Ham,Watford,3.9,2.7,4.3,4.3,2.5,4,3.4,3.2,3.3,4.1,39.6
Nathan,Ake,DEF,MCI,4700000,0,38,1.35714285714286,2.88753799392097E-07,8.08510638297872E-06,0,67839,0,3,0,0,0,1,0,8.1,262,-3,0,38,3,0,0,0,0,0,4,0,0,0.4,47986,0,-1,0,0,669,54,0,0,170,Crystal Palace,Burnley,Liverpool,Wolverhampton,Brighton,0.7,0,1,1.5,1.8,0.7,1,0.7,1,0.9,25.3
Marc,Albrighton,MID,LEI,5200000,2,35,1.4,2.69230769230769E-07,6.73076923076923E-06,0,30274,2,21,0,0,0,1,0,6.7,153,-3,0,35,3,0.6,0,3.2,2,0,2,0,1,0.1,20955,0,-1,0,0,992,828,0,0,148,Arsenal,Brentford F.C.,Man Utd,Crystal Palace,Newcastle,0.7,0.8,0.7,0.9,1.4,0.8,0.7,0.8,1,1,43.5
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2269,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Man Utd,Brighton,West Ham,Newcastle,Aston Villa,0,0,0,0,0,0,0,0,0,0,0
