FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5900000,5,27,3,5.08474576271186E-07,4.57627118644068E-06,0,441713,0,10,0,0,0,1,0,4.6,3519,-1,0,27,1,0.3,0,2,0,0,3,0,2,2.4,505929,0,-1,0,0,704,4695,0,0,74,Watford,Aston Villa,Norwich,Liverpool,Leicester,3.7,3.3,2.8,2.2,3.5,2.4,2.1,2,2.3,2.4,3.5,4.1,3.3,2.7,2.2,2.9,3.4,3.7,1.9,4,2.7,3.1,1.5,3.1,2.7,3.5,2.9,2.1,2.9,47.7
Max,Aarons,DEF,NOR,4300000,1,16,1.6,3.72093023255814E-07,3.72093023255814E-06,0,126879,2,25,0,0,0,0,0,3.7,1698,-2,1,16,2,0.3,0,1.3,2,0,2,0,0,1.3,52059,1,-1,0,0,900,582,-1,0,133,Leeds United F.C.,Brentford F.C.,Southampton,Wolverhampton,Newcastle,1.4,1.4,1.1,0.8,0.8,1.4,1,1.4,1,1.5,0.8,0.8,1.2,0.8,1.3,1.5,1.4,0.8,1.2,0.9,1.2,1.2,1.3,1.1,1,0.8,1.1,1.2,2.1,34.8
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,41488,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Newcastle,Burnley,Leicester,Man Utd,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,7,24,3.4,5E-07,3.52941176470588E-06,0,195021,0,6,0,0,0,1,0,3.5,859,-2,0,24,2,0.4,0,2.7,1,0,2,0,2,0.8,108891,0,-1,0,0,481,4577,0,0,73,Watford,Aston Villa,Norwich,Liverpool,Leicester,4.4,3.9,3.4,2.7,4.1,3,2.6,2.5,2.8,3,4.2,4.8,4,3.3,2.7,3.5,4,4.4,2.4,4.7,3.3,3.7,1.8,3.7,3.2,4.1,3.4,2.6,3.5,31.5
,Adrian,GLK,LIV,4400000,0,0,0,0,0,0,14475,0,0,0,0,0,0,0,0,190,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,7046,0,-1,0,0,0,63,0,0,0,Brighton,West Ham,Arsenal,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,0,7,0.777777777777778,1.80878552971576E-07,1.62790697674419E-06,0,38333,0,0,0,0,0,0,0,1.6,249,-2,0,7,2,0.5,0,2,0,0,1,0,0,0.2,7794,0,-1,0,0,88,242,0,0,23,Everton,Crystal Palace,West Ham,Norwich,Burnley,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.6,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.6,5.1
Kristoffer,Ajer,DEF,BRE,4500000,0,24,3.4,7.55555555555556E-07,5.33333333333333E-06,0,67140,1,6,0,0,0,0,0,5.3,4161,0,0,24,0,0,0,0.2,1,0,3,0,0,1,90178,0,-1,0,0,565,162,0,0,101,Burnley,Norwich,Newcastle,Everton,Tottenham,0,3.5,3,3,4.5,3.9,2,2.5,3.4,4.5,3.6,3.3,4.9,2,3.9,3.2,3.8,2.4,3.9,3.1,3,4.4,2.7,3,4.5,4.2,2.8,3.9,3.5,16.1
Nathan,Ake,DEF,MCI,4800000,0,14,1.55555555555556,3.24074074074074E-07,2.91666666666667E-06,0,48699,0,1,0,0,0,0,0,2.9,903,-2,1,14,2,0.3,0,1.5,0,0,2,0,0,0.4,35628,0,-1,0,0,270,280,-1,0,64,Crystal Palace,Man Utd,Everton,West Ham,Aston Villa,1.3,1,1.2,1.1,0.8,0.8,0.8,1.4,0.8,0.9,1.3,0.8,1.2,0.8,1.2,0.8,2.1,0.8,1,0.8,1.1,0.8,1.4,1.1,0.8,0.8,0.9,0.9,1.3,6.7
Marc,Albrighton,MID,LEI,5300000,0,10,1.11111111111111,2.09643605870021E-07,1.88679245283019E-06,0,24784,1,2,0,0,0,1,0,1.9,408,-2,0,10,2,0,0,0.2,1,0,0,0,0,0.1,15661,0,-1,0,0,190,7,0,0,38,Arsenal,Leeds United F.C.,Chelsea,Watford,Southampton,0,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,11.1
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2145,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Man Utd,Everton,Leeds United F.C.,Burnley,Brentford F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
