FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5900000,9,36,3.6,6.10169491525424E-07,6.10169491525424E-06,0,455969,0,10,0,0,0,2,0,6.1,1125,-1,0,36,1,0.6,0,3.8,3,0,4,0,2,2.7,541048,0,-1,0,1,784,22747,0,0,105,Aston Villa,Norwich,Liverpool,Leicester,Brighton,3.9,3.9,3.4,4.1,3.2,3.2,3,3,3.7,3.8,4.8,4.2,3,3.2,4.4,3.9,4.6,3.1,4.7,3.8,4.4,1.9,3.5,3.8,3.7,3.8,2.7,4.2,53.9
Max,Aarons,DEF,NOR,4300000,1,17,1.5,3.48837209302326E-07,3.95348837209302E-06,0,130943,3,26,0,0,0,0,0,4,728,-2,0,17,2,0.3,0,1.2,2,0,2,0,0,1.2,54654,1,-1,0,0,990,353,0,0,138,Brentford F.C.,Southampton,Wolverhampton,Newcastle,Tottenham,1.2,0.9,0.8,0.8,1.3,0.9,1.2,1,1.3,0.8,0.8,1.2,0.8,1.1,1.3,1.4,0.8,1.2,0.9,1.2,1.1,1.1,1.1,0.8,0.8,1,0.9,1.8,36.7
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,41580,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Burnley,Leicester,Man Utd,Watford,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,2,26,3.2,4.70588235294118E-07,3.82352941176471E-06,0,198972,0,6,0,0,0,1,0,3.8,1080,-2,0,26,2,0.4,0,2.5,1,0,3,0,2,1,125642,0,-1,0,0,571,2421,0,0,85,Aston Villa,Norwich,Liverpool,Leicester,Brighton,3.3,3.3,2.9,3.5,2.7,2.6,2.5,2.5,3.1,3.2,4.1,3.5,2.4,2.7,3.7,3.3,3.9,2.6,4,3.2,3.7,1.6,2.9,3.2,3.1,3.2,2.2,3.6,36.7
,Adrian,GLK,LIV,4400000,0,0,0,0,0,0,14876,0,0,0,0,0,0,0,0,88,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,7123,0,-1,0,0,0,19,0,0,0,West Ham,Arsenal,Southampton,Everton,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,1,12,1.2,2.7906976744186E-07,2.7906976744186E-06,0,39139,1,3,0,0,0,0,0,2.8,152,-2,0,12,2,0.7,0,2.8,0,0,1,0,1,0.3,12578,0,-1,0,0,268,469,0,0,47,Crystal Palace,West Ham,Norwich,Burnley,Liverpool,0.6,0.6,0.7,0.6,0.6,0.9,1,0.6,0.6,0.9,1,0.6,1.2,0.6,1.2,0.6,0.9,0.6,0.8,0.6,0.6,0.6,0.6,0.7,0.6,1.1,0.6,1.3,14
Kristoffer,Ajer,DEF,BRE,4500000,0,24,3.4,7.55555555555556E-07,5.33333333333333E-06,0,81693,1,6,0,0,0,0,0,5.3,3319,0,0,24,0,0,0,0.2,1,0,3,0,0,0.9,90271,0,-1,0,0,565,27,0,0,101,Norwich,Newcastle,Everton,Tottenham,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,3.3,5,2.1,4.2,3.1,4,2.5,3.6,3.2,3.2,4.5,3,3.1,4.4,4.4,2.6,3.8,3.6,16.1
Nathan,Ake,DEF,MCI,4800000,0,14,1.4,2.91666666666667E-07,2.91666666666667E-06,0,50354,0,1,0,0,0,0,0,2.9,441,-2,0,14,2,0.3,0,1.5,0,0,2,0,0,0.4,36241,0,-1,0,0,270,150,0,0,64,Man Utd,Everton,West Ham,Aston Villa,Watford,1.1,1,0.8,0.7,0.7,0.7,1.1,0.7,0.7,1.2,0.9,1,0.7,1,0.8,1.6,0.8,0.8,0.7,0.9,0.7,1.1,0.9,0.7,0.9,0.7,1,1,6.7
Marc,Albrighton,MID,LEI,5300000,0,10,1,1.88679245283019E-07,1.88679245283019E-06,0,25521,1,2,0,0,0,1,0,1.9,149,-2,0,10,2,0,0,0,1,0,0,0,0,0.1,15673,0,-1,0,0,190,2,0,0,38,Leeds United F.C.,Chelsea,Watford,Southampton,Aston Villa,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.1
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2161,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Everton,Leeds United F.C.,Burnley,Brentford F.C.,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent,Alexander-Arnold,DEF,LIV,7700000,0,52,6.5,8.44155844155844E-07,6.75324675324675E-06,0,1959717,0,6,0,0,0,0,0,6.8,4207,2,-1,52,-2,0.5,0,4.2,9,0,5,0,3,28.7,1659213,0,-1,0,2,693,16812,1,0,234,West Ham,Arsenal,Southampton,Everton,Wolverhampton,9.6,8.3,7.2,8.9,9.5,8.5,6.9,8.8,8.3,8.1,9.6,7.4,8,6.6,8.5,8.6,8.9,7.6,9.6,7.2,6.1,9.1,8.4,8.3,7.9,8.5,8.5,6.1,76.6
,Alisson,GLK,LIV,6000000,0,44,4.9,8.16666666666667E-07,7.33333333333333E-06,0,441709,0,8,0,22,0,0,0,7.3,2594,0,0,44,0,0.4,0,2.2,4,0,5,0,0,7.8,445831,0,-1,0,1,810,3373,0,0,202,West Ham,Arsenal,Southampton,Everton,Wolverhampton,6.8,6.1,4.7,6.3,6.6,5.8,4.5,6.6,6.1,5.4,7.2,5.6,5.4,4.3,5.8,6,6.6,5.3,7.2,4.9,3.9,6.8,5.6,5.8,5.3,6.4,5.7,3.9,21.5
,Allan,MID,EVE,4600000,3,32,2.9,6.30434782608696E-07,6.95652173913044E-06,0,518523,1,15,0,0,0,0,0,7,6562,1,0,32,-1,0.4,0,2,2,0,3,0,2,6.1,859957,0,-1,0,0,963,1987,0,0,159,Tottenham,Man City,Brentford F.C.,Liverpool,Arsenal,2.5,1.5,2.4,1.4,2.3,1.8,2,2.5,2.3,3,2,2.5,2.9,2.7,2.5,2.4,1.8,1.8,2.6,2.8,2,1.7,2.6,1.5,1.8,2.3,2,1.8,28.8
