FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,6000000,2,8,4,6.66666666666667E-07,1.33333333333333E-06,0,31749,0,4,0,0,0,1,0,1.3,10836,0,0,8,0,0.7,0,4,0,0,0,0,0,2.7,120699,0,-1,0,0,180,43195,0,0,24,Man Utd,Newcastle,West Ham,Man City,Wolverhampton,4,4.5,5.2,2,4,2,5.2,4.5,5,2.9,5,2,3,3.1,4.8,2.1,2,4.5,2,5.2,3.2,2.5,2,3.2,5.2,5.7,2.2,5.7,3.7,4.5,2,5.5,2.4,2.8,2,2,2.3,11.7
Max,Aarons,DEF,NOR,4500000,0,1,0.5,1.11111111111111E-07,2.22222222222222E-07,0,25134,0,8,0,0,0,0,0,0.2,9693,0,0,1,0,0.1,0,0.5,0,0,0,0,0,2.1,11305,0,-1,0,0,180,1912,0,0,23,Man City,Leicester,Arsenal,Watford,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.4,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.7,5.7
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,28054,0,0,0,0,0,0,0,0,6156,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2438,0,-1,0,0,0,0,0,0,0,Arsenal,Liverpool,Aston Villa,Tottenham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,7000000,5,10,5,7.14285714285714E-07,1.42857142857143E-06,0,22577,0,4,0,0,0,0,0,1.4,5803,0,0,10,0,0.7,0,5,0,0,0,0,2,1.9,26352,0,-1,0,0,180,14886,0,0,29,Man Utd,Newcastle,West Ham,Man City,Wolverhampton,5.6,6.1,7,2.7,5.5,2.5,7,6.2,6.2,4.1,6.2,2.5,4.3,4.4,6.2,3.1,3,6.1,3,7,4.5,3.6,2.5,4.6,7,7.1,3.2,7.1,5.2,6.1,2.5,7.1,3.4,4,2.5,2.9,3.3,9.6
,Adrian,GLK,LIV,4500000,0,0,0,0,0,0,3063,0,0,0,0,0,0,0,0,812,0,0,0,0,0,0,0,0,0,0,0,0,0.3,858,0,-1,0,0,0,205,0,0,0,Burnley,Chelsea,Leeds United F.C.,Crystal Palace,Brentford F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,9058,0,0,0,0,0,0,0,0.2,3182,0,0,1,0,0.1,0,0.5,0,0,0,0,0,0.5,929,0,-1,0,0,6,202,0,0,5,Tottenham,Man Utd,Watford,Brentford F.C.,Southampton,1.4,1.1,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.9,0.5,0.5,0.9,1.2,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
Kristoffer,Ajer,DEF,BRE,4500000,6,12,6,1.33333333333333E-06,2.66666666666667E-06,0,5208,0,0,0,0,0,0,0,2.7,1574,0,0,12,0,1.3,0,6,0,0,2,0,0,0.9,18602,0,-1,0,0,160,4922,0,0,44,Crystal Palace,Aston Villa,Brighton,Wolverhampton,Liverpool,7.4,4.6,6.6,7.4,7.8,5.2,6.9,8.5,5.7,8.1,4.4,4.1,7.4,7,4.6,8.5,4.2,5.4,6.6,5.7,6.6,8.5,5.4,8.5,7.4,5.6,7,6.9,7.4,5.7,6.4,3.5,8.5,7.4,5.4,3.1,8.1,5
Nathan,Ake,DEF,MCI,5000000,0,2,2,4E-07,4E-07,0,8872,0,1,0,0,0,0,0,0.4,4474,0,0,2,0,0.2,0,1,0,0,0,0,0,0.5,11131,0,-1,0,0,90,1131,0,0,15,Norwich,Arsenal,Leicester,Southampton,Chelsea,1.6,2.5,1.4,1,1,1.2,1.2,1,1.8,2.5,1,1.1,1,1,2,1.6,1,1.8,1.6,2.1,1.2,1,2,1.3,2.8,1,2.8,1.4,1.2,1,1.5,1.6,1,1.3,1,1,1,2.8
Marc,Albrighton,MID,LEI,5500000,0,0,0,0,0,0,3797,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1281,0,-1,0,0,0,360,0,0,0,West Ham,Norwich,Man City,Brighton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,1342,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Wolverhampton,Watford,Crystal Palace,Chelsea,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
