FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Donny,van de Beek,MID,EVE,5700000,0,25,0.925925925925926,1.62443144899285E-07,4.3859649122807E-06,0,83259,1,11,0,0,0,1,0,4.4,467,-3,0,25,3,0.2,0,1.4,1,0,2,0,0,0.5,106630,0,-1,0,0,497,211,0,0,95,West Ham,Burnley,Man Utd,Leicester,Liverpool,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,27.8
Virgil,van Dijk,DEF,LIV,6800000,0,150,5.6,8.23529411764706E-07,2.20588235294118E-05,0,1656202,2,17,0,0,0,3,0,22.1,1619,3,0,150,-3,1,0,6.8,11,0,17,0,2,19.4,1952602,0,-1,0,5,2430,13869,0,0,660,Watford,Man City,Aston Villa,Man Utd,Everton,0,5.8,7.1,14.3,8.2,5.3,8,5.6,7.1,108.7
Raphael,Varane,DEF,MUN,5500000,0,56,1.93103448275862,3.51097178683386E-07,1.01818181818182E-05,0,625806,0,13,0,0,0,0,0,10.2,505,0,0,56,0,0.4,0,2,7,0,4,0,1,2.6,671242,0,-1,0,1,1379,454,0,0,284,Leicester,Everton,Norwich,Liverpool,Arsenal,0,1.4,1.6,3.8,1.6,1.9,1.9,2,1.2,43
Jamie,Vardy,FWD,LEI,10300000,0,92,5.1,4.95145631067961E-07,8.93203883495146E-06,0,4203401,2,23,0,0,0,10,0,8.9,1876,-2,0,92,2,0.3,0,2.6,17,0,3,0,2,8.5,3486078,1,-1,0,4,1398,164,0,0,320,Brentford F.C.,Man Utd,Crystal Palace,Newcastle,Everton,0,6,6.6,11.5,6.3,4.7,7.5,6.7,7.4,115.9
Joel,Veltman,DEF,BHA,4200000,0,56,2.2,5.23809523809524E-07,1.33333333333333E-05,0,351115,6,31,0,0,0,0,0,13.3,268,-3,0,56,3,0.1,0,0.6,4,0,4,0,1,0.9,153490,0,-1,0,0,2064,311,0,0,381,Norwich,Arsenal,Tottenham,Man City,Southampton,0,1.6,2,5.1,1.6,2.2,1.7,2.2,2.4,71
Jannik,Vestergaard,DEF,LEI,4700000,0,11,0.423076923076923,9.00163666121113E-08,2.34042553191489E-06,0,140498,2,16,0,0,0,0,0,2.3,65,-3,0,11,3,0,0,0,0,0,1,0,0,0.5,60227,0,-1,0,0,563,15,0,0,115,Brentford F.C.,Man Utd,Crystal Palace,Newcastle,Everton,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,19
Joao,Virginia,GLK,EVE,4000000,0,0,0,0,0,0,110246,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0.8,5871,0,-1,0,0,0,0,0,0,0,West Ham,Burnley,Man Utd,Leicester,Liverpool,0,0,0,0,0,0,0,0,0,0
Nikola,Vlasic,MID,WHU,5600000,0,25,0.862068965517241,1.53940886699507E-07,4.46428571428571E-06,0,9236,0,8,0,0,0,1,0,4.5,11,-4,0,25,4,0.1,0,0.8,0,0,1,0,0,0,9792,0,-1,0,0,441,4,0,0,84,Tottenham,Everton,Brentford F.C.,Burnley,Chelsea,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,25.8
Matej,Vydra,FWD,BUR,5200000,0,27,1,1.92307692307692E-07,5.19230769230769E-06,0,120704,0,5,0,0,0,1,0,5.2,46,-3,0,27,3,0,0,0,2,0,1,0,1,0.3,66218,0,-1,0,0,438,7,0,0,79,Man City,Everton,Norwich,West Ham,Southampton,0,1.2,0.6,1.1,0.5,0.7,0.5,0.5,0.6,29.8
Theo,Walcott,MID,SOU,5800000,0,12,0.413793103448276,7.13436385255648E-08,2.06896551724138E-06,0,21796,0,8,0,0,0,0,0,2.1,10,-2,0,12,2,0,0,0,0,0,0,0,0,0.1,7035,0,-1,0,0,376,6,0,0,28,Leeds United F.C.,Chelsea,Arsenal,Burnley,Brighton,0,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,9.7
Kyle,Walker,DEF,MCI,5400000,0,78,4.3,7.96296296296296E-07,1.44444444444444E-05,0,933378,1,12,0,0,0,0,0,14.4,543,-1,0,78,1,0.4,0,2.2,5,0,9,0,2,5.3,809690,0,-1,0,0,1575,1115,0,0,365,Burnley,Liverpool,Wolverhampton,Brighton,Watford,0,5.6,6,10.7,3.7,5.4,4.4,5.3,5.2,59.4
Kyle,Walker-Peters,DEF,SOU,4800000,0,66,2.9,6.04166666666667E-07,1.375E-05,0,142890,5,27,0,0,0,1,0,13.8,553,-2,0,66,2,0.8,0,3.6,6,0,5,0,2,1,165205,0,-1,0,1,1828,405,0,0,366,Leeds United F.C.,Chelsea,Arsenal,Burnley,Brighton,0,2.8,3.9,6.4,3,2.9,2.9,4.2,2,100
Sam,Waller,GLK,BUR,4000000,0,0,0,0,0,0,723,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,0,-1,0,0,0,25,0,0,0,Man City,Everton,Norwich,West Ham,Southampton,0,0,0,0,0,0,0,0,0,0
Aaron,Wan-Bissaka,DEF,MUN,5100000,0,39,2.2,4.31372549019608E-07,7.64705882352941E-06,0,783543,2,30,0,0,0,0,0,7.6,249,-4,0,39,4,0.4,0,1.8,3,0,3,0,0,3.1,233093,0,-1,0,0,1613,86,0,0,298,Leicester,Everton,Norwich,Liverpool,Arsenal,0,1.7,2,4.5,1.9,2.3,2.3,2.4,1.5,65.9
Danny,Ward,GLK,LEI,4000000,0,0,0,0,0,0,241336,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0,0,0,0,0,0,0,3.6,238304,0,-1,0,0,0,17,0,0,0,Brentford F.C.,Man Utd,Crystal Palace,Newcastle,Everton,0,0,0,0,0,0,0,0,0,0
Joel,Ward,DEF,CRY,4500000,0,55,2.4,5.33333333333333E-07,1.22222222222222E-05,0,37559,6,34,0,0,0,0,0,12.2,12,0,0,55,0,0,0,0,2,0,6,0,0,0.2,29849,0,-1,0,0,2070,15,0,0,336,Arsenal,Leicester,Newcastle,Leeds United F.C.,Southampton,0,2.6,1.6,1.3,2.8,1.4,1.5,1.8,2.3,56.5
James,Ward-Prowse,MID,SOU,6500000,0,111,4.1,6.30769230769231E-07,1.70769230769231E-05,0,893891,3,43,0,0,0,6,0,17.1,4920,0,0,111,0,0.4,0,2.6,15,0,6,0,4,6.2,1077541,0,-1,0,2,2405,1033,0,1,557,Leeds United F.C.,Chelsea,Arsenal,Burnley,Brighton,0,3.2,3.7,8.1,4.1,4.9,3.4,3.4,2.9,193.5
Ollie,Watkins,FWD,AVL,7500000,2,87,3.3,4.4E-07,1.16E-05,0,2412462,6,34,0,0,0,7,0,11.6,7417,0,0,87,0,0.4,0,2.7,9,0,8,0,2,9.9,2928372,0,-1,0,1,2163,2449,0,0,289,Arsenal,Wolverhampton,Tottenham,Liverpool,Leicester,3.2,2.8,3.2,2.7,3.3,4.1,3.1,3.5,2.4,168.6
Adam,Webster,DEF,BHA,4300000,0,53,1.82758620689655,4.25020048115477E-07,1.23255813953488E-05,0,110468,4,13,0,0,0,2,0,12.3,215,-2,0,53,2,0,0,0,6,0,4,0,0,0.3,89173,0,-1,0,2,1166,8,0,0,226,Norwich,Arsenal,Tottenham,Man City,Southampton,0,1.2,1.5,3.9,1.2,1.7,1.3,1.7,1.8,49.8
Wout,Weghorst,FWD,BUR,6400000,0,30,3.3,5.15625E-07,4.6875E-06,0,497351,1,9,0,0,0,1,0,4.7,2441,-1,1,30,1,0.5,0,3.5,3,0,4,0,2,4.5,910291,0,-1,0,1,752,17823,-1,0,79,Man City,Everton,Norwich,West Ham,Southampton,0,6.9,3.8,6.8,2.5,4.2,3.3,2.5,3.7,31.8
Danny,Welbeck,FWD,BHA,5900000,0,41,2.6,4.40677966101695E-07,6.94915254237288E-06,0,71569,0,9,0,0,0,3,0,6.9,233,-1,0,41,1,0.2,0,1.4,6,0,2,0,0,0.3,79718,0,-1,0,0,718,185,0,0,104,Norwich,Arsenal,Tottenham,Man City,Southampton,0,2.6,2,3.8,2.6,2.2,2,3.1,2.2,44.6
Reece,Welch,DEF,EVE,4000000,0,0,0,0,0,0,1762,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2182,0,-1,0,0,0,7,0,0,0,West Ham,Burnley,Man Utd,Leicester,Liverpool,0,0,0,0,0,0,0,0,0,0
Timo,Werner,FWD,CHE,8600000,0,29,2.1,2.44186046511628E-07,3.37209302325581E-06,0,500547,1,6,0,0,0,1,0,3.4,240,-4,0,29,4,0.1,0,1.2,1,0,3,0,1,1.5,220031,0,-1,0,0,733,393,0,0,66,Brentford F.C.,Southampton,Leeds United F.C.,Arsenal,West Ham,0,1.7,1.6,3.6,1.7,1.8,1.1,1.8,1.9,53.9
,Wesley,FWD,AVL,5400000,0,1,1,1.85185185185185E-07,1.85185185185185E-07,0,27166,0,0,0,0,0,0,0,0.2,4,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,9629,0,-1,0,0,1,0,0,0,2,Arsenal,Wolverhampton,Tottenham,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0
Ashley,Westwood,MID,BUR,5200000,0,56,2.4,4.61538461538462E-07,1.07692307692308E-05,0,98565,7,34,0,0,0,0,0,10.8,33,-3,0,56,3,0.2,0,1,2,0,4,0,4,0.3,62794,0,-1,0,0,1987,91,0,0,278,Man City,Everton,Norwich,West Ham,Southampton,0,3.1,2.1,3.4,1.8,2.4,1.9,1.5,2.3,84.1
