FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5700000,0,53,1.60606060606061,2.81765018607124E-07,9.29824561403509E-06,0,881851,1,27,0,0,0,2,0,9.3,1640,-3,0,53,3,0,0,0.2,3,0,4,0,3,1.5,852483,0,-1,0,1,1257,448,0,0,143,Brighton,Crystal Palace,Brentford F.C.,Liverpool,Leicester,1,1.2,0.8,0.9,0.9,89.5
Max,Aarons,DEF,NOR,4300000,1,50,1.7,3.95348837209302E-07,1.16279069767442E-05,0,197435,6,54,0,0,0,0,0,11.6,294,-2,0,50,2,0,0,0.2,2,0,4,0,1,0.9,91979,1,-1,0,0,2429,199,0,0,350,Newcastle,Aston Villa,West Ham,Leicester,Wolverhampton,1.1,1.2,2.9,1.3,1.5,84.2
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42324,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,West Ham,Man Utd,Everton,Wolverhampton,Leeds United F.C.,0,0,0,0,0,0
Che,Adams,FWD,SOU,6700000,2,99,3.7,5.52238805970149E-07,1.47761194029851E-05,0,877209,0,36,0,0,0,7,0,14.8,22246,-3,1,99,3,0.2,0,1.4,11,0,5,0,4,4.1,1074850,0,-1,0,0,1935,3806,-1,0,323,Brighton,Crystal Palace,Brentford F.C.,Liverpool,Leicester,3.8,4.4,3.3,3.5,3.5,150.7
Tayo,Adaramola,DEF,CRY,4000000,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,0,-1,0,0,0,51,0,0,0,Leeds United F.C.,Southampton,Watford,Aston Villa,Everton,0,0,0,0,0,0
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,19870,0,0,0,0,0,0,0,0,35,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8640,0,-1,0,0,0,12,0,0,0,Everton,Newcastle,Tottenham,Aston Villa,Southampton,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4200000,0,73,2.28125,5.43154761904762E-07,1.73809523809524E-05,0,294927,4,12,0,0,0,0,0,17.4,3076,-3,0,73,3,0.1,0,0.3,7,0,7,0,4,1.3,355341,0,-1,0,1,1376,1079,0,0,293,Burnley,Brighton,Chelsea,Man City,Norwich,2.2,1.9,5.2,1.8,3,68.9
Kristoffer,Ajer,DEF,BRE,4400000,0,66,3.3,7.5E-07,1.5E-05,0,129553,4,25,0,0,0,0,0,15,669,-1,0,66,1,0.7,0,3.2,3,0,7,0,3,0.6,121545,0,-1,0,0,1667,346,0,0,319,Tottenham,Man Utd,Southampton,Everton,Leeds United F.C.,4,3.4,3.6,3.2,4.1,58.8
Nathan,Ake,DEF,MCI,4700000,1,46,1.4375,3.05851063829787E-07,9.78723404255319E-06,0,70426,0,3,0,0,0,1,0,9.8,335,-3,0,46,3,0.4,0,2,0,0,5,0,0,0.4,52827,0,-1,0,0,831,802,0,0,207,Watford,Leeds United F.C.,Newcastle,Wolverhampton,West Ham,0.7,1,1.8,1.1,0.9,29.3
Marc,Albrighton,MID,LEI,5200000,0,35,1.12903225806452,2.1712158808933E-07,6.73076923076923E-06,0,32181,2,21,0,0,0,1,0,6.7,106,-3,0,35,3,0,0,0,2,0,2,0,1,0.1,21700,0,-1,0,0,992,47,0,0,148,Aston Villa,Tottenham,Everton,Norwich,Watford,0.6,0.6,1.3,1.3,0.7,43.5
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Brentford F.C.,Leicester,Liverpool,Arsenal,Burnley,0,0,0,0,0,0
Ryan,Alebiosu,DEF,ARS,4000000,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,-1,0,0,0,0,0,0,0,Man Utd,West Ham,Leeds United F.C.,Tottenham,Newcastle,0,0,0,0,0,0
Ajibola,Alese,DEF,WHU,4000000,0,0,0,0,0,0,1518,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2445,0,-1,0,0,0,34,0,0,0,Chelsea,Arsenal,Norwich,Man City,Brighton,0,0,0,0,0,0
Trent,Alexander-Arnold,DEF,LIV,8400000,5,202,7,8.33333333333333E-07,2.4047619047619E-05,0,3752485,2,19,0,0,0,2,0,24,12262,9,0,202,-9,0.5,0,3.8,32,0,18,0,12,39.1,4342042,0,-1,0,5,2583,18842,0,0,822,Everton,Newcastle,Tottenham,Aston Villa,Southampton,10.4,7,18.9,7.9,9.4,254.6
,Alisson,GLK,LIV,6000000,6,157,5.1,8.5E-07,2.61666666666667E-05,0,871464,0,20,0,63,0,0,0,26.2,4105,0,0,157,0,0.8,0,4.8,12,0,19,0,1,8.8,928480,1,-1,0,2,2790,10524,0,0,693,Everton,Newcastle,Tottenham,Aston Villa,Southampton,7.4,4.3,13.3,4.9,6.5,63.3
,Allan,MID,EVE,4300000,1,56,2.2,5.11627906976744E-07,1.30232558139535E-05,0,994338,7,38,0,0,0,0,0,13,1589,-2,0,56,2,0.2,0,1,2,0,6,0,3,3,1071883,0,-1,0,0,2153,512,0,1,306,Liverpool,Chelsea,Leicester,Watford,Brentford F.C.,1.1,1.3,3,3.7,1.1,69
Miguel,Almiron,MID,NEW,5000000,1,50,1.9,3.8E-07,1E-05,0,67362,2,27,0,0,0,1,0,10,570,-5,0,50,5,0.5,0,2.6,0,0,5,0,0,0.3,45402,0,-1,0,0,1374,317,0,0,191,Norwich,Liverpool,Man City,Arsenal,Burnley,1.2,1,1,1.2,1.1,74
Marcos,Alonso,DEF,CHE,5600000,10,102,4.4,7.85714285714286E-07,1.82142857142857E-05,0,3092462,7,19,0,0,0,2,0,18.2,3914,1,0,102,-1,0.9,0,4.8,12,0,8,0,5,11,3509238,0,-1,0,5,1759,51787,0,0,437,West Ham,Man Utd,Everton,Wolverhampton,Leeds United F.C.,11.7,5.3,10.6,4.9,3.6,141.9
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,27758,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0.1,818,0,-1,0,0,0,0,0,0,0,Chelsea,Arsenal,Norwich,Man City,Brighton,0,0,0,0,0,0
Steven,Alzate,MID,BHA,4800000,0,13,0.393939393939394,8.20707070707071E-08,2.70833333333333E-06,0,6343,0,7,0,0,0,0,0,2.7,9,-2,0,13,2,0,0,0,0,0,0,0,0,0,3518,0,-1,0,0,401,5,0,0,77,Southampton,Wolverhampton,Man Utd,Leeds United F.C.,West Ham,0.2,0.2,0.2,0.2,0.2,13.3
Daniel,Amartey,DEF,LEI,4000000,0,45,2,5E-07,1.125E-05,0,1737792,2,34,0,0,0,0,0,11.2,13209,0,0,45,0,0.2,0,0.8,4,0,4,0,0,11.2,1532819,0,-1,0,1,1717,4270,0,0,343,Aston Villa,Tottenham,Everton,Norwich,Watford,1.7,1.6,3.8,3.1,1.7,45.2
Ethan,Ampadu,DEF,CHE,4500000,0,0,0,0,0,0,8082,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,0,-1,0,0,0,0,0,0,0,West Ham,Man Utd,Everton,Wolverhampton,Leeds United F.C.,0,0,0,0,0,0
Joachim,Andersen,DEF,CRY,4600000,5,102,3.5,7.60869565217391E-07,2.21739130434783E-05,0,94543,4,32,0,0,0,0,0,22.2,2659,1,0,102,-1,1.3,0,5.8,9,0,10,0,4,2,225144,1,-1,0,1,2464,12150,0,0,517,Leeds United F.C.,Southampton,Watford,Aston Villa,Everton,4.6,2.6,3,6.5,4.2,82.6
Elliot,Anderson,MID,NEW,4500000,0,0,0,0,0,0,3137,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3266,0,-1,0,0,0,0,0,0,0,Norwich,Liverpool,Man City,Arsenal,Burnley,0,0,0,0,0,0
Florin,Andone,FWD,BHA,5000000,0,0,0,0,0,0,16494,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3828,0,-1,0,0,0,0,0,0,0,Southampton,Wolverhampton,Man Utd,Leeds United F.C.,West Ham,0,0,0,0,0,0
,Andre Gomes,MID,EVE,4900000,0,15,1.2,2.44897959183673E-07,3.06122448979592E-06,0,17359,3,14,0,0,0,0,0,3.1,56,-1,0,15,1,0,0,0,0,0,0,0,1,0.1,8723,0,-1,0,0,498,7,0,0,39,Liverpool,Chelsea,Leicester,Watford,Brentford F.C.,0,0,0,0,0,28.3
Vincent,Angelini,GLK,WAT,4000000,0,0,0,0,0,0,24469,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,27314,0,-1,0,0,0,87,0,0,0,Man City,Burnley,Crystal Palace,Everton,Leicester,0,0,0,0,0,0
Michail,Antonio,FWD,WHU,7400000,0,122,3.8,5.13513513513513E-07,1.64864864864865E-05,0,7521478,6,38,0,0,0,8,0,16.5,51745,-1,1,122,1,0.3,1,2,13,0,7,0,9,26.9,7528533,0,-1,0,4,2731,4022,-1,1,379,Chelsea,Arsenal,Norwich,Man City,Brighton,2.8,4.4,3.9,3.6,3.9,232.7
Cameron,Archer,FWD,AVL,4500000,0,3,1,2.22222222222222E-07,6.66666666666667E-07,0,226297,0,0,0,0,0,0,0,0.7,429,0,0,3,0,0,0,0,0,0,0,0,0,0.8,271066,0,-1,0,0,24,0,0,0,3,Leicester,Norwich,Burnley,Liverpool,Crystal Palace,0,0,0,0,0,1.6
Alphonse,Areola,GLK,WHU,4700000,0,2,0.0606060606060606,1.28949065119278E-08,4.25531914893617E-07,0,201912,0,1,0,2,0,0,0,0.4,168,-3,0,2,3,0,0,0,0,0,0,0,0,0.7,143102,0,-1,0,0,90,85,0,0,11,Chelsea,Arsenal,Norwich,Man City,Brighton,0,0,0,0,0,2
Kepa,Arrizabalaga,GLK,CHE,4500000,0,19,0.612903225806452,1.36200716845878E-07,4.22222222222222E-06,0,72289,0,2,0,11,0,0,0,4.2,206,-5,0,19,5,0,0,0,1,0,2,0,0,0.3,65109,0,-1,0,0,360,50,0,0,89,West Ham,Man Utd,Everton,Wolverhampton,Leeds United F.C.,0.6,0.3,0.6,0.3,0.3,9.6
Harrison,Ashby,DEF,WHU,4000000,0,1,0.0303030303030303,7.57575757575758E-09,2.5E-07,0,3611,0,1,0,0,0,0,0,0.2,33,0,0,1,0,0,0,0,0,0,0,0,0,0.1,4570,0,-1,0,0,6,24,0,0,4,Chelsea,Arsenal,Norwich,Man City,Brighton,0,0,0,0,0,0.3
Pierre-Emerick,Aubameyang,FWD,ARS,9600000,0,44,3.1,3.22916666666667E-07,4.58333333333333E-06,0,898584,3,16,0,0,0,4,0,4.6,305,-4,0,44,4,0,2,0,7,0,6,0,1,1.2,742898,0,-1,0,0,1036,0,0,0,131,Man Utd,West Ham,Leeds United F.C.,Tottenham,Newcastle,0,0,0,0,0,92.9
Serge,Aurier,DEF,TOT,4900000,0,0,0,0,0,0,47758,0,0,0,0,0,0,0,0,9,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,7608,0,-1,0,0,0,0,0,0,0,Brentford F.C.,Leicester,Liverpool,Arsenal,Burnley,0,0,0,0,0,0
Brandon,Austin,GLK,TOT,4000000,0,0,0,0,0,0,1733,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2886,0,-1,0,0,0,36,0,0,0,Brentford F.C.,Leicester,Liverpool,Arsenal,Burnley,0,0,0,0,0,0
Zach,Awe,DEF,ARS,4000000,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1797,0,-1,0,0,0,62,0,0,0,Man Utd,West Ham,Leeds United F.C.,Tottenham,Newcastle,0,0,0,0,0,0
Jordan,Ayew,FWD,CRY,5800000,2,70,2.4,4.13793103448276E-07,1.20689655172414E-05,0,341389,1,27,0,0,0,2,0,12.1,1972,-2,0,70,2,0.6,0,3.2,3,0,9,0,4,1,349690,0,-1,0,0,1832,1554,0,0,257,Leeds United F.C.,Southampton,Watford,Aston Villa,Everton,2.9,1.7,2.7,3.4,2.3,104.9
Luke,Ayling,DEF,LEE,4300000,8,58,2.4,5.58139534883721E-07,1.34883720930233E-05,0,1276011,4,60,0,0,0,2,0,13.5,1631,-2,0,58,2,1.2,0,5,8,0,2,0,3,3,621910,0,-1,0,1,2156,3234,0,0,403,Crystal Palace,Man City,Arsenal,Chelsea,Brighton,1.5,2.9,4.7,2.3,2.4,100.5
Miguel,Azeez,MID,ARS,4500000,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,-1,0,0,0,29,0,0,0,Man Utd,West Ham,Leeds United F.C.,Tottenham,Newcastle,0,0,0,0,0,0
Cesar,Azpilicueta,DEF,CHE,5600000,6,79,3.8,6.78571428571429E-07,1.41071428571429E-05,0,1007565,1,19,0,0,0,1,0,14.1,910,-4,0,79,4,0.4,0,2.2,2,0,7,0,3,3.3,890975,0,-1,0,1,1704,3778,0,0,395,West Ham,Man Utd,Everton,Wolverhampton,Leeds United F.C.,9.8,4.3,8.6,4,2.8,86.1
Kwadwo,Baah,MID,WAT,4300000,0,0,0,0,0,0,18673,0,0,0,0,0,0,0,0,198,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,17387,0,-1,0,0,0,191,0,0,0,Man City,Burnley,Crystal Palace,Everton,Leicester,0,0,0,0,0,0
Daniel,Bachmann,GLK,WAT,4000000,0,22,0.6875,1.71875E-07,5.5E-06,0,429501,0,26,0,41,0,0,0,5.5,1364,-5,1,22,5,0,0,0,0,0,0,0,0,1.4,373087,0,-1,0,0,990,212,-1,0,175,Man City,Burnley,Crystal Palace,Everton,Leicester,0.4,0.3,0.6,0.3,0.4,30.2
Leon,Bailey,MID,AVL,6300000,2,36,1.16129032258065,1.84331797235023E-07,5.71428571428571E-06,0,248717,3,13,0,0,0,1,0,5.7,108,-2,0,36,2,0.3,0,1.7,1,0,2,0,3,0.4,81651,0,-1,0,0,711,416,0,0,100,Leicester,Norwich,Burnley,Liverpool,Crystal Palace,0.6,0.7,1.2,1.3,0.6,51.4
Eric,Bailly,DEF,MUN,4900000,0,2,0.0606060606060606,1.23685837971552E-08,4.08163265306122E-07,0,18063,1,4,0,0,0,0,0,0.4,92,-1,0,2,1,0,0,0,0,0,0,0,0,0.1,11876,1,-1,0,0,216,65,0,0,22,Arsenal,Chelsea,Brentford F.C.,Brighton,Crystal Palace,0,0,0,0,0,3.7
