FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,6000000,0,21,3,5E-07,3.5E-06,0,366271,0,10,0,0,0,1,0,3.5,9703,0,0,21,0,0.2,0,1.3,0,0,2,0,1,3,480180,0,-1,0,0,613,3786,0,0,61,Leeds United F.C.,Burnley,Watford,Aston Villa,Norwich,3.5,3.2,3.7,2.9,2.9,2.2,3.1,2,2.6,2.4,2,2.8,2.9,4,3.5,2.2,2.3,3.1,3.3,3,1.8,4.1,3.1,3.4,1.5,3.1,2.6,3.7,2.6,1.9,3,40.1
Max,Aarons,DEF,NOR,4400000,6,18,2.2,5E-07,4.09090909090909E-06,0,112245,2,16,0,0,0,0,0,4.1,923,-1,0,18,1,0.9,0,4,2,0,2,0,0,1.4,47520,0,-1,0,0,720,810,0,0,126,Brighton,Chelsea,Leeds United F.C.,Brentford F.C.,Southampton,1.6,1.8,2.3,2.2,1.7,1.2,1.1,2.3,1.9,2.2,1.7,2.7,1.4,1.1,2.2,1.2,2.6,2.2,2.2,1.6,2,2,1.6,1.8,1.9,2.1,1.5,1.2,1.6,2.2,3,31.4
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,41122,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Brentford F.C.,Norwich,Newcastle,Burnley,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,0,16,3.2,4.70588235294118E-07,2.35294117647059E-06,0,184521,0,6,0,0,0,0,0,2.4,4237,-2,0,16,2,0.1,0,0.7,0,0,1,0,2,0.8,98355,0,-1,0,0,380,31,0,0,43,Leeds United F.C.,Burnley,Watford,Aston Villa,Norwich,0,0,0,0,0,2.4,3.4,2.2,2.8,2.7,2.3,3.1,3.2,4.3,3.8,2.4,2.5,3.4,3.6,3.3,2.1,4.4,3.4,3.7,1.6,3.4,2.9,4.1,2.9,2.1,3.3,23.5
,Adrian,GLK,LIV,4400000,0,0,0,0,0,0,12153,0,0,0,0,0,0,0,0,446,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,6715,0,-1,0,0,0,84,0,0,0,Watford,Man Utd,Brighton,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,0,1,0.142857142857143,3.32225913621262E-08,2.32558139534884E-07,0,36641,0,0,0,0,0,0,0,0.2,232,-2,0,1,2,0,0,0,0,0,0,0,0,0.2,5052,0,-1,0,0,6,51,0,0,5,Aston Villa,Leeds United F.C.,Everton,Crystal Palace,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1
Kristoffer,Ajer,DEF,BRE,4500000,0,23,3.8,8.44444444444444E-07,5.11111111111111E-06,0,55746,1,5,0,0,0,0,0,5.1,1828,0,0,23,0,0.1,0,0.3,1,0,3,0,0,1.1,84997,0,-1,0,0,520,554,0,0,98,Chelsea,Leicester,Burnley,Norwich,Newcastle,3.4,2.7,4.2,4.1,3,4.3,4.9,4.9,3.5,3.8,4.3,4.6,4.4,4.3,5.2,2.6,4.2,5,5,3.1,4.5,3.9,3.1,4.5,3.4,3.5,5.2,5.1,3.5,3.6,4.5,13.1
Nathan,Ake,DEF,MCI,4900000,6,14,2,4.08163265306122E-07,2.85714285714286E-06,0,43535,0,1,0,0,0,0,0,2.9,449,-1,0,14,1,0.4,0,2,0,0,2,0,0,0.4,32843,0,-1,0,0,270,784,0,0,64,Burnley,Brighton,Crystal Palace,Man Utd,Everton,1.8,1.4,2.4,1.7,2,1.5,1,1,1.1,2.1,1,1.2,1.7,1.7,1.5,1.3,1.8,1.3,2.7,1,1.7,1,1.5,1.2,2,1.7,1.6,1.6,1.4,1.3,2,6.7
Marc,Albrighton,MID,LEI,5400000,0,10,1.42857142857143,2.64550264550265E-07,1.85185185185185E-06,0,20669,1,2,0,0,0,1,0,1.9,403,-1,0,10,1,0,0,0.2,1,0,0,0,0,0.2,15461,0,-1,0,0,190,67,0,0,38,Man Utd,Brentford F.C.,Arsenal,Leeds United F.C.,Chelsea,0.7,0.7,0.9,0.7,0.7,1,0.8,0.7,1.1,0.7,0.7,0.7,0.7,1,0.8,0.7,0.7,0.7,1.3,0.7,0.7,0.7,0.7,0.7,1.2,0.7,1,0.7,0.8,0.7,0.8,11.1
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2097,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Newcastle,West Ham,Man Utd,Everton,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent,Alexander-Arnold,DEF,LIV,7500000,6,41,6.8,9.06666666666667E-07,5.46666666666667E-06,0,1866850,0,4,0,0,0,0,0,5.5,8985,0,0,41,0,0.3,0,2.3,8,0,4,0,2,23.4,1125676,0,-1,0,2,513,36419,0,0,173,Watford,Man Utd,Brighton,West Ham,Arsenal,8,9.9,8.1,9.5,9.5,8.5,8.2,10.2,9.8,7.8,8.6,9,7.2,9.7,8.3,8.1,7.1,9.1,9,8.7,8.3,9.7,8.2,8.6,8.7,7.7,9.8,7.1,9.7,9.3,6.8,63.5
