FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5800000,0,47,3.1,5.3448275862069E-07,8.10344827586207E-06,0,748180,0,21,0,0,0,2,0,8.1,2806,-2,0,47,2,0.3,0,1.8,3,0,4,0,3,2.2,787559,0,-1,0,1,1088,16,0,0,134,West Ham,Tottenham,Newcastle,Wolverhampton,Man City,0,0,0,0,0,2.6,1.9,3.1,3.9,3.8,2.1,4.4,2.5,3.2,1.9,3.5,2.7,3.7,2.6,2.5,3.2,84.3
Max,Aarons,DEF,NOR,4300000,0,33,1.9,4.41860465116279E-07,7.67441860465116E-06,0,158088,4,34,0,0,0,0,0,7.7,209,-2,0,33,2,0.6,0,2.7,2,0,3,0,1,1.2,76691,1,-1,0,0,1530,212,0,0,234,Arsenal,Crystal Palace,Leicester,Everton,Watford,0,2.2,1,1.1,1.9,1,1.6,2,2,1,1.9,1.5,1.9,1.7,1.7,1.6,1.3,1.2,1.9,1.5,2.7,60
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,41956,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Wolverhampton,Aston Villa,Brighton,Liverpool,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,0,47,3.9,5.73529411764706E-07,6.91176470588235E-06,0,313282,0,13,0,0,0,3,0,6.9,933,-2,0,47,2,0.5,0,3.5,7,0,3,0,2,0.9,231132,0,-1,0,0,857,19,0,0,159,West Ham,Tottenham,Newcastle,Wolverhampton,Man City,0,0,0,0,0,3.7,2.7,4.3,5.3,5.2,3,5.6,3.6,4.4,2.8,4.9,3.8,5.1,3.8,3.6,4.4,63.3
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,17349,0,0,0,0,0,0,0,0,56,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,7853,0,-1,0,0,0,2,0,0,0,Tottenham,Leeds United F.C.,Leicester,Chelsea,Brentford F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,0,41,2.41176470588235,5.60875512995896E-07,9.53488372093023E-06,0,81685,1,4,0,0,0,0,0,9.5,1358,-2,0,41,2,1,0,4.1,3,0,5,0,1,1,119482,0,-1,0,0,718,161,0,0,166,Chelsea,Watford,Arsenal,Man Utd,Southampton,0,0,0,2.6,1.8,2.8,2.8,3.1,1.6,2.6,2.1,2.3,2.6,2.2,1.6,2.6,2.2,2.1,3.2,2.1,3.1,41.1
Kristoffer,Ajer,DEF,BRE,4400000,0,24,3.4,7.72727272727273E-07,5.45454545454545E-06,0,110997,1,6,0,0,0,0,0,5.5,85,-1,0,24,1,0,0,0,1,0,3,0,0,0.5,90578,0,-1,0,0,565,1,0,0,101,Brighton,Man City,Aston Villa,Liverpool,Wolverhampton,0,0,0,3.9,4.6,3.2,4.2,3.8,3.5,3.2,3.6,3.9,3,4.8,4.3,2.4,5,4,3.4,3.6,4.5,16.1
Nathan,Ake,DEF,MCI,4700000,0,24,1.41176470588235,3.00375469336671E-07,5.1063829787234E-06,0,57282,0,2,0,0,0,1,0,5.1,93,-3,0,24,3,0.3,0,1.4,0,0,2,0,0,0.4,40558,0,-1,0,0,399,117,0,0,102,Newcastle,Leicester,Brentford F.C.,Arsenal,Chelsea,0.7,0.8,1.1,0.8,1.2,0.7,1.2,0.8,1.8,0.8,0.9,0.7,1.1,0.8,1.4,0.9,0.7,0.9,0.8,1,1.1,14.4
Marc,Albrighton,MID,LEI,5200000,0,14,0.875,1.68269230769231E-07,2.69230769230769E-06,0,27553,1,5,0,0,0,1,0,2.7,19,-3,0,14,3,0.2,0,0.8,1,0,0,0,0,0.1,16896,0,-1,0,0,314,16,0,0,54,Man City,Liverpool,Norwich,Burnley,Brighton,0,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,16.4
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Liverpool,Crystal Palace,Southampton,Watford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
