FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5700000,0,50,2.8,4.91228070175439E-07,8.7719298245614E-06,0,829642,1,23,0,0,0,2,0,8.8,1492,-3,0,50,3,0.1,0,0.5,3,0,4,0,3,1.6,812975,0,-1,0,1,1194,1480,0,0,139,Tottenham,Man Utd,Everton,Norwich,Aston Villa,1.6,2.4,3.5,3.2,2,3.4,2,2.8,2,2.8,2.3,3.2,2.4,2.4,2.7,87.4
Max,Aarons,DEF,NOR,4300000,2,43,2,4.65116279069767E-07,1E-05,0,181535,5,43,0,0,0,0,0,10,309,-2,0,43,2,0.6,0,2.5,2,0,4,0,1,1,85602,1,-1,0,0,1969,272,0,0,291,Crystal Palace,Man City,Liverpool,Southampton,Brentford F.C.,1.6,2.4,2.2,1.1,2.1,1.8,2.2,1.7,2.3,1.7,1.1,1.4,2.1,1.7,2.5,68.1
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42165,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Crystal Palace,Burnley,Newcastle,Norwich,Brentford F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,7,63,3.7,5.44117647058824E-07,9.26470588235294E-06,0,338232,0,18,0,0,0,5,0,9.3,429,-2,0,63,2,0.6,0,3.8,8,0,3,0,2,0.8,247245,0,-1,0,0,1113,3047,0,0,221,Tottenham,Man Utd,Everton,Norwich,Aston Villa,2.6,3.7,5.1,4.7,3.2,5,3.2,4.2,3.1,4.2,3.6,4.8,3.6,3.7,4,83.9
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,18899,0,0,0,0,0,0,0,0,14,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8281,0,-1,0,0,0,12,0,0,0,Leicester,Burnley,Norwich,Leeds United F.C.,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4400000,0,54,2.57142857142857,5.84415584415585E-07,1.22727272727273E-05,0,148047,1,6,0,0,0,0,0,12.3,1837,-1,-1,54,1,1,0,4.3,6,0,5,0,3,1.7,242398,0,-1,0,1,898,5269,1,0,216,Arsenal,Tottenham,Leicester,Arsenal,West Ham,2.8,3,4.4,2.8,2.1,2.6,2.8,2.3,1.6,3.1,3,2.3,3.3,2,3.4,50.5
Kristoffer,Ajer,DEF,BRE,4400000,1,26,2.4,5.45454545454545E-07,5.90909090909091E-06,0,115356,2,17,0,0,0,0,0,5.9,84,-1,0,26,1,0.1,0,0.4,1,0,3,0,0,0.5,91895,0,-1,0,0,925,89,0,0,144,Man City,Crystal Palace,Arsenal,Newcastle,Norwich,2.8,2.1,2.1,1.6,1.8,2.9,1.6,2.8,2.7,1.4,3.2,2.3,2,2.1,2.8,25.7
Nathan,Ake,DEF,MCI,4700000,0,32,1.39130434782609,2.96022201665125E-07,6.80851063829787E-06,0,64201,0,3,0,0,0,1,0,6.8,138,-3,0,32,3,0,0,0,0,0,3,0,0,0.4,46593,0,-1,0,0,579,82,0,0,136,Brentford F.C.,Norwich,Tottenham,Everton,Man Utd,1.2,0.7,1.5,0.9,0.9,0.7,1,1,1.5,1,0.7,1,0.7,1,1,19.5
Marc,Albrighton,MID,LEI,5200000,0,20,1,1.92307692307692E-07,3.84615384615385E-06,0,29042,1,15,0,0,0,1,0,3.8,32,-3,0,20,3,0.2,0,1,1,0,0,0,0,0.1,18476,0,-1,0,0,542,11,0,0,81,Liverpool,West Ham,Wolverhampton,Leeds United F.C.,Arsenal,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,22.5
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2250,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Southampton,Wolverhampton,Man City,Burnley,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Alebiosu,DEF,ARS,4000000,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,-1,0,0,0,0,0,0,0,Wolverhampton,Brentford F.C.,Wolverhampton,Watford,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajibola,Alese,DEF,WHU,4000000,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1543,0,-1,0,0,0,27,0,0,0,Watford,Leicester,Newcastle,Wolverhampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent,Alexander-Arnold,DEF,LIV,8500000,0,144,7.2,8.47058823529412E-07,1.69411764705882E-05,0,2507786,1,17,0,0,0,2,0,16.9,6157,10,0,144,-10,0.5,0,4,28,0,10,0,10,47.3,3831745,0,-1,0,5,1773,11707,0,0,580,Leicester,Burnley,Norwich,Leeds United F.C.,West Ham,9.8,8.7,20.4,0,10.3,9.3,9.6,8.2,9,8.8,10.3,7.1,10.7,8,9.5,188.2
,Alisson,GLK,LIV,6000000,0,87,4.3,7.16666666666667E-07,1.45E-05,0,716652,0,17,0,40,0,0,0,14.5,3180,0,0,87,0,0.5,0,3,5,0,10,0,0,7.4,666901,1,-1,0,1,1800,2935,0,0,403,Leicester,Burnley,Norwich,Leeds United F.C.,West Ham,4.8,5.2,11.2,0,6.1,5.1,5.1,3.8,5.4,4.5,5.8,3.2,6.4,3.7,5.1,39
,Allan,MID,EVE,4300000,1,45,2.5,5.81395348837209E-07,1.04651162790698E-05,0,890604,4,30,0,0,0,0,0,10.5,3842,-2,0,45,2,0.1,0,0.3,2,0,3,0,3,3.5,1010570,0,-1,0,0,1537,3015,0,0,233,Newcastle,Leeds United F.C.,Southampton,Man City,Tottenham,2,1.9,1.7,1.4,1.4,2.2,2.4,1.3,1.6,2.5,1.2,1.6,1.5,2,1.3,51.8
Miguel,Almiron,MID,NEW,5100000,0,28,1.33333333333333,2.61437908496732E-07,5.49019607843137E-06,0,63380,1,26,0,0,0,0,0,5.5,122,-4,0,28,4,0.1,0,0.3,0,0,1,0,0,0.2,38146,0,-1,0,0,974,25,0,0,116,Everton,Aston Villa,West Ham,Brentford F.C.,Brighton,0.7,0.8,0.7,0.7,0.7,0.7,0.9,0.7,0.8,0.7,0.8,0.7,0.7,0.7,0.7,44.1
Marcos,Alonso,DEF,CHE,5600000,0,74,4.1,7.32142857142857E-07,1.32142857142857E-05,0,2763631,6,14,0,0,0,1,0,13.2,13314,1,1,74,-1,0.2,0,1,9,0,6,0,3,9.6,3047019,0,-1,0,3,1429,1085,-1,0,318,Crystal Palace,Burnley,Newcastle,Norwich,Brentford F.C.,0,0,3.5,0,5.3,3.5,4.3,5.5,3.7,5.3,5.4,4.9,4.4,5.1,3.2,96.5
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,27209,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0.1,818,0,-1,0,0,0,0,0,0,0,Watford,Leicester,Newcastle,Wolverhampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven,Alzate,MID,BHA,4800000,0,9,0.409090909090909,8.52272727272727E-08,1.875E-06,0,5760,0,3,0,0,0,0,0,1.9,10,-2,0,9,2,0.3,0,1.3,0,0,0,0,0,0,3050,0,-1,0,0,248,32,0,0,48,Watford,Man Utd,Burnley,Aston Villa,Newcastle,0,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.5
Daniel,Amartey,DEF,LEI,3800000,0,21,1.9,5E-07,5.52631578947368E-06,0,1522449,1,20,0,0,0,0,0,5.5,3206,-2,0,21,2,0.2,0,0.7,2,0,2,0,0,8,1016553,0,-1,0,1,875,9059,0,0,159,Liverpool,West Ham,Wolverhampton,Leeds United F.C.,Arsenal,2,1.9,1.6,0,2,1.5,2,1.5,1.5,1,1.6,1.7,1.8,1,1.4,19.6
Ethan,Ampadu,DEF,CHE,4500000,0,0,0,0,0,0,8018,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,0,-1,0,0,0,0,0,0,0,Crystal Palace,Burnley,Newcastle,Norwich,Brentford F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joachim,Andersen,DEF,CRY,4500000,2,52,2.7,6E-07,1.15555555555556E-05,0,69416,3,26,0,0,0,0,0,11.6,134,0,0,52,0,0.2,0,1,3,0,5,0,2,0.4,56058,1,-1,0,0,1564,260,0,0,303,Norwich,Brentford F.C.,Chelsea,Watford,Burnley,1.8,2.6,5,3.7,2.4,3.8,1.4,3.5,1.6,2.1,3.5,1.5,2,1.9,2.8,46.6
Elliot,Anderson,MID,NEW,4500000,0,0,0,0,0,0,2897,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3266,0,-1,0,0,0,0,0,0,0,Everton,Aston Villa,West Ham,Brentford F.C.,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,5000000,0,0,0,0,0,0,16379,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3828,0,-1,0,0,0,0,0,0,0,Watford,Man Utd,Burnley,Aston Villa,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Andre Gomes,MID,EVE,4900000,0,13,0.65,1.3265306122449E-07,2.6530612244898E-06,0,16161,3,12,0,0,0,0,0,2.7,46,-1,0,13,1,0.1,0,0.7,0,0,0,0,1,0.1,8067,0,-1,0,0,451,29,0,0,37,Newcastle,Leeds United F.C.,Southampton,Man City,Tottenham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,27.7
Vincent,Angelini,GLK,WAT,4000000,0,0,0,0,0,0,22368,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,24905,0,-1,0,0,0,48,0,0,0,West Ham,Brighton,Aston Villa,Crystal Palace,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail,Antonio,FWD,WHU,7800000,2,102,4.4,5.64102564102564E-07,1.30769230769231E-05,0,5855945,4,28,0,0,0,8,0,13.1,60855,3,1,102,-3,0.3,1,2.5,13,0,6,0,7,40.1,7049248,0,-1,0,4,2020,20413,-1,1,327,Watford,Leicester,Newcastle,Wolverhampton,Liverpool,5.9,5.4,5.6,4,3.6,5.4,3.7,6.2,4.9,5.5,3.7,5.2,5.2,4.3,4.9,187.4
