FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5800000,1,49,2.9,5E-07,8.44827586206897E-06,0,801771,1,22,0,0,0,2,0,8.4,7316,-2,0,49,2,0.1,0,0.5,3,0,4,0,3,1.8,804253,0,-1,0,1,1182,3390,0,0,137,Brentford F.C.,Wolverhampton,Man City,Tottenham,Man Utd,2.8,2,2.2,1.6,2.7,3.5,3.5,2,3.9,2.4,3,1.8,3,2.2,3.5,2.4,2.4,2.8,87.3
Max,Aarons,DEF,NOR,4300000,0,33,1.8,4.18604651162791E-07,7.67441860465116E-06,0,174273,4,39,0,0,0,0,0,7.7,3237,-2,0,33,2,0,0,0,2,0,3,0,1,1,82726,1,-1,0,0,1620,305,0,0,240,West Ham,Everton,Watford,Crystal Palace,Man City,1.4,1.7,0.9,1.5,1.9,1.9,0.9,1.8,1.4,1.7,1.4,1.6,1.3,1.2,1.1,1.6,1.4,2.3,62.1
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42089,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Liverpool,Man City,Brighton,Tottenham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,5,53,3.8,5.58823529411765E-07,7.79411764705882E-06,0,331155,0,13,0,0,0,4,0,7.8,2770,-2,0,53,2,0.2,0,1.5,7,0,3,0,2,0.8,237715,0,-1,0,0,891,1253,0,0,189,Brentford F.C.,Wolverhampton,Man City,Tottenham,Man Utd,4.2,3.1,3.4,2.5,4,5.1,5.1,3.2,5.4,3.6,4.4,2.9,4.4,3.4,5,3.6,3.7,4.2,68.7
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,18510,0,0,0,0,0,0,0,0,256,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8073,0,-1,0,0,0,161,0,0,0,Chelsea,Brentford F.C.,Crystal Palace,Leicester,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,0,41,2.27777777777778,5.29715762273902E-07,9.53488372093023E-06,0,121980,1,4,0,0,0,0,0,9.5,3614,-2,0,41,2,0,0,0,3,0,5,0,1,0.6,124027,0,-1,0,0,718,1845,0,0,166,Man Utd,Southampton,Brentford F.C.,Arsenal,Tottenham,2.2,1.6,2.6,2.4,2.6,1.5,2.3,1.9,2.1,2.4,1.9,1.5,2.4,2,1.9,2.8,2,2.8,41.1
Kristoffer,Ajer,DEF,BRE,4400000,0,24,3,6.81818181818182E-07,5.45454545454545E-06,0,113935,1,10,0,0,0,0,0,5.5,590,-1,0,24,1,0,0,0,1,0,3,0,0,0.5,90984,0,-1,0,0,655,290,0,0,112,Aston Villa,Southampton,Liverpool,Man Utd,Wolverhampton,5.3,6.6,2.7,3.8,3.1,2.9,2.6,3,3.3,2.4,3.9,3.4,1.9,4.3,3.1,2.7,3,3.7,17.5
Nathan,Ake,DEF,MCI,4700000,2,32,1.6,3.40425531914894E-07,6.80851063829787E-06,0,61028,0,3,0,0,0,1,0,6.8,1106,-3,0,32,3,0.6,0,3,0,0,3,0,0,0.4,45441,0,-1,0,0,579,2137,0,0,136,Arsenal,Chelsea,Southampton,Brentford F.C.,Norwich,1.1,1.4,0.8,1.4,1.1,1.9,1.1,1,0.8,1.2,1,1.8,1.2,0.8,1.2,1,1.2,1.2,19.5
Marc,Albrighton,MID,LEI,5200000,0,17,0.944444444444444,1.81623931623932E-07,3.26923076923077E-06,0,28375,1,11,0,0,0,1,0,3.3,236,-3,0,17,3,0.3,0,1.5,1,0,0,0,0,0.1,18017,0,-1,0,0,426,379,0,0,68,Burnley,Tottenham,Brighton,Liverpool,West Ham,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,20.2
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2233,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Watford,Arsenal,Leicester,Chelsea,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
