FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5800000,0,47,3.1,5.3448275862069E-07,8.10344827586207E-06,0,775656,0,21,0,0,0,2,0,8.1,1976,-2,0,47,2,0.1,0,0.8,3,0,4,0,3,2,789179,0,-1,0,1,1088,857,0,0,134,West Ham,Tottenham,Newcastle,Wolverhampton,Man City,2.4,3.1,4.4,2.3,2.6,1.8,3.1,3.9,3.8,2.1,4.4,2.5,3.3,2,3.4,2.5,3.7,2.6,2.6,3.2,84.3
Max,Aarons,DEF,NOR,4300000,0,33,1.8,4.18604651162791E-07,7.67441860465116E-06,0,162060,4,39,0,0,0,0,0,7.7,811,-2,0,33,2,0.2,0,1,2,0,3,0,1,1.2,80460,1,-1,0,0,1620,706,0,0,240,Arsenal,Crystal Palace,Leicester,Everton,Watford,1.9,0.9,0.9,1.7,0.9,1.5,1.9,1.9,0.9,1.7,1.5,1.7,1.5,1.6,1.5,1.2,1,1.7,1.4,2.3,62.1
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,41999,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Aston Villa,Brighton,Liverpool,Man City,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,1,48,3.7,5.44117647058824E-07,7.05882352941176E-06,0,321097,0,13,0,0,0,3,0,7.1,650,-2,0,48,2,0.4,0,2.4,7,0,3,0,2,0.9,232741,0,-1,0,0,866,774,0,0,162,West Ham,Tottenham,Newcastle,Wolverhampton,Man City,3.2,4.1,5.5,3.1,3.4,2.4,4,5,4.8,2.8,5.3,3.3,4.3,2.7,4.4,3.3,4.7,3.4,3.4,4.2,63.5
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,17873,0,0,0,0,0,0,0,0,99,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,7882,0,-1,0,0,0,9,0,0,0,Leicester,Chelsea,Brentford F.C.,Crystal Palace,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,0,41,2.27777777777778,5.29715762273902E-07,9.53488372093023E-06,0,105109,1,4,0,0,0,0,0,9.5,2482,-2,0,41,2,0.7,0,2.8,3,0,5,0,1,0.8,120172,0,-1,0,0,718,175,0,0,166,Man Utd,Southampton,Brentford F.C.,Arsenal,Tottenham,0,0,2.4,1.6,2.6,2.4,2.6,1.4,2.3,1.9,2.1,2.4,2,1.5,2.4,2,1.9,2.8,1.9,2.9,41.1
Kristoffer,Ajer,DEF,BRE,4400000,0,24,3.4,7.72727272727273E-07,5.45454545454545E-06,0,112213,1,6,0,0,0,0,0,5.5,199,-1,0,24,1,0,0,0,1,0,3,0,0,0.5,90620,0,-1,0,0,565,3,0,0,101,Brighton,Man City,Aston Villa,Liverpool,Wolverhampton,0,0,0,4.5,3.3,4.4,3.7,3.4,3.2,3.5,3.9,2.9,4.6,4.2,2.4,4.9,4,3.3,3.6,4.5,16.1
Nathan,Ake,DEF,MCI,4700000,0,24,1.33333333333333,2.83687943262411E-07,5.1063829787234E-06,0,58669,0,2,0,0,0,1,0,5.1,246,-3,0,24,3,0.3,0,1.3,0,0,2,0,0,0.4,41301,0,-1,0,0,399,137,0,0,102,Leicester,Brentford F.C.,Arsenal,Chelsea,Southampton,0.7,1,0.7,1.1,0.7,1.1,0.8,1.5,0.8,0.8,0.7,0.9,0.7,1.3,0.9,0.7,0.9,0.7,0.9,0.9,14.4
Marc,Albrighton,MID,LEI,5200000,2,16,1,1.92307692307692E-07,3.07692307692308E-06,0,27784,1,11,0,0,0,1,0,3.1,54,-3,0,16,3,0.2,0,0.8,1,0,0,0,0,0.1,17171,0,-1,0,0,404,78,0,0,62,Man City,Liverpool,Norwich,Burnley,Brighton,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,19.8
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Crystal Palace,Southampton,Watford,Arsenal,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajibola,Alese,DEF,WHU,4000000,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,629,0,-1,0,0,0,53,0,0,0,Southampton,Watford,Crystal Palace,Leeds United F.C.,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
