FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5700000,2,57,4.12316860416E-27,7.23362913010527E-34,1E-05,0,891454,1,31,0,0,0,2,0,10,0,-3,0,57,3,0,0,0,3,0,4,0,3,1.4,856507,0,-1,0,1,1409,0,0,0,150,Wolverhampton,Chelsea,Leeds United F.C.,Burnley,Watford,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.7
Max,Aarons,DEF,NOR,4300000,0,55,1.44736842105263,3.36597307221542E-07,1.27906976744186E-05,0,200122,8,69,0,0,0,0,0,12.8,0,-2,0,55,2,0,0,0,2,0,4,0,2,0.9,93800,1,-1,0,0,2879,0,0,0,413,Everton,Burnley,Brighton,Chelsea,Leeds United F.C.,1,0.9,1.1,0.9,1.2,0.8,0.9,1.2,1.1,1.3,1.1,1,1.1,0.7,0.9,1.1,1,0,1.2,0.7,1.1,1.1,0.7,0.9,1.5,1.5,0.7,2.8,1,0,0.9,1.2,0.9,0.8,0.8,2.1,0.9,1.2,100.9
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Man City,Southampton,Brentford F.C.,Norwich,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6500000,1,103,2.71052631578947,4.17004048582996E-07,1.58461538461538E-05,0,1033747,0,40,0,0,0,7,0,15.8,0,-5,0,103,5,0,0,0,11,0,5,0,4,2.6,1093888,0,-1,0,0,2034,0,0,0,333,Wolverhampton,Chelsea,Leeds United F.C.,Burnley,Watford,2.7,2.7,2.4,3.3,2.3,2.3,1.6,3.4,2.8,2.8,2.6,2.7,1.6,3,2.7,2,2,0,2.2,2.2,2.7,1.8,2.2,1.7,2.3,3,3.2,4.8,3.3,0,2.8,2,4.8,2.2,2.5,2.2,2.1,2.4,156.8
Tayo,Adaramola,DEF,CRY,4000000,0,0,0,0,0,0,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,0,-1,0,0,0,0,0,0,0,Brighton,Leicester,Arsenal,Newcastle,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,20117,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8755,0,-1,0,0,0,0,0,0,0,Brentford F.C.,Man City,Watford,Man Utd,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4100000,1,87,6.29325734319158E-27,1.53494081541258E-33,2.1219512195122E-05,0,325163,4,26,0,0,0,1,0,21.2,0,-4,0,87,4,0,0,0,10,0,7,0,4,1.3,385429,0,-1,0,2,1826,0,0,0,367,Southampton,Newcastle,Aston Villa,Leeds United F.C.,Everton,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.1
Kristoffer,Ajer,DEF,BRE,4400000,1,81,2.13157894736842,4.8444976076555E-07,1.84090909090909E-05,0,136461,5,32,0,0,0,1,0,18.4,0,-1,0,81,1,0,0,0,5,0,8,0,3,0.7,136468,0,-1,0,1,1995,0,0,0,384,Liverpool,West Ham,Chelsea,Leicester,Burnley,1.9,1.7,2.2,2.2,2.1,3,2.1,2.4,1.8,1.7,1.9,1.1,2,1.7,1.9,1.5,0,0,1.7,2.6,3.3,4.7,2.1,2.2,1.8,1.7,1.5,1.5,2.2,1.4,2,2.5,1.2,2.2,1.7,1.8,1.6,2.3,70
Nathan,Ake,DEF,MCI,4700000,0,54,3.90615973025684E-27,8.31097814948264E-34,1.14893617021277E-05,0,79916,0,3,0,0,0,2,0,11.5,0,-3,0,54,3,0,0,0,0,0,5,0,0,0.5,74111,0,-1,0,0,919,0,0,0,234,Chelsea,Liverpool,Burnley,Brighton,Crystal Palace,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9
Marc,Albrighton,MID,LEI,5200000,0,40,2.89345165204211E-27,5.56433010008097E-34,7.69230769230769E-06,0,32878,3,24,0,0,0,1,0,7.7,0,-3,0,40,3,0,0,0,2,0,2,0,2,0.1,22550,0,-1,0,0,1127,0,0,0,169,Burnley,Crystal Palace,Man Utd,Brentford F.C.,Arsenal,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.7
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Arsenal,Aston Villa,Newcastle,West Ham,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Alebiosu,DEF,ARS,4000000,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,-1,0,0,0,0,0,0,0,Tottenham,Brighton,Crystal Palace,Aston Villa,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajibola,Alese,DEF,WHU,4000000,0,0,0,0,0,0,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2926,0,-1,0,0,0,0,0,0,0,Leeds United F.C.,Brentford F.C.,Everton,Tottenham,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent,Alexander-Arnold,DEF,LIV,8400000,2,208,5.47368421052632,6.51629072681704E-07,2.47619047619048E-05,0,3985324,2,22,0,0,0,2,0,24.8,0,9,0,208,-9,0,0,0,32,0,18,0,12,37.9,4467728,0,-1,0,5,2853,0,0,0,864,Brentford F.C.,Man City,Watford,Man Utd,Brighton,7.7,6.8,7.8,6.8,7.6,6.8,7.8,5.4,6.8,7.8,6.8,7.8,7.1,6.6,6.7,7.4,6.3,6.8,0,6,6.8,7.8,6,7,6.8,15.3,0,7.8,13.6,0,6.5,6.8,7.8,7.6,5.2,14.2,6.1,7.7,283.2
,Alisson,GLK,LIV,6100000,3,176,4.63157894736842,7.59275237273512E-07,2.88524590163934E-05,0,914974,0,24,0,75,0,0,0,28.9,0,1,0,176,-1,0,0,0,15,0,20,0,1,9.4,1023557,1,-1,0,2,3240,0,0,0,782,Brentford F.C.,Man City,Watford,Man Utd,Brighton,6.2,5.5,6.6,5.5,6.1,5.7,6.6,4.2,5.4,6.4,5.7,6.4,5.7,5.2,5.3,5.9,5,5.5,0,4.7,5.7,6.6,4.7,5.6,5.5,12.6,0,6.6,11.1,0,5.1,5.7,6.3,6.1,4,11.4,4.8,6.2,73.1
,Allan,MID,EVE,4300000,0,58,1.52631578947368,3.54957160342717E-07,1.34883720930233E-05,0,1008066,7,38,0,0,0,0,0,13.5,0,-2,0,58,2,0,0,0,2,0,6,0,3,2.9,1077267,0,-1,0,0,2181,0,0,1,313,Norwich,Man Utd,West Ham,Watford,Wolverhampton,0.8,0.8,1,0.8,0.8,1.2,0.8,0.8,1.3,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0.9,0.9,1,0.8,0.9,0.8,0.8,0.8,2.2,0,1.7,0.8,0.8,0.8,0.8,1.8,1.9,0.8,70.4
Miguel,Almiron,MID,NEW,5000000,2,59,1.55263157894737,3.10526315789474E-07,1.18E-05,0,71012,2,32,0,0,0,1,0,11.8,0,-5,0,59,5,0,0,0,0,0,6,0,0,0.2,47676,0,-1,0,0,1706,0,0,0,228,Watford,Wolverhampton,Tottenham,Crystal Palace,Chelsea,1.2,0.8,0.8,0.8,0.8,1,0.9,0.8,0.8,0.8,0.8,0.9,0.8,1.2,1.2,0.8,0.8,0.8,0.9,0,0,1.3,0.8,1,1,0.8,0.8,1.7,1.6,0,0.8,1.1,1.8,1,0.8,0.8,0.8,0.9,81.8
Marcos,Alonso,DEF,CHE,5700000,0,128,3.36842105263158,5.90951061865189E-07,2.24561403508772E-05,0,3196283,8,22,0,0,0,4,0,22.5,0,2,0,128,-2,0,0,0,14,0,9,0,5,15.3,4009140,0,-1,0,5,2164,0,0,0,528,Man City,Southampton,Brentford F.C.,Norwich,Newcastle,3.2,3.2,4.2,4.4,3.5,4.8,3.6,3.9,3.8,2.4,4.2,2.9,4.1,2.5,4,4.4,3.9,3.3,3.1,4.2,4.8,7.7,4.2,0,0,2.9,0,6.7,3.1,0,4.5,2.9,4.2,8.1,3.2,7.7,3.5,3.2,180.6
,Alvaro Fernandez,DEF,MUN,4000000,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,-1,0,0,0,0,0,0,0,Aston Villa,Everton,Leicester,Liverpool,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,27915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,818,0,-1,0,0,0,0,0,0,0,Leeds United F.C.,Brentford F.C.,Everton,Tottenham,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven,Alzate,MID,BHA,4800000,0,13,9.40371786913684E-28,1.95910788940351E-34,2.70833333333333E-06,0,6463,0,7,0,0,0,0,0,2.7,0,-2,0,13,2,0,0,0,0,0,0,0,0,0,3643,0,-1,0,0,401,0,0,0,77,Crystal Palace,Arsenal,Norwich,Man City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3
Daniel,Amartey,DEF,LEI,4000000,1,55,1.44736842105263,3.61842105263158E-07,1.375E-05,0,1842053,4,40,0,0,0,0,0,13.8,0,0,0,55,0,0,0,0,4,0,5,0,0,10.9,1612752,0,-1,0,1,2118,0,0,0,422,Burnley,Crystal Palace,Man Utd,Brentford F.C.,Arsenal,1.5,0.9,1.2,0.9,1.2,1.2,0.7,1.1,1.1,1.2,1,1.4,0.8,0.7,0.8,0.8,0,0,1.2,1.8,0,1.2,1.2,1.5,1.4,0.9,0.9,1.3,0.9,1.4,0.9,0.9,1.5,1,0.9,2.1,1.8,1,54.9
