FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast,ICTIndex
Viljami,Sinisalo,GLK,AVL,4000000,0,0,0,0,0,0,7077,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,9833,0,-1,0,0,0,57,0,0,0,Crystal Palace,Burnley,Man City,,,0,0,0
Moussa,Sissoko,MID,WAT,4300000,2,83,2.4,5.58139534883721E-07,1.93023255813953E-05,0,508673,5,71,0,0,0,2,0,19.3,1714,-2,0,83,2,0.5,0,2.2,1,0,4,0,1,2.3,555170,0,-1,0,0,3130,3005,0,0,409,Leicester,Chelsea,,,,1.7,1.6,138.1
Oliver,Skipp,MID,TOT,4400000,0,34,1.9,4.31818181818182E-07,7.72727272727273E-06,0,310935,6,13,0,0,0,0,0,7.7,107,-1,0,34,1,0,0,0,0,0,8,0,0,0.6,307618,0,-1,0,0,1346,14,0,0,180,Burnley,Norwich,,,,0,0,37.4
Cieran,Slicker,GLK,MCI,4000000,0,0,0,0,0,0,1360,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1709,0,-1,0,0,0,12,0,0,0,West Ham,Aston Villa,,,,0,0,0
Thierry,Small,DEF,SOU,4000000,0,0,0,0,0,0,108866,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,111476,0,-1,0,0,0,31,0,0,0,Liverpool,Leicester,,,,0,0,0
William,Smallbone,MID,SOU,4500000,0,4,0.111111111111111,2.46913580246914E-08,8.88888888888889E-07,0,23803,0,4,0,0,0,0,0,0.9,11,0,0,4,0,0,0,0,0,0,0,0,0,0,23842,0,-1,0,0,131,13,0,0,22,Liverpool,Leicester,,,,0.1,0.1,3.1
Emile,Smith Rowe,MID,ARS,5700000,1,125,3.47222222222222,6.0916179337232E-07,2.19298245614035E-05,0,3722095,1,28,0,0,0,10,0,21.9,8719,2,0,125,-2,0.4,0,2,9,0,8,0,2,10.2,3945190,0,-1,0,1,1909,2366,0,0,435,Newcastle,Everton,,,,2.9,3.8,158.4
Heung-Min,Son,MID,TOT,11200000,3,246,7.2,6.42857142857143E-07,2.19642857142857E-05,0,5696892,1,30,0,0,0,21,0,22,7157,12,-1,246,-12,0.8,0,9,27,0,17,0,10,32.5,6774759,0,-1,0,8,2919,89631,1,0,792,Burnley,Norwich,,,,10.2,9,338.2
Andreas,Sondergaard,GLK,WOL,3900000,0,0,0,0,0,0,106297,0,0,0,0,0,0,0,0,237,-1,0,0,1,0,0,0,0,0,0,0,0,0.9,79399,0,-1,0,0,0,0,0,0,0,Norwich,Liverpool,,,,0,0,0
,S?rensen,DEF,BRE,4300000,-1,19,0.527777777777778,1.22739018087855E-07,4.41860465116279E-06,0,9876,3,13,0,0,0,0,0,4.4,25,-2,0,19,2,0.7,0,2.8,0,0,2,0,0,0.1,3564,0,-1,0,0,763,82,0,0,121,Everton,Leeds United F.C.,,,,0.3,0.3,22.6
