FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5700000,0,50,2.8,4.91228070175439E-07,8.7719298245614E-06,0,825074,1,23,0,0,0,2,0,8.8,3925,-3,1,50,3,0.1,0,0.7,3,0,4,0,3,1.6,808355,0,-1,0,1,1194,1636,-1,0,139,Man City,Tottenham,Man Utd,Everton,Norwich,2.2,1.6,2.5,3.6,3.3,1.9,3.7,2.1,2.8,1.9,2.7,2.2,3.3,2.3,2.4,2.6,87.4
Max,Aarons,DEF,NOR,4300000,6,41,2,4.65116279069767E-07,9.53488372093023E-06,0,180477,5,42,0,0,0,0,0,9.5,1135,-2,0,41,2,0.6,0,2.7,2,0,4,0,1,1,84600,1,-1,0,0,1879,928,0,0,281,Watford,Crystal Palace,Man City,Liverpool,Southampton,1,1.7,2.4,2.1,1,2.2,1.7,2.2,1.6,2.5,1.7,1.3,1.3,2,1.6,2.5,66.8
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42152,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Tottenham,Crystal Palace,Burnley,Newcastle,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,2,56,3.5,5.14705882352941E-07,8.23529411764706E-06,0,337000,0,16,0,0,0,4,0,8.2,1151,-2,0,56,2,0.4,0,2.7,7,0,3,0,2,0.8,243030,0,-1,0,0,1026,1514,0,0,193,Man City,Tottenham,Man Utd,Everton,Norwich,3.1,2.4,3.5,4.8,4.5,2.8,4.9,3,3.9,2.8,3.8,3.2,4.5,3.3,3.3,3.6,71.5
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,18845,0,0,0,0,0,0,0,0,90,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8249,0,-1,0,0,0,51,0,0,0,Crystal Palace,Leicester,Burnley,Norwich,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,2,54,2.7,6.27906976744186E-07,1.25581395348837E-05,0,137151,1,6,0,0,0,0,0,12.6,7259,-2,0,54,2,1.5,0,6.5,6,0,5,0,3,1.3,200631,0,-1,0,1,898,18287,0,0,216,Brentford F.C.,Arsenal,Tottenham,Leicester,Arsenal,3.2,3,3.2,4.7,3,2.3,2.7,3.1,2.5,1.7,3.2,3.4,2.4,3.5,2.3,3.5,50.5
Kristoffer,Ajer,DEF,BRE,4400000,1,25,2.5,5.68181818181818E-07,5.68181818181818E-06,0,115075,2,15,0,0,0,0,0,5.7,374,-1,0,25,1,0,0,0.2,1,0,3,0,0,0.5,91706,0,-1,0,0,835,154,0,0,133,Wolverhampton,Man City,Crystal Palace,Arsenal,Newcastle,2.1,2.9,2.3,2.2,1.8,1.9,3.4,1.7,2.9,2.8,1.4,3.3,2.4,2.2,2.1,3.1,24.6
Nathan,Ake,DEF,MCI,4700000,0,32,1.45454545454545,3.09477756286267E-07,6.80851063829787E-06,0,63827,0,3,0,0,0,1,0,6.8,574,-3,0,32,3,0,0,0,0,0,3,0,0,0.4,46386,0,-1,0,0,579,263,0,0,136,Southampton,Brentford F.C.,Norwich,Tottenham,Everton,0.7,1.3,0.8,1.5,0.9,0.9,0.7,1,1.3,1.6,1,0.7,1.1,0.7,1.1,1.1,19.5
Marc,Albrighton,MID,LEI,5200000,1,20,1.05263157894737,2.02429149797571E-07,3.84615384615385E-06,0,28930,1,15,0,0,0,1,0,3.8,152,-3,0,20,3,0.3,0,1.5,1,0,0,0,0,0.1,18434,0,-1,0,0,542,65,0,0,81,Brighton,Liverpool,West Ham,Wolverhampton,Leeds United F.C.,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.6,0.6,22.5
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2247,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Chelsea,Southampton,Wolverhampton,Man City,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Alebiosu,DEF,ARS,4000000,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,-1,0,0,0,76,0,0,0,Burnley,Wolverhampton,Brentford F.C.,Wolverhampton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
