FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5700000,0,51,2.04,3.57894736842105E-07,8.94736842105263E-06,0,849559,1,23,0,0,0,2,0,8.9,3137,-3,0,51,3,0,0,0.2,3,0,4,0,3,1.6,829403,0,-1,0,1,1195,1728,0,0,142,Norwich,Aston Villa,Newcastle,Watford,Burnley,2.1,3.1,2,1.2,1.8,1.2,1.6,1.4,1.9,1.3,1.4,1.6,87.4
Max,Aarons,DEF,NOR,4300000,1,46,1.8,4.18604651162791E-07,1.06976744186047E-05,0,186346,5,50,0,0,0,0,0,10.7,607,-2,0,46,2,0.3,0,1.2,2,0,4,0,1,1,89288,1,-1,0,0,2211,228,0,0,325,Southampton,Brentford F.C.,Leeds United F.C.,Chelsea,Brighton,0.9,2,1.6,1.8,1.5,1.7,1.5,1,1.2,1.8,1.5,1.9,76
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42218,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Burnley,Newcastle,Norwich,Brentford F.C.,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6900000,6,83,4.2,6.08695652173913E-07,1.20289855072464E-05,0,365080,0,19,0,0,0,7,0,12,5961,-1,0,83,1,1,0,6.8,11,0,5,0,3,5.1,645870,0,-1,0,0,1375,117356,0,0,285,Norwich,Aston Villa,Newcastle,Watford,Burnley,5.7,9.2,5.6,3.8,4.9,3.8,4.9,4.3,5.4,4.2,4.3,4.8,114.5
Tayo,Adaramola,DEF,CRY,4000000,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,-1,0,0,0,61,0,0,0,Burnley,Wolverhampton,Man City,Newcastle,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,19306,0,0,0,0,0,0,0,0,34,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8395,0,-1,0,0,0,12,0,0,0,West Ham,Brighton,Arsenal,Man Utd,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4400000,0,62,2.48,5.63636363636364E-07,1.40909090909091E-05,0,180276,3,9,0,0,0,0,0,14.1,5810,-1,0,62,1,0.4,0,1.6,6,0,6,0,3,2,304280,0,-1,0,1,1192,9517,0,0,250,West Ham,Crystal Palace,Watford,Everton,Leeds United F.C.,2.7,3.1,2.4,2.7,2.2,1.6,2.9,2.7,2,3.2,1.9,3.4,61.8
Kristoffer,Ajer,DEF,BRE,4400000,0,37,2.6,5.90909090909091E-07,8.40909090909091E-06,0,116966,3,21,0,0,0,0,0,8.4,361,-1,0,37,1,0.7,0,3,2,0,4,0,1,0.5,95616,0,-1,0,0,1176,150,0,0,198,Newcastle,Norwich,Burnley,Leicester,Chelsea,2,2.1,3,1.9,3.1,3.1,1.8,3.3,2.5,2.3,2.3,3.3,34.3
Nathan,Ake,DEF,MCI,4700000,0,38,1.46153846153846,3.10965630114566E-07,8.08510638297872E-06,0,65923,0,3,0,0,0,1,0,8.1,234,-3,0,38,3,0.3,0,1.5,0,0,4,0,0,0.4,47817,0,-1,0,0,669,77,0,0,170,Everton,Man Utd,Crystal Palace,Brighton,Burnley,0.9,1,0.7,1,1.1,1.7,1.1,0.7,1.1,0.7,1.1,1.1,25.3
Marc,Albrighton,MID,LEI,5200000,0,27,1.17391304347826,2.25752508361204E-07,5.19230769230769E-06,0,29498,2,19,0,0,0,1,0,5.2,45,-3,0,27,3,0.3,0,1.8,2,0,0,0,1,0.1,19127,0,-1,0,0,722,73,0,0,114,Burnley,Leeds United F.C.,Arsenal,Brentford F.C.,Man Utd,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.7,30.9
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2262,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Leeds United F.C.,Everton,Man Utd,Brighton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Alebiosu,DEF,ARS,4000000,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,-1,0,0,0,0,0,0,0,Watford,Leicester,Liverpool,Aston Villa,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajibola,Alese,DEF,WHU,4000000,0,0,0,0,0,0,1037,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1903,0,-1,0,0,0,27,0,0,0,Wolverhampton,Liverpool,Aston Villa,Tottenham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent,Alexander-Arnold,DEF,LIV,8500000,0,162,7,8.23529411764706E-07,1.90588235294118E-05,0,2780195,1,17,0,0,0,2,0,19.1,19697,10,0,162,-10,0.5,0,4.5,28,0,13,0,10,46,3994226,0,-1,0,5,2043,16815,0,0,655,West Ham,Brighton,Arsenal,Man Utd,Watford,0,10.1,17.7,9.4,8,8.8,8.6,10.3,6.9,10.3,7.5,9.1,208.9
,Alisson,GLK,LIV,6000000,0,114,4.8,8E-07,1.9E-05,0,773630,0,18,0,48,0,0,0,19,4178,0,0,114,0,1.1,0,6.8,8,0,13,0,1,7.7,743257,1,-1,0,1,2160,5707,0,0,516,West Ham,Brighton,Arsenal,Man Utd,Watford,0,6.9,11.7,6.2,4.6,6.1,5.4,6.9,3.8,7,4.3,5.7,49.3
,Allan,MID,EVE,4300000,1,49,2.3,5.34883720930233E-07,1.13953488372093E-05,0,928730,6,31,0,0,0,0,0,11.4,3837,-2,0,49,2,0.3,0,1.2,2,0,4,0,3,3.5,1044353,0,-1,0,0,1762,2481,0,0,264,Man City,Tottenham,Wolverhampton,Newcastle,Watford,1.2,1.2,4.3,2,1.2,1.4,2.1,1.2,1.5,1.2,1.9,1.2,58.9
Miguel,Almiron,MID,NEW,5100000,1,30,1.25,2.45098039215686E-07,5.88235294117647E-06,0,64501,1,26,0,0,0,0,0,5.9,111,-4,0,30,4,0.1,0,0.5,0,0,1,0,0,0.2,38701,0,-1,0,0,986,109,0,0,122,Brentford F.C.,Brighton,Southampton,Chelsea,Everton,0.6,1.2,1.2,0.8,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.6,45.5
Marcos,Alonso,DEF,CHE,5600000,0,78,4.1,7.32142857142857E-07,1.39285714285714E-05,0,2909056,6,14,0,0,0,1,0,13.9,5747,1,0,78,-1,0.7,0,4,9,0,6,0,4,8.2,3071626,0,-1,0,3,1445,8592,0,0,333,Burnley,Newcastle,Norwich,Brentford F.C.,Southampton,0,5.2,3.7,4.5,5.5,3.7,5.3,5.5,4.8,4.2,5.2,3.2,100.1
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,27468,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.1,818,0,-1,0,0,0,0,0,0,0,Wolverhampton,Liverpool,Aston Villa,Tottenham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven,Alzate,MID,BHA,4800000,0,10,0.4,8.33333333333333E-08,2.08333333333333E-06,0,5987,0,4,0,0,0,0,0,2.1,31,-2,0,10,2,0,0,0.2,0,0,0,0,0,0,3281,0,-1,0,0,278,13,0,0,54,Aston Villa,Newcastle,Liverpool,Tottenham,Man City,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,11.4
Daniel,Amartey,DEF,LEI,3800000,0,24,1.7,4.47368421052632E-07,6.31578947368421E-06,0,1584588,1,26,0,0,0,0,0,6.3,8216,-2,0,24,2,0.2,0,0.8,2,0,2,0,0,8.9,1165057,0,-1,0,1,1145,10297,0,0,211,Burnley,Leeds United F.C.,Arsenal,Brentford F.C.,Man Utd,1.3,1.8,1.2,1.9,1.3,1.2,0.8,1.4,1.3,1.6,0.8,1.2,28.8
Ethan,Ampadu,DEF,CHE,4500000,0,0,0,0,0,0,8045,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,0,-1,0,0,0,0,0,0,0,Burnley,Newcastle,Norwich,Brentford F.C.,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0
Joachim,Andersen,DEF,CRY,4500000,2,67,2.9,6.44444444444444E-07,1.48888888888889E-05,0,73427,3,29,0,0,0,0,0,14.9,577,0,0,67,0,0.8,0,3.4,6,0,6,0,2,0.4,64479,1,-1,0,0,1924,185,0,0,367,Burnley,Wolverhampton,Man City,Newcastle,Arsenal,3.7,2.8,4.1,1.6,3.6,2.1,2.5,3.9,1.8,2.1,2.4,3.1,59.4
Elliot,Anderson,MID,NEW,4500000,0,0,0,0,0,0,3025,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3266,0,-1,0,0,0,0,0,0,0,Brentford F.C.,Brighton,Southampton,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,5000000,0,0,0,0,0,0,16422,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3828,0,-1,0,0,0,0,0,0,0,Aston Villa,Newcastle,Liverpool,Tottenham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0
