FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5700000,0,52,1.79310344827586,3.14579552329099E-07,9.12280701754386E-06,0,870736,1,23,0,0,0,2,0,9.1,1386,-3,0,52,3,0.1,0,0.3,3,0,4,0,3,1.5,843914,0,-1,0,1,1212,1259,0,0,142,Leeds United F.C.,Chelsea,Arsenal,Burnley,Brighton,1.5,0.9,2.3,1.2,1.4,1.1,1,1.1,88
Max,Aarons,DEF,NOR,4300000,0,49,1.8,4.18604651162791E-07,1.13953488372093E-05,0,194711,6,54,0,0,0,0,0,11.4,966,-2,0,49,2,0.2,0,0.7,2,0,4,0,1,0.9,90791,1,-1,0,0,2397,18,0,0,345,Brighton,Burnley,Man Utd,Newcastle,Aston Villa,0,0,0,0,0,3,1.5,1.7,82.3
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42290,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Brentford F.C.,Southampton,Arsenal,West Ham,Everton,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6900000,2,94,3.9,5.65217391304348E-07,1.36231884057971E-05,0,686091,0,28,0,0,0,7,0,13.6,19271,-1,0,94,1,0.4,0,3,11,0,5,0,4,5.4,1004334,0,-1,0,0,1731,5188,0,0,313,Leeds United F.C.,Chelsea,Arsenal,Burnley,Brighton,4.6,3.4,8,4,4.5,3.7,3.7,3.9,135.8
Tayo,Adaramola,DEF,CRY,4000000,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,907,0,-1,0,0,0,59,0,0,0,Arsenal,Leicester,Newcastle,Leeds United F.C.,Southampton,0,0,0,0,0,0,0,0,0
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,19661,0,0,0,0,0,0,0,0,21,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8565,0,-1,0,0,0,20,0,0,0,Watford,Man City,Man Utd,Everton,Newcastle,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4400000,0,72,2.4,5.45454545454545E-07,1.63636363636364E-05,0,248134,4,12,0,0,0,0,0,16.4,5893,-1,0,72,1,0.6,0,2.5,7,0,7,0,4,1.8,348795,0,-1,0,1,1372,412,0,0,290,Aston Villa,Newcastle,Burnley,Brighton,Chelsea,1.9,1.6,0,2.7,2,3.1,1.8,3.2,68.8
Kristoffer,Ajer,DEF,BRE,4400000,2,55,3.1,7.04545454545455E-07,1.25E-05,0,124511,4,24,0,0,0,0,0,12.5,528,-1,0,55,1,0.7,0,3,3,0,6,0,2,0.6,115733,0,-1,0,0,1495,674,0,0,274,Chelsea,West Ham,Watford,Tottenham,Man Utd,4,4.2,2.4,3.8,3.2,3.1,3.1,3.9,49.2
Nathan,Ake,DEF,MCI,4700000,6,44,1.51724137931034,3.22817314746882E-07,9.36170212765957E-06,0,68222,0,3,0,0,0,1,0,9.4,77,-3,0,44,3,0.6,0,3,0,0,5,0,0,0.4,48641,0,-1,0,0,759,308,0,0,194,Burnley,Liverpool,Brighton,Watford,Leeds United F.C.,1.2,1.8,1.1,0.8,1.1,0.8,1.2,1,27.5
Marc,Albrighton,MID,LEI,5200000,0,35,1.2962962962963,2.49287749287749E-07,6.73076923076923E-06,0,31408,2,21,0,0,0,1,0,6.7,105,-3,0,35,3,0.1,0,0.7,2,0,2,0,1,0.1,21222,0,-1,0,0,992,36,0,0,148,Man Utd,Crystal Palace,Newcastle,Everton,Aston Villa,0.6,0.8,1.2,0.7,0.6,1.6,1.4,0.9,43.5
