FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5700000,1,53,1.76666666666667,3.09941520467836E-07,9.29824561403509E-06,0,873155,1,27,0,0,0,2,0,9.3,539,-3,0,53,3,0.1,0,0.3,3,0,4,0,3,1.5,846257,0,-1,0,1,1257,833,0,0,143,Chelsea,Arsenal,Burnley,Brighton,Crystal Palace,0.9,2.4,1.2,1.4,1.1,1,1.1,90.3
Max,Aarons,DEF,NOR,4300000,0,49,1.8,4.18604651162791E-07,1.13953488372093E-05,0,195731,6,54,0,0,0,0,0,11.4,202,-2,0,49,2,0.1,0,0.3,2,0,4,0,1,0.9,90845,1,-1,0,0,2397,20,0,0,345,Burnley,Man Utd,Newcastle,Aston Villa,West Ham,0,1.5,1.1,1.3,3.1,1.5,1.7,82.3
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42297,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Southampton,Arsenal,West Ham,Everton,Wolverhampton,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,2,96,3.8,5.58823529411765E-07,1.41176470588235E-05,0,727185,0,34,0,0,0,7,0,14.1,6377,-2,1,96,2,0.4,0,3,11,0,5,0,4,5.1,1017922,0,-1,0,0,1821,5098,-1,0,315,Chelsea,Arsenal,Burnley,Brighton,Crystal Palace,3.1,7.9,3.9,4.5,3.7,3.6,3.8,140.5
Tayo,Adaramola,DEF,CRY,4000000,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,0,-1,0,0,0,47,0,0,0,Leicester,Newcastle,Leeds United F.C.,Southampton,Watford,0,0,0,0,0,0,0,0
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,19701,0,0,0,0,0,0,0,0,15,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8579,0,-1,0,0,0,5,0,0,0,Man City,Man Utd,Everton,Newcastle,Tottenham,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,1,73,2.35483870967742,5.47636909227307E-07,1.69767441860465E-05,0,263518,4,12,0,0,0,0,0,17,3086,-2,0,73,2,0.1,0,0.5,7,0,7,0,4,1.6,350199,0,-1,0,1,1376,274,0,0,293,Newcastle,Burnley,Brighton,Chelsea,Norwich,1.5,0,2.5,2,2.9,1.8,3.2,68.9
Kristoffer,Ajer,DEF,BRE,4400000,1,56,2.9,6.59090909090909E-07,1.27272727272727E-05,0,125489,4,24,0,0,0,0,0,12.7,189,-1,0,56,1,0.6,0,2.5,3,0,6,0,2,0.6,116104,0,-1,0,0,1545,173,0,0,277,West Ham,Watford,Tottenham,Man Utd,Southampton,3.8,2.2,3.4,3,2.8,2.7,3.4,49.2
Nathan,Ake,DEF,MCI,4700000,0,44,1.46666666666667,3.12056737588652E-07,9.36170212765957E-06,0,68408,0,3,0,0,0,1,0,9.4,60,-3,0,44,3,0.4,0,2,0,0,5,0,0,0.4,49423,0,-1,0,0,759,296,0,0,194,Liverpool,Brighton,Watford,Leeds United F.C.,Newcastle,1.7,1,0.7,1.1,0.8,1.1,1,27.5
Marc,Albrighton,MID,LEI,5200000,0,35,1.25,2.40384615384615E-07,6.73076923076923E-06,0,31558,2,21,0,0,0,1,0,6.7,33,-3,0,35,3,0.1,0,0.5,2,0,2,0,1,0.1,21329,0,-1,0,0,992,42,0,0,148,Crystal Palace,Newcastle,Everton,Aston Villa,Tottenham,0.8,1.2,0.7,0.6,1.6,1.4,0.8,43.5
