FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,6000000,1,46,3.3,5.5E-07,7.66666666666667E-06,0,598748,0,19,0,0,0,2,0,7.7,21357,0,0,46,0,0.4,0,2.5,3,0,4,0,3,3.8,776276,0,-1,0,1,1046,3711,0,0,131,Brighton,Arsenal,Crystal Palace,Brentford F.C.,West Ham,3.2,2.4,2.4,3.3,2.8,3.3,4.3,2.5,2.9,2.1,3.5,4.2,4,2.3,4.6,2.9,3.3,2,3.9,2.8,3.8,2.9,2.6,3.7,81.2
Max,Aarons,DEF,NOR,4300000,1,31,2.1,4.88372093023256E-07,7.2093023255814E-06,0,146736,3,31,0,0,0,0,0,7.2,952,-2,0,31,2,0.8,0,3.5,2,0,3,0,1,1.2,66843,1,-1,0,0,1350,961,0,0,215,Tottenham,Man Utd,Aston Villa,West Ham,Arsenal,2.3,1.7,2,1.7,2.5,1.1,1.3,2.2,1,1.9,2.3,2.2,1.1,2.2,1.8,2.1,1.8,1.9,1.8,1.4,1.3,2,1.5,3,54.4
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,41841,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,West Ham,Leeds United F.C.,Everton,Wolverhampton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,2,47,3.9,5.73529411764706E-07,6.91176470588235E-06,0,235095,0,13,0,0,0,3,0,6.9,5617,-2,0,47,2,0.8,0,5.2,7,0,3,0,2,1.7,221236,0,-1,0,0,857,7587,0,0,159,Brighton,Arsenal,Crystal Palace,Brentford F.C.,West Ham,4.1,3.1,3.1,4.2,3.6,4.3,5.4,3.3,3.8,2.7,4.5,5.3,5.1,3,5.6,3.8,4.2,2.6,4.9,3.6,4.8,3.7,3.4,4.7,63.3
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,16499,0,0,0,0,0,0,0,0,118,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,7639,0,-1,0,0,0,54,0,0,0,Wolverhampton,Aston Villa,Newcastle,Tottenham,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,6,39,2.78571428571429,6.47840531561462E-07,9.06976744186047E-06,0,52197,1,3,0,0,0,0,0,9.1,1704,-2,0,39,2,1.6,0,6.8,3,0,5,0,1,0.6,54207,0,-1,0,0,628,4811,0,0,151,Liverpool,Man City,Brighton,Chelsea,Watford,0,3.3,3.1,2.9,1.6,2.9,3.2,2.2,3.3,3.4,3.6,1.9,3,2.6,2.9,3.2,2.8,1.9,3.1,2.6,2.7,3.7,2.6,3.6,37.2
Kristoffer,Ajer,DEF,BRE,4400000,0,24,3.4,7.72727272727273E-07,5.45454545454545E-06,0,106374,1,6,0,0,0,0,0,5.5,979,-1,0,24,1,0,0,0,1,0,3,0,0,0.6,90469,0,-1,0,0,565,15,0,0,101,Leeds United F.C.,Watford,Man Utd,Southampton,Brighton,0,0,0,0,0,0,3.9,4.6,2.9,4.2,3.6,3.7,2.8,3.4,3.6,3.2,4.7,3.9,2.3,4.9,4.1,3.2,3.7,4.4,16.1
Nathan,Ake,DEF,MCI,4800000,0,17,1.21428571428571,2.5297619047619E-07,3.54166666666667E-06,0,55010,0,2,0,0,0,0,0,3.5,428,-2,0,17,2,0.2,0,0.8,0,0,2,0,0,0.4,37820,0,-1,0,0,374,149,0,0,81,Watford,Wolverhampton,Leeds United F.C.,Newcastle,Leicester,0.6,0.6,1,0.6,0.6,0.9,0.7,0.9,0.6,0.9,0.6,1.4,0.7,0.6,0.6,0.8,0.6,1,0.6,0.6,0.8,0.6,0.8,0.8,8.8
Marc,Albrighton,MID,LEI,5200000,0,13,0.928571428571429,1.78571428571429E-07,2.5E-06,0,26951,1,5,0,0,0,1,0,2.5,95,-3,0,13,3,0.1,0,0.6,1,0,0,0,0,0.1,16587,0,-1,0,0,295,53,0,0,52,Aston Villa,Newcastle,Tottenham,Everton,Man City,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,15.5
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2205,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Norwich,Brighton,Leicester,Liverpool,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
