FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,6000000,2,43,3.6,6E-07,7.16666666666667E-06,0,523463,0,16,0,0,0,2,0,7.2,3837,0,0,43,0,0.9,0,5.2,3,0,4,0,3,4,716096,0,-1,0,1,964,6737,0,0,119,Liverpool,Leicester,Brighton,Arsenal,Crystal Palace,2.7,4.3,3.4,2.7,2.7,3.2,3.3,4.1,5,3.1,3.2,3.1,4.4,4.4,4.4,2.5,5,3.7,4.1,2.1,4,3.2,4,3.6,2.8,4.3,75.6
Max,Aarons,DEF,NOR,4300000,6,28,2.2,5.11627906976744E-07,6.51162790697674E-06,0,139288,3,27,0,0,0,0,0,6.5,395,-2,0,28,2,0.7,0,3.2,2,0,3,0,1,1.2,60620,1,-1,0,0,1170,603,0,0,180,Wolverhampton,Newcastle,Tottenham,Man Utd,Aston Villa,1.5,1.2,2.5,1.8,2.3,1.8,2.6,1.2,1.4,2.4,1.1,2,2.4,2.4,1.2,2.1,1.9,2.2,2,2.1,2.1,1.5,1.3,2.1,1.5,3.1,46.9
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,41751,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Man Utd,Watford,West Ham,Leeds United F.C.,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,1,36,3.6,5.29411764705882E-07,5.29411764705882E-06,0,218880,0,10,0,0,0,2,0,5.3,1164,-2,0,36,2,0.7,0,4.8,4,0,3,0,2,1.1,154841,0,-1,0,0,677,1413,0,0,121,Liverpool,Leicester,Brighton,Arsenal,Crystal Palace,2.7,4.3,3.4,2.7,2.7,3.2,3.3,4.1,5,3.1,3.2,3.1,4.4,4.4,4.4,2.5,5,3.7,4.1,2.1,4,3.2,4,3.6,2.8,4.3,46.9
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,15762,0,0,0,0,0,0,0,0,87,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,7362,0,-1,0,0,0,20,0,0,0,Southampton,Everton,Wolverhampton,Aston Villa,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,6,27,2.25,5.23255813953488E-07,6.27906976744186E-06,0,42561,1,3,0,0,0,0,0,6.3,460,-2,0,27,2,1.2,0,5,3,0,3,0,1,0.5,34467,0,-1,0,0,448,1151,0,0,104,Norwich,Burnley,Liverpool,Man City,Brighton,1.9,1.9,2.3,2.4,2.4,2,1.1,2.1,2.5,1.5,2.6,2.3,2.9,1.2,2.2,1.7,2,2.2,2.1,1.5,2.2,1.8,2,2.7,1.9,2.8,28.4
Kristoffer,Ajer,DEF,BRE,4500000,0,24,3.4,7.55555555555556E-07,5.33333333333333E-06,0,99575,1,6,0,0,0,0,0,5.3,755,0,0,24,0,0,0,0,1,0,3,0,0,0.7,90417,0,-1,0,0,565,7,0,0,101,Everton,Tottenham,Leeds United F.C.,Watford,Man Utd,0,0,0,0,0,0,0,0,3.7,4.9,2.4,4.4,3.2,3.9,2.4,3.6,3.3,3.4,4.9,3.4,2.5,4.5,4.5,2.8,3.9,3.9,16.1
Nathan,Ake,DEF,MCI,4800000,0,15,1.25,2.60416666666667E-07,3.125E-06,0,53360,0,1,0,0,0,0,0,3.1,174,-2,0,15,2,0,0,0.2,0,0,2,0,0,0.4,36865,0,-1,0,0,284,41,0,0,67,West Ham,Aston Villa,Watford,Wolverhampton,Leeds United F.C.,0.8,0.6,0.6,0.6,1,0.6,0.6,1,0.7,0.9,0.6,0.8,0.6,1.4,0.7,0.7,0.6,0.9,0.6,1,0.6,0.6,0.8,0.6,0.8,0.9,7.1
Marc,Albrighton,MID,LEI,5200000,1,13,1.08333333333333,2.08333333333333E-07,2.5E-06,0,26342,1,5,0,0,0,1,0,2.5,30,-3,0,13,3,0.2,0,0.8,1,0,0,0,0,0.1,16217,0,-1,0,0,295,49,0,0,52,Watford,Southampton,Aston Villa,Newcastle,Tottenham,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.5,14.9
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2185,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Brentford F.C.,Norwich,Brighton,Leicester,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent,Alexander-Arnold,DEF,LIV,7900000,9,88,8,1.0126582278481E-06,1.11392405063291E-05,0,1983639,1,9,0,0,0,1,0,11.1,2977,4,0,88,-4,1.2,0,9.2,15,0,7,0,7,37.2,2412570,0,-1,0,4,963,39876,0,0,359,Southampton,Everton,Wolverhampton,Aston Villa,Newcastle,10.6,10.4,11.2,11.9,9.6,10.4,10.8,10.8,11.7,9.7,10,9.5,10.4,11,10.1,10.4,11.1,9.5,8.9,10.8,9.8,11,9.9,11.1,10.2,9.7,112.2
