FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tariq,Lamptey,DEF,BHA,4500000,10,71,2.7,6E-07,1.57777777777778E-05,0,291967,3,20,0,0,0,0,0,15.8,1687,0,0,71,0,0.9,0,4,7,0,6,0,2,2.1,427811,0,-1,0,1,1512,4513,0,0,295,Tottenham,Man City,Southampton,Wolverhampton,Man Utd,6.7,2.2,3,2.4,3,3.3,75.8
Manuel,Lanzini,MID,WHU,5600000,6,76,2.375,4.24107142857143E-07,1.35714285714286E-05,0,126885,2,22,0,0,0,4,0,13.6,421,-4,0,76,4,0.4,0,2.3,7,0,3,0,3,0.4,139211,0,-1,0,1,1449,249,0,0,369,Burnley,Chelsea,Arsenal,Norwich,Man City,2.3,1.2,1.7,1.7,1.3,1.6,84.3
Aymeric,Laporte,DEF,MCI,5900000,6,136,5,8.47457627118644E-07,2.30508474576271E-05,0,1184892,5,18,0,0,0,3,0,23.1,10127,4,0,136,-4,0.7,0,4.3,8,0,16,0,2,10.5,1856333,0,-1,0,2,2352,33914,0,1,589,Brighton,Watford,Leeds United F.C.,Newcastle,West Ham,6.3,4.6,6.5,5.5,6.2,6.3,97.3
Jamaal,Lascelles,DEF,NEW,4400000,0,36,1.7,3.86363636363636E-07,8.18181818181818E-06,0,45601,5,38,0,0,0,1,0,8.2,171,-1,0,36,1,0,0,0.2,1,0,2,0,1,0.2,28987,2,-1,0,0,1715,68,0,0,227,Leicester,Crystal Palace,Norwich,Liverpool,Man City,2.6,0.9,2.3,1.7,1.6,1.2,59.4
Romeo,Lavia,MID,MCI,4400000,0,0,0,0,0,0,21803,0,0,0,0,0,0,0,0,11,-1,0,0,1,0,0,0,0,0,0,0,0,0,21924,0,-1,0,0,0,10,0,0,0,Brighton,Watford,Leeds United F.C.,Newcastle,West Ham,0,0,0,0,0,0,0
Marcel,Lavinier,DEF,TOT,4000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,-1,0,0,0,14,0,0,0,Brighton,Brentford F.C.,Leicester,Liverpool,Arsenal,0,0,0,0,0,0,0
Pierre,Lees-Melou,MID,NOR,4800000,2,58,2.1,4.375E-07,1.20833333333333E-05,0,18691,5,40,0,0,0,1,0,12.1,158,-2,0,58,2,0.8,0,4,0,0,5,0,2,0.1,16193,0,-1,0,0,1810,339,0,0,268,Man Utd,Newcastle,Aston Villa,West Ham,Leicester,1.1,1.9,1.4,2.4,1.7,1.4,83.7
Aaron,Lennon,MID,BUR,4800000,0,51,1.7,3.54166666666667E-07,1.0625E-05,0,20410,2,21,0,0,0,2,0,10.6,516,-2,0,51,2,0.3,0,1.2,1,0,4,0,1,0.1,28591,0,-1,0,0,1305,64,0,0,142,West Ham,Southampton,Wolverhampton,Watford,Aston Villa,2,1.1,1.4,1.1,1.8,1.3,40.9
Bernd,Leno,GLK,ARS,4500000,0,10,0.333333333333333,7.40740740740741E-08,2.22222222222222E-06,0,201094,0,9,0,10,0,0,0,2.2,735,-5,0,10,5,0,0,0,0,0,1,0,0,0.9,79985,0,-1,0,1,360,117,0,0,69,Southampton,Chelsea,Man Utd,West Ham,Leeds United F.C.,0.4,0.2,0.2,0.4,0.2,0.2,8.5
Marc,Leonard,MID,BHA,4500000,0,0,0,0,0,0,785,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,0,-1,0,0,0,10,0,0,0,Tottenham,Man City,Southampton,Wolverhampton,Man Utd,0,0,0,0,0,0,0
Harry,Lewis,GLK,SOU,3900000,0,0,0,0,0,0,21531,0,0,0,0,0,0,0,0,832,-1,0,0,1,0,0,0,0,0,0,0,0,0.6,71109,0,-1,0,0,0,2001,0,0,0,Arsenal,Burnley,Brighton,Crystal Palace,Brentford F.C.,0,0,0,0,0,0,0
Jamal,Lewis,DEF,NEW,4200000,0,10,0.32258064516129,7.68049155145929E-08,2.38095238095238E-06,0,18022,1,4,0,0,0,0,0,2.4,31,-3,0,10,3,0,0,0,0,0,1,0,0,0.1,9349,0,-1,0,0,261,14,0,0,39,Leicester,Crystal Palace,Norwich,Liverpool,Man City,0,0,0,0,0,0.2,5.6
Victor,Lindelof,DEF,MUN,4800000,1,57,2.5,5.20833333333333E-07,1.1875E-05,0,114186,2,38,0,0,0,0,0,11.9,1272,-2,0,57,2,0.2,0,0.8,4,0,5,0,2,0.6,94472,0,-1,0,0,1903,1358,0,0,394,Norwich,Liverpool,Arsenal,Chelsea,Brentford F.C.,5.3,4.9,2.8,2.8,0,1.7,49.9
Jesse,Lingard,MID,MUN,6700000,4,28,0.903225806451613,1.3480982185845E-07,4.17910447761194E-06,0,153278,1,13,0,0,0,2,0,4.2,184,-3,0,28,3,0.1,0,1,1,0,0,0,0,0.9,60151,0,-1,0,0,341,333,0,0,103,Norwich,Liverpool,Arsenal,Chelsea,Brentford F.C.,1,1,0.5,0.5,0,0.5,32.6
Tino,Livramento,DEF,SOU,4300000,1,78,3,6.97674418604651E-07,1.81395348837209E-05,0,2140775,2,41,0,0,0,1,0,18.1,13158,3,0,78,-3,0.1,0,0.5,7,0,7,0,2,10.8,2841077,0,-1,0,0,2157,3210,0,0,429,Arsenal,Burnley,Brighton,Crystal Palace,Brentford F.C.,6.5,3.3,3.1,3.1,0,2.2,97.2
Diego,Llorente,DEF,LEE,4500000,0,58,2.5,5.55555555555556E-07,1.28888888888889E-05,0,99393,6,37,0,0,0,2,0,12.9,199,0,0,58,0,0.9,0,4,4,0,4,0,0,0.3,105564,0,-1,0,1,1891,326,0,0,339,Crystal Palace,Man City,Arsenal,Chelsea,Brighton,0,1.6,3.3,4.9,2.4,2.5,56.3
Hugo,Lloris,GLK,TOT,5400000,3,129,4,7.40740740740741E-07,2.38888888888889E-05,0,1091096,1,38,0,88,0,0,0,23.9,5644,-1,0,129,1,0.9,0,5,10,0,12,0,0,8.1,1244698,0,-1,0,3,2880,5006,0,0,591,Brighton,Brentford F.C.,Leicester,Liverpool,Arsenal,4.9,4.8,4.7,10.1,5.3,3.8,69.7
