FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5700000,2,57,1.54054054054054,2.7027027027027E-07,1E-05,0,891454,1,31,0,0,0,2,0,10,0,-3,0,57,3,0,0,0,3,0,4,0,3,1.4,856507,0,-1,0,1,1409,0,0,0,150,Leicester,,,,,0.9,92.7
Max,Aarons,DEF,NOR,4300000,0,55,1.6,3.72093023255814E-07,1.27906976744186E-05,0,200122,8,69,0,0,0,0,0,12.8,0,-2,0,55,2,0,0,0,2,0,4,0,2,0.9,93800,1,-1,0,0,2879,0,0,0,413,Tottenham,,,,,1.4,100.9
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Watford,,,,,0,0
Che,Adams,FWD,SOU,6500000,1,103,3.4,5.23076923076923E-07,1.58461538461538E-05,0,1033747,0,40,0,0,0,7,0,15.8,0,-5,0,103,5,0,0,0,11,0,5,0,4,2.6,1093888,0,-1,0,0,2034,0,0,0,333,Leicester,,,,,3.1,156.8
Tayo,Adaramola,DEF,CRY,4000000,0,0,0,0,0,0,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,0,-1,0,0,0,0,0,0,0,Man Utd,,,,,0,0
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,20117,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8755,0,-1,0,0,0,0,0,0,0,Wolverhampton,,,,,0,0
Rayan,Ait Nouri,DEF,WOL,4100000,1,87,2.35135135135135,5.73500329597891E-07,2.1219512195122E-05,0,325163,4,26,0,0,0,1,0,21.2,0,-4,0,87,4,0,0,0,10,0,7,0,4,1.3,385429,0,-1,0,2,1826,0,0,0,367,Liverpool,,,,,3.1,89.1
Kristoffer,Ajer,DEF,BRE,4400000,1,81,3.4,7.72727272727273E-07,1.84090909090909E-05,0,136461,5,32,0,0,0,1,0,18.4,0,-1,0,81,1,0,0,0,5,0,8,0,3,0.7,136468,0,-1,0,1,1995,0,0,0,384,Leeds United F.C.,,,,,4.2,70
Nathan,Ake,DEF,MCI,4700000,0,54,1.45945945945946,3.10523289246694E-07,1.14893617021277E-05,0,79916,0,3,0,0,0,2,0,11.5,0,-3,0,54,3,0,0,0,0,0,5,0,0,0.5,74111,0,-1,0,0,919,0,0,0,234,Aston Villa,,,,,0.9,37.9
Marc,Albrighton,MID,LEI,5200000,0,40,1.08108108108108,2.07900207900208E-07,7.69230769230769E-06,0,32878,3,24,0,0,0,1,0,7.7,0,-3,0,40,3,0,0,0,2,0,2,0,2,0.1,22550,0,-1,0,0,1127,0,0,0,169,Southampton,,,,,0.6,49.7
