FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5800000,1,50,2.8,4.82758620689655E-07,8.62068965517241E-06,0,814238,1,23,0,0,0,2,0,8.6,2660,-2,0,50,2,0.1,0,0.8,3,0,4,0,3,1.7,806119,0,-1,0,1,1194,699,0,0,139,Wolverhampton,Man City,Tottenham,Man Utd,Everton,1.9,2.1,1.6,2.6,3.6,3.4,1.8,3.7,2.3,2.8,1.8,2.8,2,3.3,2.3,2.3,2.6,87.4
Max,Aarons,DEF,NOR,4300000,1,35,1.8,4.18604651162791E-07,8.13953488372093E-06,0,177171,5,42,0,0,0,0,0,8.1,1227,-2,0,35,2,0.1,0,0.5,2,0,3,0,1,1,83501,1,-1,0,0,1789,169,0,0,259,Everton,Watford,Crystal Palace,Man City,Liverpool,0,0.9,1.5,2,1.8,0.9,1.9,1.4,1.7,1.4,2.2,1.4,1,1.1,1.7,1.4,2.3,65.1
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42109,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Man City,Brighton,Tottenham,Crystal Palace,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,1,54,3.6,5.29411764705882E-07,7.94117647058823E-06,0,334035,0,15,0,0,0,4,0,7.9,963,-2,0,54,2,0.3,0,1.8,7,0,3,0,2,0.8,241024,0,-1,0,0,936,766,0,0,190,Wolverhampton,Man City,Tottenham,Man Utd,Everton,2.9,3.2,2.5,3.8,5,4.7,2.8,5.1,3.4,4,2.7,4.1,3.1,4.6,3.4,3.4,3.8,70.8
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,18666,0,0,0,0,0,0,0,0,72,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8166,0,-1,0,0,0,33,0,0,0,Brentford F.C.,Crystal Palace,Leicester,Burnley,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,11,52,2.73684210526316,6.36474908200734E-07,1.2093023255814E-05,0,126124,1,5,0,0,0,0,0,12.1,1221,-2,0,52,2,1.3,0,5.5,6,0,5,0,3,0.8,141242,0,-1,0,1,808,14880,0,0,206,Southampton,Brentford F.C.,Arsenal,Tottenham,Leicester,2.1,3.5,3,3.5,2,3.1,2.4,2.7,3.1,2.5,1.7,3.2,3.6,2.4,3.7,2.4,3.6,47.7
Kristoffer,Ajer,DEF,BRE,4400000,0,24,2.7,6.13636363636364E-07,5.45454545454545E-06,0,114417,2,13,0,0,0,0,0,5.5,179,-1,0,24,1,0,0,0,1,0,3,0,0,0.5,91407,0,-1,0,0,745,155,0,0,121,Liverpool,Man Utd,Wolverhampton,Man City,Crystal Palace,5.6,2.3,3.3,2.7,2.5,1.9,2.4,3.8,2,3.3,3,1.6,3.8,2.7,2.4,2.4,3.4,20.7
Nathan,Ake,DEF,MCI,4700000,0,32,1.52380952380952,3.24214792299899E-07,6.80851063829787E-06,0,62483,0,3,0,0,0,1,0,6.8,925,-3,0,32,3,0.4,0,2,0,0,3,0,0,0.4,46020,0,-1,0,0,579,95,0,0,136,Chelsea,Southampton,Brentford F.C.,Norwich,Tottenham,0,0.8,1.4,0.9,1.7,1,0.9,0.8,1.1,1.4,1.6,1.1,0.8,1.2,0.8,1.1,1.1,19.5
Marc,Albrighton,MID,LEI,5200000,0,17,0.944444444444444,1.81623931623932E-07,3.26923076923077E-06,0,28662,1,11,0,0,0,1,0,3.3,82,-3,0,17,3,0.2,0,1,1,0,0,0,0,0.1,18285,0,-1,0,0,426,45,0,0,68,Tottenham,Brighton,Liverpool,West Ham,Wolverhampton,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,20.2
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2237,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Leicester,Chelsea,Southampton,Wolverhampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
