FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,6000000,2,21,3,5E-07,3.5E-06,0,325636,0,10,0,0,0,1,0,3.5,4697,0,0,21,0,0.3,0,2,0,0,2,0,1,2.6,405416,0,-1,0,0,613,3677,0,0,61,Chelsea,Leeds United F.C.,Burnley,Watford,Aston Villa,1.9,3.1,2.9,3.6,2.7,3.2,2.2,3.1,2,2.4,2.3,1.9,3.2,2.7,3.9,4.1,2.1,2.2,3,3.1,3.6,1.8,3.7,3.1,3.6,1.5,2.9,2.7,3.6,2.6,2,3,37.6
Max,Aarons,DEF,NOR,4400000,5,12,1.7,3.86363636363636E-07,2.72727272727273E-06,0,104888,2,16,0,0,0,0,0,2.7,628,-1,0,12,1,0.5,0,2,2,0,1,0,0,1.5,44498,0,-1,0,0,630,218,0,0,106,Burnley,Brighton,Chelsea,Leeds United F.C.,Brentford F.C.,0.9,1,1,1.5,1.3,1.2,0.8,0.8,1.9,1.2,1.7,0.9,1.9,0.8,0.8,1.5,0.8,1.8,1.5,2,1,1.4,1.3,1.1,1,1.3,1.2,1.1,0.8,1.1,1.6,2.6,29.3
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,40752,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2438,0,-1,0,0,0,0,0,0,0,Southampton,Brentford F.C.,Norwich,Newcastle,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6900000,0,16,3.2,4.63768115942029E-07,2.31884057971014E-06,0,162777,0,6,0,0,0,0,0,2.3,1401,-1,0,16,1,0.1,0,1,0,0,1,0,2,1.1,97010,0,-1,0,0,380,356,0,0,43,Chelsea,Leeds United F.C.,Burnley,Watford,Aston Villa,2.1,3.4,3.2,4,3,3.5,2.5,3.4,2.2,2.6,2.5,2.1,3.5,3,4.3,4.4,2.3,2.5,3.3,3.5,3.9,2,4.1,3.4,4,1.6,3.2,3,4,2.9,2.2,3.3,23.5
,Adrian,GLK,LIV,4400000,0,0,0,0,0,0,10693,0,0,0,0,0,0,0,0,70,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,4457,0,-1,0,0,0,17,0,0,0,Man City,Watford,Man Utd,Brighton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,0,1,0.166666666666667,3.87596899224806E-08,2.32558139534884E-07,0,35141,0,0,0,0,0,0,0,0.2,148,-2,0,1,2,0,0,0,0,0,0,0,0,0.2,4702,0,-1,0,0,6,42,0,0,5,Newcastle,Aston Villa,Leeds United F.C.,Everton,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1
Kristoffer,Ajer,DEF,BRE,4500000,0,23,3.8,8.44444444444444E-07,5.11111111111111E-06,0,41417,1,5,0,0,0,0,0,5.1,641,0,0,23,0,0.5,0,2.2,1,0,3,0,0,1.3,83619,0,-1,0,0,520,800,0,0,98,West Ham,Chelsea,Leicester,Burnley,Norwich,4.1,3.2,3.1,4.2,4.3,3,4.1,4.9,5.1,3.3,3.6,4.4,4.3,4.2,4.6,5.3,2.3,4.2,4.9,4.7,3.1,4.2,3.6,3.4,4.5,3.2,3.5,5.2,4.9,3.5,3.4,4.1,13.1
Nathan,Ake,DEF,MCI,4900000,0,8,1.33333333333333,2.72108843537415E-07,1.63265306122449E-06,0,39775,0,1,0,0,0,0,0,1.6,335,-1,0,8,1,0.3,0,1.5,0,0,1,0,0,0.5,30871,0,-1,0,0,180,163,0,0,37,Liverpool,Burnley,Brighton,Crystal Palace,Man Utd,1.5,0.8,0.7,1.3,0.8,1,0.7,0.7,0.7,0.7,1,0.7,0.7,0.9,0.8,0.7,0.7,0.9,0.7,2,0.7,0.8,0.7,0.7,0.7,1.7,1.1,0.7,0.9,0.7,0.7,1.1,4.2
Marc,Albrighton,MID,LEI,5400000,0,9,1.5,2.77777777777778E-07,1.66666666666667E-06,0,18716,1,2,0,0,0,1,0,1.7,200,-1,0,9,1,0.1,0,0.5,1,0,0,0,0,0.2,14989,0,-1,0,0,180,58,0,0,34,Crystal Palace,Man Utd,Brentford F.C.,Arsenal,Leeds United F.C.,0.8,0.8,0.8,0.9,0.8,0.8,1,0.9,0.8,1.1,0.9,0.8,0.8,0.8,1.2,0.9,0.8,0.8,0.8,1.8,0.8,0.8,0.8,0.8,0.8,1.3,0.8,1.2,0.8,0.8,0.8,0.9,10.9
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2059,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Aston Villa,Newcastle,West Ham,Man Utd,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
