FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,5542,0,0,0,0,0,0,0,0,50,-2,0,0,2,0,0,0,0,0,0,0,0,0,1489,0,-1,0,0,0,4,0,0,0,Crystal Palace,Aston Villa,West Brom,Leeds United F.C.,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,2,38,4.2,5.83333333333333E-07,5.27777777777778E-06,0,253528,0,5,0,0,0,3,0,5.3,3515,-3,0,38,3,0.9,0,6.3,5,0,4,0,2,2.7,124226,0,-1,0,0,545,9090,0,0,127,Tottenham,Leeds United F.C.,Everton,Wolverhampton,West Ham,2.9,3.3,5.2,3.7,3.4,5,2.8,3.8,5.4,5.4,3.6,3.8,5.2,5.9,4.2,3.9,3.9,4.5,5.3,4.8,4.5,5.2,4.3,4.2,5.2,4.3,3.3,3.5,5.7,56.6
Che,Adams,FWD,SOU,5900000,2,50,5,8.47457627118644E-07,8.47457627118644E-06,0,357032,1,15,0,0,0,3,0,8.5,9558,-1,0,50,1,0.9,0,5.2,7,0,4,0,4,5.2,426731,0,-1,0,1,855,21689,0,0,161,Man Utd,Brighton,Sheffield United,Arsenal,Man City,6.2,5.8,7,5,6.1,5.5,5.6,7.2,5.4,5.6,5.5,4.9,6.3,5.9,5.9,4.9,5.3,6.1,6.6,5.3,6.1,4.9,7.5,4.3,5.7,4.9,7.5,5.5,4.1,67.2
Tosin,Adarabioyo,DEF,FUL,4500000,1,13,2.2,4.88888888888889E-07,2.88888888888889E-06,0,963,1,8,0,0,0,0,0,2.9,40,0,0,13,0,0.6,0,2.5,0,0,1,0,0,0,1894,0,-1,0,0,540,48,0,0,85,Leicester,Man City,Liverpool,Brighton,Newcastle,1.8,2.4,2.6,1.5,1.3,1.6,1.7,1.7,2.1,1.3,1.6,1.7,1.4,2.1,1.1,1.7,1.5,2,2.7,1.3,2.4,2.3,2.2,1.2,1.4,1.7,1.1,2.6,1.2,11.3
,Adrian,GLK,LIV,4400000,0,2,0.222222222222222,5.05050505050505E-08,4.54545454545455E-07,0,43424,0,9,0,7,0,0,0,0.5,577,-1,0,2,1,0,0,0,0,0,0,0,0,0.4,44611,0,-1,0,0,180,209,0,0,28,Brighton,Wolverhampton,Fulham,Tottenham,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Sergio,Aguero,FWD,MCI,10300000,0,3,1.5,1.45631067961165E-07,2.9126213592233E-07,0,400434,0,1,0,0,0,0,0,0.3,2801,-2,0,3,2,0,0,0,0,0,1,0,0,1.4,211009,0,-1,0,0,109,1065,0,0,16,Burnley,Fulham,Man Utd,West Brom,Southampton,0,1.3,1.3,1,0.8,0.9,1,0.8,1,1.6,0.9,1.1,1,0.8,0.8,0.9,0.8,0.8,1,0.8,1,0.8,1.1,1,1,0.8,1.1,1.1,1,5.8
Ola,Aina,DEF,FUL,4500000,2,25,3.6,8E-07,5.55555555555556E-06,0,8345,0,9,0,0,0,1,0,5.6,650,0,0,25,0,1.1,0,5,3,0,1,0,0,0.3,26962,0,-1,0,1,630,1270,0,0,115,Leicester,Man City,Liverpool,Brighton,Newcastle,3.8,4.5,5.1,3.3,3,3.5,3.7,3.7,4.3,2.9,3.4,3.6,3.2,4.3,2.5,3.7,3.4,4.1,5,2.9,4.8,4.6,4.5,2.7,3.1,3.6,2.1,5.1,2.8,22.1
Rayan,Ait Nouri,DEF,WOL,5000000,0,19,2.11111111111111,4.22222222222222E-07,3.8E-06,0,13528,0,2,0,0,0,1,0,3.8,1750,0,0,19,0,0.3,0,1.3,3,0,1,0,0,0.4,37624,0,-1,0,1,255,2049,0,0,62,Arsenal,Liverpool,Aston Villa,Chelsea,Burnley,2.1,1.8,1.4,1.2,1.6,1.1,2.4,1.4,1.3,2,1.3,1.4,1.9,1.4,1.1,1.2,1.2,2.2,2.5,2.2,2,1.4,1.6,1.6,1.5,1.4,1.5,1.1,2,15.7
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,7,16,1.8,3.75E-07,3.33333333333333E-06,0,18376,1,18,0,0,0,0,0,3.3,176,-2,0,16,2,0.6,0,3,1,0,1,0,0,0.2,5855,0,-1,0,0,810,550,0,0,114,Sheffield United,Crystal Palace,Newcastle,Man City,Aston Villa,1.2,2,1,1.8,1.1,1.5,0.9,1.5,1.4,1.3,2,1.5,1.3,1.2,1.5,1.3,1,0.9,1.1,0.9,1,1.2,1.3,1.8,1.7,1.7,2,1.5,1.2,14.6
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,671,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,-1,0,0,0,4,0,0,0,Aston Villa,Man Utd,Leeds United F.C.,Crystal Palace,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
