FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4890,0,0,0,0,0,0,0,0,114,-2,1,0,2,0,0,0,0,0,0,0,0,0,1364,0,-1,0,0,0,3,-1,0,0,Everton,Southampton,Chelsea,Crystal Palace,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,5,19,3.2,4.44444444444444E-07,2.63888888888889E-06,0,228904,0,4,0,0,0,1,0,2.6,2587,-3,0,19,3,0.3,0,2.3,0,0,2,0,2,2.1,57866,0,-1,0,0,287,1679,0,0,59,Burnley,Sheffield United,Newcastle,Tottenham,Leeds United F.C.,4.2,3.3,4.1,2.3,2.4,3,2.3,2.3,2.7,1.8,2.5,4.7,4,1.8,2.8,4.3,3.7,2.7,2.5,2.8,3,4.2,3.2,3.5,3.7,3.2,2.9,3.1,2.6,2.5,2,3.3,24.9
Che,Adams,FWD,SOU,5800000,5,34,4.9,8.44827586206897E-07,5.86206896551724E-06,0,274741,1,11,0,0,0,2,0,5.9,3512,-2,0,34,2,1.1,0,6.5,4,0,3,0,3,2.3,140396,0,-1,0,1,585,14180,0,0,105,Aston Villa,Newcastle,Wolverhampton,Man Utd,Brighton,5.2,5.9,3.6,6.1,6.4,6.8,4.2,5.7,6.2,5.3,6.6,6.5,7.3,5.6,4.4,6.8,6.3,4.5,4.8,4.7,5.8,6.6,6.7,6.1,5.4,7.3,4.1,4.8,4.9,6.5,5.4,4.5,45.3
Tosin,Adarabioyo,DEF,FUL,4500000,6,9,1.5,3.33333333333333E-07,2E-06,0,395,0,3,0,0,0,0,0,2,51,0,0,9,0,0.7,0,3,0,0,1,0,0,0,1224,0,-1,0,0,270,68,0,0,47,West Brom,West Ham,Everton,Leicester,Man City,0.9,1.2,0.8,1.8,1.9,1.1,0.8,1,0.8,1.2,1.4,1.6,0.8,1,1,0.8,0.8,0.8,0.8,1.2,1.3,1.7,0.8,1.4,0.8,1,0.8,0.9,0.8,0.8,2.2,0.8,4
,Adrian,GLK,LIV,4500000,0,2,0.333333333333333,7.40740740740741E-08,4.44444444444444E-07,0,34185,0,9,0,7,0,0,0,0.4,2161,0,0,2,0,0.1,0,0.5,0,0,0,0,0,0.5,41871,0,-1,0,0,180,178,0,0,28,West Ham,Man City,Leicester,Brighton,Wolverhampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,4.2
Sergio,Aguero,FWD,MCI,10300000,0,3,1.5,1.45631067961165E-07,2.9126213592233E-07,0,378993,0,1,0,0,0,0,0,0.3,6699,-2,0,3,2,0.1,0,1,0,0,1,0,0,1.4,192514,0,-1,0,0,109,121,0,0,16,Sheffield United,Liverpool,Tottenham,Burnley,Fulham,0,0,1.4,0.9,1,1.4,1.2,0.8,0.8,0.8,0.8,1,1.4,1,1.1,1.3,0.9,0.8,0.8,0.8,0.9,1.2,0.8,1.6,0.8,0.9,1,1.1,0.8,1.3,1.3,1,5.8
Ola,Aina,DEF,FUL,4500000,12,17,4.2,9.33333333333333E-07,3.77777777777778E-06,0,1078,0,4,0,0,0,1,0,3.8,110,0,0,17,0,0.9,0,4.2,0,0,1,0,0,0,2766,0,-1,0,1,360,171,0,0,82,West Brom,West Ham,Everton,Leicester,Man City,4.4,5.4,3,6.3,5.8,5.3,3.2,4.8,3.2,5.4,6,4.5,3.3,5,5,2.9,4.1,3.6,3.9,5.4,5.7,5.3,2.5,5.9,4.2,5,2.3,4.5,3.7,3,6.3,2.5,10.2
Rayan,Ait Nouri,DEF,WOL,5000000,15,15,2.5,5E-07,3E-06,0,1775,0,0,0,0,0,1,0,3,616,0,0,15,0,1,0,5,3,0,1,0,0,0.2,12795,0,-1,0,1,90,11063,0,0,39,Crystal Palace,Leicester,Southampton,Arsenal,Liverpool,2.6,3.4,1.5,2.2,2.7,1.6,1.5,2.8,1.2,3.8,2.2,1.4,2.2,1.9,2.5,2.1,1.3,1.2,1.2,2.1,2.8,2.7,3.4,2,2.5,1.9,1.7,2.2,1.5,2.5,1.4,2.8,7.5
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,1,5,0.8,1.66666666666667E-07,1.04166666666667E-06,0,16198,1,16,0,0,0,0,0,1,232,-2,0,5,2,0.2,0,1,0,0,0,0,0,0.2,3976,0,-1,0,0,540,90,0,0,59,Fulham,Tottenham,Man Utd,Sheffield United,Crystal Palace,0.4,0.4,1,0.4,0.5,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.5,0.4,0.4,5.9
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,483,0,-1,0,0,0,7,0,0,0,Liverpool,Fulham,Sheffield United,Aston Villa,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
