FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6108,0,0,0,0,0,0,0,0,6,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Crystal Palace,Southampton,Chelsea,Man Utd,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,0,65,3.6,5E-07,9.02777777777778E-06,0,626163,0,11,0,0,0,6,0,9,6621,-3,0,65,3,0.1,0,1,8,0,5,0,2,3.4,545344,0,-1,0,1,950,7724,0,0,222,Tottenham,Sheffield United,Newcastle,Southampton,Man Utd,3.5,4,4.4,3.2,3.4,3.4,3.8,3.5,4.2,3.8,3.9,3.1,4.2,2.4,3.3,3.4,3.1,84.4
Che,Adams,FWD,SOU,5900000,2,77,3.9,6.61016949152542E-07,1.30508474576271E-05,0,1211928,1,31,0,0,0,4,0,13.1,14181,-1,0,77,1,0.3,0,1.8,9,0,6,0,5,4.7,1220790,0,-1,0,1,1622,6840,0,0,243,Man Utd,Newcastle,Wolverhampton,Chelsea,Leeds United F.C.,4,4.5,4.5,8.2,4.3,4.4,4.4,3.9,4.3,4.6,5.4,0,3.8,3.9,4.7,4,3.4,116.7
Tosin,Adarabioyo,DEF,FUL,4500000,1,51,3,6.66666666666667E-07,1.13333333333333E-05,0,29240,1,20,0,0,0,0,0,11.3,1014,0,0,51,0,0.5,0,2.2,5,0,4,0,1,0.4,53486,0,-1,0,1,1530,283,0,0,288,Leicester,West Ham,Everton,Burnley,Sheffield United,2.7,3.3,5.5,2.8,2.9,3.3,4.2,2.2,3.3,3.8,3.5,0,2.5,2.9,2.3,3.4,2.4,51.7
,Adrian,GLK,LIV,4200000,0,2,0.0952380952380952,2.26757369614512E-08,4.76190476190476E-07,0,58894,0,9,0,7,0,0,0,0.5,266,-3,0,2,3,0,0,0,0,0,0,0,0,0.3,53105,0,-1,0,0,180,243,0,0,28,Brighton,Man City,Leicester,Everton,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2
Sergio,Aguero,FWD,MCI,10300000,0,6,1.2,1.16504854368932E-07,5.8252427184466E-07,0,498499,0,2,0,0,0,0,0,0.6,780,-2,0,6,2,0,0,0,0,0,1,0,0,1.1,288882,0,-1,0,0,140,271,0,0,20,Burnley,Liverpool,Tottenham,Everton,Arsenal,0,0,0,0,0,0.6,0.6,0.7,0.6,0.6,0.6,0,0.6,0.6,0.7,0.6,0.6,10.4
Ola,Aina,DEF,FUL,4500000,0,53,2.9,6.44444444444444E-07,1.17777777777778E-05,0,47751,2,21,0,0,0,1,0,11.8,1132,0,0,53,0,0.4,0,1.8,3,0,4,0,0,0.4,73807,0,-1,0,1,1594,471,0,0,271,Leicester,West Ham,Everton,Burnley,Sheffield United,2.6,3.1,5.2,2.7,2.7,3.2,4,2.1,3.2,3.7,3.3,0,2.3,2.7,2.2,3.2,2.3,48.4
Rayan,Ait Nouri,DEF,WOL,5000000,0,32,1.52380952380952,3.04761904761905E-07,6.4E-06,0,45229,0,11,0,0,0,1,0,6.4,578,0,0,32,0,0.3,0,1.6,5,0,1,0,1,0.1,48778,0,-1,0,1,689,13,0,0,136,Arsenal,Leicester,Southampton,Leeds United F.C.,Newcastle,0,0,0,0,0,1.1,1.4,1.3,1.3,1,1,1.1,1.1,1,0.8,0.8,1.1,33.8
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,1,40,1.9,3.95833333333333E-07,8.33333333333333E-06,0,36750,3,52,0,0,0,2,0,8.3,1307,-2,0,40,2,0.4,0,1.8,2,0,1,0,1,0.3,30414,0,-1,0,0,1890,220,0,0,257,Sheffield United,Tottenham,Man Utd,Burnley,Brighton,1.3,1.4,1.4,1.4,1.3,1.1,1.4,1,1.2,1.2,1.6,1.7,1.9,1.8,1.7,1.6,1.3,57.6
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,814,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Aston Villa,Fulham,Sheffield United,Tottenham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
