FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6189,0,0,0,0,0,0,0,0,1,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,West Brom,Aston Villa,Brighton,Tottenham,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7100000,0,67,3.4,4.7887323943662E-07,9.43661971830986E-06,0,758260,0,12,0,0,0,6,0,9.4,5309,-4,0,67,4,0.1,0,0.4,8,0,5,0,2,2.2,581676,0,-1,0,1,1014,151,0,0,223,Everton,Leeds United F.C.,West Brom,Crystal Palace,Brighton,0,3.2,0,3.6,3.6,3.5,2.7,3.3,2.5,3.1,3.1,2.8,85.1
Che,Adams,FWD,SOU,5800000,6,94,3.6,6.20689655172414E-07,1.62068965517241E-05,0,1460837,1,38,0,0,0,5,0,16.2,9917,-2,0,94,2,0.3,0,2,9,0,7,0,6,4.6,1464702,0,-1,0,1,1981,18532,0,0,294,Sheffield United,Man City,Brighton,Burnley,West Brom,6,4,0,3.9,3.5,4.8,0,3.6,3.7,3.8,3.7,2.6,141.2
Tosin,Adarabioyo,DEF,FUL,4500000,9,89,3.7,8.22222222222222E-07,1.97777777777778E-05,0,46473,1,22,0,0,0,0,0,19.8,642,0,0,89,0,1.2,0,5.3,11,0,9,0,1,0.6,87064,1,-1,0,1,2160,3138,0,0,448,Liverpool,Man City,Leeds United F.C.,Aston Villa,Wolverhampton,5,5,3.4,4.7,5.1,4.9,0,3.7,3.6,3.3,4.6,3.6,74.9
,Adrian,GLK,LIV,4200000,0,11,0.407407407407407,9.70017636684303E-08,2.61904761904762E-06,0,62742,0,9,0,10,0,0,0,2.6,396,-3,0,11,3,0.4,0,1.8,2,0,1,0,0,0.4,57814,0,-1,0,0,270,484,0,0,60,Fulham,Wolverhampton,Arsenal,Aston Villa,Leeds United F.C.,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.9
Sergio,Aguero,FWD,MCI,10300000,0,8,1.3,1.2621359223301E-07,7.76699029126214E-07,0,509515,0,3,0,0,0,0,0,0.8,1881,-2,0,8,2,0,0,0.3,0,0,1,0,0,1.2,306167,0,-1,0,0,200,1012,0,0,23,Man Utd,Southampton,Fulham,Leicester,Leeds United F.C.,1.5,0.7,0,0.7,0.7,0.6,0,0.8,0.6,0.8,0.7,0.6,12.8
Ola,Aina,DEF,FUL,4500000,6,90,3.8,8.44444444444444E-07,2E-05,0,97637,2,23,0,0,0,2,0,20,3049,0,0,90,0,1.4,0,6.2,8,0,7,0,1,2.2,259703,0,-1,0,2,2089,11226,0,0,404,Liverpool,Man City,Leeds United F.C.,Aston Villa,Wolverhampton,5.2,5.1,3.5,4.9,5.3,5.1,0,3.8,3.7,3.4,4.8,3.7,76.9
Rayan,Ait Nouri,DEF,WOL,5000000,0,34,1.25925925925926,2.51851851851852E-07,6.8E-06,0,47683,0,11,0,0,0,1,0,6.8,137,0,0,34,0,0.1,0,0.4,5,0,1,0,1,0.1,49742,0,-1,0,1,698,37,0,0,142,Aston Villa,Liverpool,West Ham,Fulham,Sheffield United,0.8,1,0,1,0.8,0.9,0.7,0.8,0.8,0.6,0.6,0.9,33.8
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,0,41,1.7,3.54166666666667E-07,8.54166666666667E-06,0,48326,3,55,0,0,0,2,0,8.5,358,-2,0,41,2,0,0,0,2,0,1,0,1,0.2,35435,0,-1,0,0,2099,164,0,1,272,Newcastle,Crystal Palace,Chelsea,Southampton,Leicester,1.1,1.1,0,1,1.2,1.3,1.4,1.8,1.6,1.4,1.5,1.1,62.3
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Leeds United F.C.,Man Utd,Arsenal,Wolverhampton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,MCI,5400000,0,21,0.777777777777778,1.440329218107E-07,3.88888888888889E-06,0,624619,3,7,0,0,0,1,0,3.9,503,-1,0,21,1,0,0,0,1,0,2,0,0,2.4,262074,0,-1,0,0,469,70,0,0,97,Man Utd,Southampton,Fulham,Leicester,Leeds United F.C.,0.8,0.4,0,0.4,0.4,0.4,0,0.4,0.4,0.4,0.4,0.4,16.6
Marc,Albrighton,MID,LEI,5200000,4,46,1.7037037037037,3.27635327635328E-07,8.84615384615385E-06,0,19612,2,12,0,0,0,0,0,8.8,162,-3,0,46,3,0.3,0,1.6,0,0,4,0,4,0.1,11543,0,-1,0,0,1195,406,0,0,196,Brighton,Sheffield United,Man City,West Ham,West Brom,1.2,1.6,0,0.9,1,1.1,0.9,0.9,1,0.9,1,0.9,78.3
Toby,Alderweireld,DEF,TOT,5400000,2,69,4.1,7.59259259259259E-07,1.27777777777778E-05,0,265087,2,13,0,0,0,1,0,12.8,1994,-1,0,69,1,0.5,0,2.8,4,0,8,0,0,1.8,176646,1,-1,0,1,1520,1758,0,0,331,Crystal Palace,Arsenal,Aston Villa,Newcastle,Man Utd,5,5.5,5.3,4.1,5,4.5,0,4.9,4.3,5.8,5.1,5,57.5
Trent,Alexander-Arnold,DEF,LIV,7400000,1,85,3.3,4.45945945945946E-07,1.14864864864865E-05,0,3626624,1,34,0,0,0,1,0,11.5,21513,-1,0,85,1,0.4,0,2.8,10,0,5,0,3,13.6,948557,0,-1,0,1,2129,1370,0,0,467,Fulham,Wolverhampton,Arsenal,Aston Villa,Leeds United F.C.,3.4,4.1,0,4.3,3.6,3.3,2.9,4,3.1,4,3.2,3.5,156
Ezgjan,Alioski,DEF,LEE,4300000,1,67,2.7,6.27906976744186E-07,1.55813953488372E-05,0,329017,3,28,0,0,0,2,0,15.6,3866,-2,1,67,2,0.3,0,1.5,6,0,6,0,0,1.9,417158,0,-1,0,2,1523,1494,-1,0,303,West Ham,Chelsea,Fulham,Sheffield United,Man City,2.9,2.2,2.9,2.6,3.3,2.8,2.6,2.6,2.2,2.3,2,2.8,77.6
,Alisson,GLK,LIV,5900000,2,80,3.5,5.93220338983051E-07,1.35593220338983E-05,0,1059294,1,26,0,50,0,0,0,13.6,4838,-1,0,80,1,0.3,0,1.8,6,0,5,0,0,5.9,442500,0,-1,1,1,2070,590,0,0,401,Fulham,Wolverhampton,Arsenal,Aston Villa,Leeds United F.C.,3.7,4.5,0,4.6,3.9,3.6,3.2,4.3,3.4,4.3,3.5,3.8,47.7
,Allan,MID,EVE,5200000,2,27,1.03846153846154,1.99704142011834E-07,5.19230769230769E-06,0,167946,4,18,0,0,0,0,0,5.2,118,-3,0,27,3,0.2,0,1,0,0,3,0,0,0.6,82349,0,-1,0,0,1240,165,0,0,174,Chelsea,Burnley,Crystal Palace,Brighton,Tottenham,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,33.9
Bamidele,Alli,MID,TOT,7400000,0,13,0.5,6.75675675675676E-08,1.75675675675676E-06,0,253807,0,2,0,0,0,0,0,1.8,1544,-6,0,13,6,0.2,0,1.8,0,0,1,0,1,0.6,33856,0,-1,0,0,203,1053,0,0,37,Crystal Palace,Arsenal,Aston Villa,Newcastle,Man Utd,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,14.2
Miguel,Almiron,MID,NEW,5600000,0,73,3,5.35714285714286E-07,1.30357142857143E-05,0,110011,1,31,0,0,0,4,0,13,1454,-4,0,73,4,0.2,0,1.2,7,0,3,0,1,0.4,60964,0,-1,0,1,1578,52,0,0,277,West Brom,Aston Villa,Brighton,Tottenham,Burnley,0,0,0,2.2,2.9,2.4,2,2.2,2.3,2,4,2.7,103.1
Marcos,Alonso,DEF,CHE,5700000,8,39,1.44444444444444,2.53411306042885E-07,6.84210526315789E-06,0,325451,2,7,0,0,0,1,0,6.8,6903,-3,0,39,3,0.6,0,3.2,5,0,4,0,0,2.8,279782,0,-1,0,1,703,3200,0,0,158,Everton,Leeds United F.C.,West Brom,Crystal Palace,Brighton,0.7,0.8,0,1.1,0.8,0.9,1.1,1,1.2,1.1,0.8,1.1,54.8
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,1230,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,2212,0,-1,0,0,0,98,0,0,0,Leeds United F.C.,Man Utd,Arsenal,Wolverhampton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven,Alzate,MID,BHA,4200000,1,29,1.11538461538462,2.65567765567766E-07,6.9047619047619E-06,0,186386,2,15,0,0,0,1,0,6.9,1048,-3,0,29,3,0.2,0,1,3,0,4,0,0,0.7,197805,0,-1,0,1,738,1376,0,0,112,Leicester,Southampton,Newcastle,Man Utd,Everton,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.6,32.8
Daniel,Amartey,DEF,LEI,3900000,10,20,0.740740740740741,1.89933523266857E-07,5.12820512820513E-06,0,140988,1,8,0,0,0,1,0,5.1,1035,-1,0,20,1,0.8,0,3.2,2,0,0,0,0,1.2,121664,0,-1,0,1,583,15374,0,0,109,Brighton,Sheffield United,Man City,West Ham,West Brom,0.4,0.4,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.2
Ethan,Ampadu,DEF,SHU,4300000,0,43,1.59259259259259,3.7037037037037E-07,1E-05,0,80652,2,31,0,0,0,0,0,10,875,-2,0,43,2,0.5,0,2.2,4,0,2,0,0,0.5,51685,0,-1,0,1,1780,244,0,0,293,Southampton,Leicester,Leeds United F.C.,Arsenal,Wolverhampton,1.2,1.1,0,0.9,1.4,1.2,1.1,0.9,1.3,0.9,0.8,1.1,63.6
Joachim,Andersen,DEF,FUL,4500000,7,79,3.6,8E-07,1.75555555555556E-05,0,10480,3,19,0,0,0,0,0,17.6,748,0,0,79,0,1.3,0,5.8,7,0,9,0,1,0.3,28512,0,-1,0,1,1951,5165,0,1,397,Liverpool,Man City,Leeds United F.C.,Aston Villa,Wolverhampton,4.9,4.9,3.2,4.5,5,4.7,0,3.5,3.4,3.2,4.5,3.4,60.8
Elliot,Anderson,MID,NEW,4500000,0,1,0.0384615384615385,8.54700854700855E-09,2.22222222222222E-07,0,2903,0,0,0,0,0,0,0,0.2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,3403,0,-1,0,0,3,57,0,0,3,West Brom,Aston Villa,Brighton,Tottenham,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Florin,Andone,FWD,BHA,4800000,0,0,0,0,0,0,31026,0,0,0,0,0,0,0,0,69,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,13423,0,-1,0,0,0,84,0,0,0,Leicester,Southampton,Newcastle,Man Utd,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0
,Andre Gomes,MID,EVE,5300000,2,37,1.8,3.39622641509434E-07,6.9811320754717E-06,0,43000,3,19,0,0,0,0,0,7,97,-2,0,37,2,0.3,0,1.7,0,0,4,0,1,0.2,23959,0,-1,0,0,1266,135,0,0,161,Chelsea,Burnley,Crystal Palace,Brighton,Tottenham,1.2,1.1,0,0.9,1.3,0.9,1.2,0.9,1.1,1.6,1,0.9,38.2
,Anguissa,MID,FUL,4500000,0,61,2.3,5.11111111111111E-07,1.35555555555556E-05,0,417093,5,25,0,0,0,0,0,13.6,2140,0,0,61,0,0.3,0,1.3,4,0,6,0,3,1.5,451332,0,-1,0,0,1907,2207,0,0,321,Liverpool,Man City,Leeds United F.C.,Aston Villa,Wolverhampton,1.4,1.2,1.5,1.4,1.7,1.6,0,1.6,2,1.5,1.4,1.7,89
