FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Trent,Alexander-Arnold,DEF,LIV,7500000,0,8,4,5.33333333333333E-07,1.06666666666667E-06,0,686701,0,3,0,0,0,0,0,1.1,38103,0,0,8,0,0.4,0,2.7,1,0,1,0,0,43.9,143319,0,-1,0,0,178,12965,0,0,37,Arsenal,Aston Villa,Everton,Sheffield United,West Ham,2,5.8,2.9,3.8,2.3,4.8,2,5.7,2,5.4,2,4.8,2.3,6,2.8,2.4,4,5.9,5.3,2,3.4,4.1,2,5.6,2,6,2,4.8,4.5,3.1,2,5.4,2.2,5.1,3.7,4,9.2
Ezgjan,Alioski,DEF,LEE,4400000,1,2,1,2.27272727272727E-07,4.54545454545455E-07,0,19003,0,0,0,0,0,0,0,0.5,1578,-1,0,2,1,0.2,0,0.7,0,0,0,0,0,0.5,5025,0,-1,0,0,21,316,0,0,6,Sheffield United,Man City,Wolverhampton,Aston Villa,Leicester,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,1.5,0.5,0.5,0.7,0.5,0.9,0.9,0.5,0.5,0.5,0.6,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.5,2.7
,Alisson,GLK,LIV,6000000,0,15,7.5,1.25E-06,2.5E-06,0,168985,0,3,0,3,0,0,0,2.5,9248,0,0,15,0,0.8,0,5,2,0,1,0,0,13.6,144206,0,-1,1,1,180,24047,0,0,50,Arsenal,Aston Villa,Everton,Sheffield United,West Ham,5.4,10.8,7.8,8,6.5,10.8,4.2,11.2,5.7,11.2,3.9,10.4,6.4,11.2,7.5,6.6,8.4,11.2,11.2,3.8,8.4,9.9,3.8,11.1,5.8,11.2,5.5,11,8.4,8.1,3.8,10.8,6.3,11.2,9.3,9.1,5.1
,Allan,MID,EVE,5500000,2,7,2.3,4.18181818181818E-07,1.27272727272727E-06,0,57608,0,3,0,0,0,0,0,1.3,6537,0,0,7,0,0.4,0,2.3,0,0,1,0,0,1.8,57004,0,-1,0,0,270,3505,0,0,38,Crystal Palace,Brighton,Liverpool,Southampton,Newcastle,1.2,1.2,1.2,1.6,3.4,1.2,2.9,1.2,1.7,1.2,1.4,1.2,2.3,1.2,1.2,3.1,2,1.2,1.2,1.2,1.2,1.2,1.8,1.6,2.9,1.3,1.9,1.2,3.1,1.2,1.9,1.6,1.8,1.7,1.2,1.2,8.2
Bamidele,Alli,MID,TOT,7700000,0,1,0.5,6.49350649350649E-08,1.2987012987013E-07,0,201451,0,0,0,0,0,0,0,0.1,5820,-3,0,1,3,0,0,0.3,0,0,0,0,0,1,10818,0,-1,0,0,45,538,0,0,3,Newcastle,Man Utd,West Ham,Burnley,Brighton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,4.1
Miguel,Almiron,MID,NEW,5900000,2,7,2.3,3.89830508474576E-07,1.1864406779661E-06,0,32258,0,2,0,0,0,0,0,1.2,2043,-1,0,7,1,0.4,0,2.3,0,0,0,0,1,0.7,11693,0,-1,0,0,126,673,0,0,33,Tottenham,Burnley,Man Utd,Wolverhampton,Everton,3.1,1.2,1.2,3.4,1.2,2.1,1.2,1.2,2.5,1.2,1.4,1.2,1.2,1.2,1.2,2.8,2.4,1.2,2.5,1.2,1.2,3.3,1.2,1.2,2.4,1.2,3.4,1.2,2.2,1.2,2.3,1.2,1.9,1.2,1.2,3.3,14.8
Marcos,Alonso,DEF,CHE,6000000,-1,2,0.7,1.16666666666667E-07,3.33333333333333E-07,0,62288,1,6,0,0,0,0,0,0.3,10758,0,0,2,0,0.1,0,0.7,0,0,0,0,0,3.1,26374,0,-1,0,0,225,974,0,0,36,West Brom,Crystal Palace,Southampton,Man Utd,Burnley,0.4,0.4,0.4,0.4,0.4,0.4,1,0.4,0.4,0.4,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,8.5
Steven,Alzate,MID,BHA,4500000,2,7,2.3,5.11111111111111E-07,1.55555555555556E-06,0,29864,0,6,0,0,0,0,0,1.6,4413,0,0,7,0,0.5,0,2.3,0,0,1,0,0,1.2,79712,0,-1,0,0,258,18071,0,0,50,Man Utd,Everton,Crystal Palace,West Brom,Tottenham,1.2,2.3,1.2,1.2,2.9,1.2,2.4,1.2,1.2,1.8,3.2,1.2,2.2,1.2,1.2,1.2,1.3,1.2,1.2,2.2,2.1,1.2,1.2,2.3,1.2,2,1.2,1.2,1.2,3.2,2.7,1.2,3.4,1.2,1.2,2.3,13.2
Daniel,Amartey,DEF,LEI,4000000,0,0,0,0,0,0,28864,1,2,0,0,0,0,0,0,2357,0,0,0,0,0,0,0,0,0,0,0,0,1.5,22957,0,-1,0,0,90,3742,0,0,5,Man City,West Ham,Aston Villa,Arsenal,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
Ethan,Ampadu,DEF,SHU,4500000,2,3,1.5,3.33333333333333E-07,6.66666666666667E-07,0,19160,0,2,0,0,0,0,0,0.7,1343,0,0,3,0,0.2,0,1,0,0,0,0,0,0.7,8837,0,-1,0,0,149,845,0,0,20,Leeds United F.C.,Arsenal,Fulham,Liverpool,Man City,0.8,0.8,0.8,1.9,1,1.8,0.8,1,0.8,0.8,1.2,1.2,0.8,0.8,0.9,0.8,0.8,1.1,0.8,0.8,0.8,1,1.1,1.2,0.8,0.8,1.6,0.8,0.8,1.8,0.8,1.3,1.2,0.8,2.2,0.8,4
