FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,5129,0,0,0,0,0,0,0,0,67,-2,0,0,2,0,0,0,0,0,0,0,0,0,1377,0,-1,0,0,0,2,0,0,0,Southampton,Chelsea,Crystal Palace,Aston Villa,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,8,27,3.9,5.41666666666667E-07,3.75E-06,0,234952,0,5,0,0,0,2,0,3.8,1368,-3,0,27,3,0.5,0,3.8,2,0,2,0,2,2.2,70687,0,-1,0,0,377,4838,0,0,92,Sheffield United,Newcastle,Tottenham,Leeds United F.C.,Everton,4.4,5.4,2.8,3.1,4.4,3.3,2.8,4.4,2.5,3.2,5.8,4.9,2.6,3.1,5.3,5.4,3.7,3.4,3.4,4.1,5.8,4.5,4.5,4.7,3.6,3.7,4.2,4.1,3.2,2.3,5.1,41
Che,Adams,FWD,SOU,5900000,7,41,5.1,8.64406779661017E-07,6.94915254237288E-06,0,288908,1,11,0,0,0,3,0,6.9,3150,-1,-1,41,1,1.3,0,7.8,5,0,4,0,3,4,269785,0,-1,0,1,675,52221,1,0,134,Newcastle,Wolverhampton,Man Utd,Brighton,Sheffield United,6.6,3.8,6.2,6,7.1,5.3,6,5.9,5.4,7.1,7.2,7.3,5.9,5,7.4,6.7,5.2,5,5.3,6.4,6.4,6.5,5.8,5.7,7.6,5,4.7,5.5,7.2,5.9,4.4,55.1
Tosin,Adarabioyo,DEF,FUL,4500000,2,11,2.8,6.22222222222222E-07,2.44444444444444E-06,0,565,0,4,0,0,0,0,0,2.4,40,0,0,11,0,0.6,0,2.8,0,0,1,0,0,0,1539,0,-1,0,0,360,52,0,0,59,West Ham,Everton,Leicester,Man City,Liverpool,2.8,2,3.6,3.8,3.5,2.1,2.3,2,2.6,3.2,3.3,1.8,2.4,2.5,1.5,2.7,1.6,2.3,2.5,3.2,3.7,1.5,3.5,2.8,2.9,1.5,2.2,2.2,1.4,4.2,1.7,9.2
,Adrian,GLK,LIV,4400000,0,2,0.285714285714286,6.49350649350649E-08,4.54545454545455E-07,0,38421,0,9,0,7,0,0,0,0.5,686,-1,0,2,1,0.1,0,0.5,0,0,0,0,0,0.5,42755,0,-1,0,0,180,288,0,0,28,Man City,Leicester,Brighton,Wolverhampton,Fulham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,4.2
Sergio,Aguero,FWD,MCI,10300000,0,3,1.5,1.45631067961165E-07,2.9126213592233E-07,0,390223,0,1,0,0,0,0,0,0.3,1637,-2,0,3,2,0.1,0,0.8,0,0,1,0,0,1.2,192862,0,-1,0,0,109,187,0,0,16,Liverpool,Tottenham,Burnley,Fulham,Man Utd,0,1.2,0.8,1.1,1.6,1.2,0.8,0.9,0.9,0.8,0.8,1.3,1,1.1,1.2,1,0.8,0.9,0.8,0.8,1.1,0.8,1.5,0.8,1.2,0.9,1,0.8,1.3,1.1,1,5.8
Ola,Aina,DEF,FUL,4500000,2,22,4.4,9.77777777777778E-07,4.88888888888889E-06,0,2498,0,5,0,0,0,1,0,4.9,371,0,0,22,0,1.1,0,5,3,0,1,0,0,0.2,12687,0,-1,0,1,450,1269,0,0,92,West Ham,Everton,Leicester,Man City,Liverpool,5.4,4.1,6.4,5.9,6.1,4.2,4.6,4.1,5.1,6,5.1,3.7,4.8,4.9,3.3,5.3,3.5,4.6,4.9,5.6,5.8,3.1,6.4,5.4,5.6,3.2,4.4,4.5,2.9,6.6,3.6,18.9
Rayan,Ait Nouri,DEF,WOL,5000000,2,17,2.42857142857143,4.85714285714286E-07,3.4E-06,0,3741,0,1,0,0,0,1,0,3.4,647,0,0,17,0,0.8,0,4.2,3,0,1,0,0,0.3,24132,0,-1,0,1,165,1816,0,0,45,Leicester,Southampton,Arsenal,Liverpool,Aston Villa,2.9,1.6,2.4,2.6,1.8,1.4,2.6,1.2,3.6,1.9,1.6,2.3,1.7,2,2.2,1.2,1.2,1.2,1.9,2.9,2.8,3.2,2.2,2,1.8,1.8,2,1.6,2.1,1.3,2.8,7.5
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,2,7,1,2.08333333333333E-07,1.45833333333333E-06,0,17045,1,17,0,0,0,0,0,1.5,161,-2,0,7,2,0.3,0,1.2,0,0,0,0,0,0.2,4158,0,-1,0,0,630,53,0,0,75,Tottenham,Man Utd,Sheffield United,Crystal Palace,Newcastle,0.5,1.1,0.5,0.7,0.5,0.8,0.5,0.6,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.8,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.6,0.5,0.8,0.6,0.5,8.1
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,642,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,-1,0,0,0,0,0,0,0,Fulham,Sheffield United,Aston Villa,Man Utd,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
