FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6083,0,0,0,0,0,0,0,0,7,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Everton,Crystal Palace,Southampton,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,1,65,3.6,5E-07,9.02777777777778E-06,0,584702,0,11,0,0,0,6,0,9,9125,-3,0,65,3,0.1,0,1,8,0,5,0,2,3.7,528196,0,-1,0,1,950,3864,0,0,222,Burnley,Tottenham,Sheffield United,Newcastle,Southampton,3.5,3.6,4.2,4.4,3,3.4,3.4,3.8,3.5,4.3,3.9,4,3,4.1,2.5,3,3.4,3,84.3
Che,Adams,FWD,SOU,5900000,1,75,3.9,6.61016949152542E-07,1.27118644067797E-05,0,1153988,1,22,0,0,0,4,0,12.7,11637,-1,0,75,1,0.2,0,1.2,9,0,6,0,5,5.2,1201047,0,-1,0,1,1532,4027,0,0,241,Aston Villa,Man Utd,Newcastle,Wolverhampton,Chelsea,3.7,4,4.2,4.5,3.9,4.1,4.4,4.7,3.8,4.2,4.7,5.4,0,4.1,3.7,4.8,4,3.2,114.4
Tosin,Adarabioyo,DEF,FUL,4500000,1,50,3.1,6.88888888888889E-07,1.11111111111111E-05,0,25666,1,18,0,0,0,0,0,11.1,795,0,0,50,0,0.5,0,2.4,5,0,4,0,1,0.4,52870,0,-1,0,1,1440,96,0,0,272,West Brom,Leicester,West Ham,Everton,Sheffield United,3.6,2.9,3.5,2.8,3,3,3.4,4.4,2.3,3.5,4,3.6,0,2.5,2.9,2.3,3.7,2.6,44.7
,Adrian,GLK,LIV,4200000,0,2,0.1,2.38095238095238E-08,4.76190476190476E-07,0,58249,0,9,0,7,0,0,0,0.5,118,-3,0,2,3,0,0,0,0,0,0,0,0,0.3,52669,0,-1,0,0,180,69,0,0,28,West Ham,Brighton,Man City,Leicester,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2
Sergio,Aguero,FWD,MCI,10300000,0,6,1.2,1.16504854368932E-07,5.8252427184466E-07,0,496740,0,2,0,0,0,0,0,0.6,451,-2,0,6,2,0,0,0.2,0,0,1,0,0,1.1,287908,0,-1,0,0,140,297,0,0,20,Sheffield United,Burnley,Liverpool,Tottenham,Arsenal,0,0,0,0,0,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0,0.6,0.6,0.6,0.7,0.6,10.4
Ola,Aina,DEF,FUL,4500000,1,53,3.1,6.88888888888889E-07,1.17777777777778E-05,0,43186,1,19,0,0,0,1,0,11.8,1152,0,0,53,0,0.5,0,2.2,3,0,4,0,0,0.5,72753,0,-1,0,1,1504,213,0,0,267,West Brom,Leicester,West Ham,Everton,Sheffield United,3.6,2.9,3.5,2.8,3,3,3.4,4.4,2.3,3.5,4,3.6,0,2.5,2.9,2.3,3.7,2.6,47
Rayan,Ait Nouri,DEF,WOL,5000000,0,32,1.6,3.2E-07,6.4E-06,0,43465,0,11,0,0,0,1,0,6.4,571,0,0,32,0,0.4,0,1.8,5,0,1,0,1,0.1,48746,0,-1,0,1,689,13,0,0,136,Crystal Palace,Arsenal,Leicester,Southampton,Leeds United F.C.,0,0,0,0,0,0.8,1.2,1.5,1.5,1.4,1.1,1.1,1.1,1.2,1,1,0.9,1.2,33.8
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,1,39,1.9,3.95833333333333E-07,8.125E-06,0,33605,3,50,0,0,0,2,0,8.1,594,-2,0,39,2,0.3,0,1.6,2,0,1,0,1,0.3,27686,0,-1,0,0,1800,608,0,0,247,Fulham,Sheffield United,Tottenham,Man Utd,Burnley,1.5,1.4,1.5,1.5,1.4,1.2,1.1,1.5,1,1.2,1.2,1.6,1.7,1.9,1.8,1.7,1.6,1.3,55.4
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Liverpool,Aston Villa,Fulham,Sheffield United,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,MCI,5400000,0,21,1.10526315789474,2.04678362573099E-07,3.88888888888889E-06,0,606725,3,7,0,0,0,1,0,3.9,1291,-1,0,21,1,0,0,0,1,0,2,0,0,2.7,261743,0,-1,0,0,469,13,0,0,97,Sheffield United,Burnley,Liverpool,Tottenham,Arsenal,0,0,0,0,0,0.8,0.7,0.6,0.9,0.6,0.6,0.6,0,0.6,0.6,0.6,0.6,0.6,16.6
Marc,Albrighton,MID,LEI,5300000,1,36,1.8,3.39622641509434E-07,6.79245283018868E-06,0,16579,2,10,0,0,0,0,0,6.8,151,-2,0,36,2,0.6,0,3.2,0,0,4,0,3,0.1,9092,0,-1,0,0,978,116,0,0,150,Leeds United F.C.,Fulham,Wolverhampton,Liverpool,Aston Villa,0.9,1.2,1.1,0.9,0.9,0.9,1.4,1.6,1.4,0.9,1.1,1.1,0.9,1,1.2,1,1.1,0.9,53.9
Toby,Alderweireld,DEF,TOT,5400000,0,47,4.3,7.96296296296296E-07,8.7037037037037E-06,0,234642,0,10,0,0,0,1,0,8.7,1121,-1,0,47,1,0.5,0,2.6,4,0,5,0,0,1.7,144948,1,-1,0,1,980,375,0,0,219,Brighton,Chelsea,West Brom,Man City,West Ham,5.2,4.1,5,5.7,5.7,4.4,5.3,5.9,4.3,4.3,4.9,4.9,0,4.5,4.8,5.7,5.1,5.5,42.4
Trent,Alexander-Arnold,DEF,LIV,7300000,2,69,3.6,4.93150684931507E-07,9.45205479452055E-06,0,3356303,1,23,0,0,0,1,0,9.5,2281,-2,0,69,2,0.7,0,5.2,7,0,4,0,3,14.7,769622,0,-1,0,1,1575,27757,0,0,351,West Ham,Brighton,Man City,Leicester,Everton,4.1,3.7,5.2,3.9,3.1,3.4,4.3,4.3,3.6,4.3,4.3,3.3,3.4,4.5,3.7,4.3,3.5,4.6,107.2
Ezgjan,Alioski,DEF,LEE,4500000,2,57,3.2,7.11111111111111E-07,1.26666666666667E-05,0,224687,3,22,0,0,0,2,0,12.7,3701,0,0,57,0,0.3,0,1.2,6,0,5,0,0,2.5,361630,0,-1,0,2,1182,932,0,0,241,Leicester,Everton,Crystal Palace,Arsenal,Wolverhampton,3.7,2.2,3.5,4,4,3.3,3.9,2.6,3.7,2.9,4.3,3.6,3.1,3.4,2.4,3.3,2.6,3.2,57.7
,Alisson,GLK,LIV,5900000,2,71,3.9,6.61016949152542E-07,1.20338983050847E-05,0,954120,1,15,0,37,0,0,0,12,2003,-1,0,71,1,0.6,0,3.8,6,0,5,0,0,6.9,411719,0,-1,1,1,1620,3285,0,0,328,West Ham,Brighton,Man City,Leicester,Everton,4.6,4.1,5.6,4.4,3.5,3.9,4.9,4.8,4,4.8,4.9,3.8,3.9,5,4.1,4.8,3.9,5.1,35.6
,Allan,MID,EVE,5200000,0,21,1.8,3.46153846153846E-07,4.03846153846154E-06,0,165234,4,16,0,0,0,0,0,4,196,-3,0,21,3,0,0,0,0,0,2,0,0,0.6,81662,0,-1,0,0,1028,5,0,0,140,Newcastle,Leeds United F.C.,Man Utd,Fulham,Liverpool,0,0,1,1,0.9,1.1,1.1,1.2,1.5,0.9,1.4,0.9,1.2,0.9,1.1,1.6,1.1,0.9,30.5
Bamidele,Alli,MID,TOT,7400000,0,4,0.210526315789474,2.84495021337127E-08,5.40540540540541E-07,0,248870,0,1,0,0,0,0,0,0.5,122,-6,0,4,6,0,0,0,0,0,0,0,0,0.5,21330,0,-1,0,0,74,11,0,0,13,Brighton,Chelsea,West Brom,Man City,West Ham,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,5.2
Miguel,Almiron,MID,NEW,5600000,3,51,2.7,4.82142857142857E-07,9.10714285714286E-06,0,90468,1,22,0,0,0,2,0,9.1,298,-4,0,51,4,0.5,0,3,4,0,3,0,1,0.4,43821,0,-1,0,0,1185,329,0,0,201,Everton,Crystal Palace,Southampton,Chelsea,Man Utd,2.3,2.1,2.4,1.9,1.8,2.4,2.5,1.7,2.3,1.7,2.5,2,1.4,1.8,1.8,1.8,3.2,2.1,75.4
Marcos,Alonso,DEF,CHE,5600000,12,14,0.7,1.25E-07,2.5E-06,0,197955,1,6,0,0,0,1,0,2.5,247,-4,0,14,4,0.4,0,2.4,0,0,1,0,0,1.5,48599,0,-1,0,1,315,7244,0,0,67,Burnley,Tottenham,Sheffield United,Newcastle,Southampton,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,8.5
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,-1,0,0,0,62,0,0,0,Liverpool,Aston Villa,Fulham,Sheffield United,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven,Alzate,MID,BHA,4300000,0,14,0.7,1.62790697674419E-07,3.25581395348837E-06,0,165193,1,13,0,0,0,0,0,3.3,1287,-2,0,14,2,0,0,0,0,0,2,0,0,0.7,177590,0,-1,0,0,520,51,0,0,74,Tottenham,Liverpool,Burnley,Aston Villa,Crystal Palace,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,19.6
Daniel,Amartey,DEF,LEI,3900000,0,3,0.15,3.84615384615385E-08,7.69230769230769E-07,0,121242,1,5,0,0,0,0,0,0.8,655,-1,0,3,1,0,0,0,0,0,0,0,0,0.9,77093,0,-1,0,0,264,195,0,0,40,Leeds United F.C.,Fulham,Wolverhampton,Liverpool,Aston Villa,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.7
Ethan,Ampadu,DEF,SHU,4300000,2,30,1.5,3.48837209302326E-07,6.97674418604651E-06,0,66615,1,22,0,0,0,0,0,7,327,-2,0,30,2,0.7,0,2.8,3,0,1,0,0,0.5,39995,0,-1,0,1,1240,939,0,0,193,Man City,West Brom,Chelsea,West Ham,Fulham,1.4,1.1,0.8,1.1,1.1,1.3,0.9,1,1.1,0.8,1,1.2,0.9,0.9,1.2,0.8,0.8,0.9,42.7
Joachim,Andersen,DEF,FUL,4500000,1,37,2.6,5.77777777777778E-07,8.22222222222222E-06,0,3210,2,15,0,0,0,0,0,8.2,138,0,0,37,0,0.5,0,2.2,2,0,4,0,0,0,5324,0,-1,0,0,1231,43,0,1,216,West Brom,Leicester,West Ham,Everton,Sheffield United,2.8,2.2,2.7,2.1,2.3,2.3,2.6,3.6,1.7,2.7,3.1,2.8,0,1.9,2.2,1.7,2.9,2,27.4
Elliot,Anderson,MID,NEW,4500000,0,1,0.05,1.11111111111111E-08,2.22222222222222E-07,0,1868,0,0,0,0,0,0,0,0.2,24,0,0,1,0,0,0,0.2,0,0,0,0,0,0,2437,0,-1,0,0,3,15,0,0,3,Everton,Crystal Palace,Southampton,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Florin,Andone,FWD,BHA,4800000,0,0,0,0,0,0,30012,0,0,0,0,0,0,0,0,22,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,12373,0,-1,0,0,0,25,0,0,0,Tottenham,Liverpool,Burnley,Aston Villa,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
