FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6243,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Fulham,,,,,0,0
Tammy,Abraham,FWD,CHE,7100000,0,69,3.1,4.36619718309859E-07,9.71830985915493E-06,0,784328,0,12,0,0,0,6,0,9.7,0,-4,0,69,4,0,0,0,8,0,5,0,2,2,589795,0,-1,0,1,1031,0,0,0,224,Aston Villa,,,,,2.9,86.6
Che,Adams,FWD,SOU,5700000,0,137,3.8,6.66666666666667E-07,2.40350877192982E-05,0,1836666,1,51,0,0,0,9,0,24,0,-3,0,137,3,0,0,0,16,0,7,0,7,4.1,1794717,0,-1,0,2,2662,0,0,0,443,West Ham,,,,,3.2,203.4
Tosin,Adarabioyo,DEF,FUL,4500000,1,100,3,6.66666666666667E-07,2.22222222222222E-05,0,88947,1,41,0,0,0,0,0,22.2,0,0,0,100,0,0.2,0,1,11,0,9,0,1,0.6,125625,1,-1,0,1,2953,0,0,0,571,Newcastle,,,,,2.6,97.1
,Adrian,GLK,LIV,4200000,0,11,0.297297297297297,7.07850707850708E-08,2.61904761904762E-06,0,67145,0,9,0,10,0,0,0,2.6,0,-3,0,11,3,0,0,0,2,0,1,0,0,0.3,60478,0,-1,0,0,270,0,0,0,60,Crystal Palace,,,,,0.1,5.9
Sergio,Aguero,FWD,MCI,10300000,10,38,3.2,3.10679611650485E-07,3.68932038834951E-06,0,574721,0,4,0,0,0,4,0,3.7,0,-2,0,38,2,1,1,10,3,0,4,0,1,1.6,406215,0,-1,0,0,554,0,0,0,155,Everton,,,,,2.5,62.2
Ola,Aina,DEF,FUL,4300000,0,102,3.3,7.67441860465116E-07,2.37209302325581E-05,0,260434,3,36,0,0,0,2,0,23.7,0,-2,0,102,2,0,0,0,8,0,8,0,1,2,403771,0,-1,0,2,2664,0,0,0,477,Newcastle,,,,,3,87.7
Rayan,Ait Nouri,DEF,WOL,5000000,0,54,1.45945945945946,2.91891891891892E-07,1.08E-05,0,58990,1,23,0,0,0,1,0,10.8,0,0,0,54,0,0,0,0,6,0,3,0,1,0.2,64843,0,-1,0,1,1400,0,0,0,264,Man Utd,,,,,1.2,67.4
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,1,51,1.5,3.125E-07,1.0625E-05,0,52482,3,71,0,0,0,2,0,10.6,0,-2,0,51,2,0.2,0,1,2,0,1,0,1,0.2,38375,0,-1,0,0,2779,0,0,1,342,Leeds United F.C.,,,,,0.8,86.4
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Southampton,,,,,0,0
Nathan,Ake,DEF,MCI,5400000,0,29,0.783783783783784,1.45145145145145E-07,5.37037037037037E-06,0,631492,4,13,0,0,0,1,0,5.4,0,-1,0,29,1,0,0,0,1,0,3,0,0,2.4,271383,0,-1,0,0,797,0,0,0,150,Everton,,,,,0.4,24.7
Marc,Albrighton,MID,LEI,5200000,2,78,2.10810810810811,4.05405405405405E-07,1.5E-05,0,24464,2,22,0,0,0,1,0,15,0,-3,0,78,3,0.4,0,2,3,0,4,0,7,0.2,18615,0,-1,0,1,1735,0,0,0,325,Tottenham,,,,,1.1,123.9
Toby,Alderweireld,DEF,TOT,5400000,1,88,3.5,6.48148148148148E-07,1.62962962962963E-05,0,316716,2,25,0,0,0,1,0,16.3,0,-1,0,88,1,0.2,0,1,4,0,10,0,0,1.8,228249,1,-1,0,1,2240,0,0,0,469,Leicester,,,,,3.3,84.6
Trent,Alexander-Arnold,DEF,LIV,7800000,5,160,4.4,5.64102564102564E-07,2.05128205128205E-05,0,3840385,2,40,0,0,0,2,0,20.5,0,3,0,160,-3,0.6,0,5,26,0,10,0,8,27.1,2272992,0,-1,0,4,3029,0,0,0,761,Crystal Palace,,,,,5,255.7
Ezgjan,Alioski,DEF,LEE,4400000,2,110,3.1,7.04545454545455E-07,2.5E-05,0,399434,7,35,0,0,0,2,0,25,0,-1,0,110,1,0.5,0,2,7,0,10,0,3,3.2,593961,0,-1,0,3,2456,0,0,0,449,West Brom,,,,,3.3,118.5
,Alisson,GLK,LIV,6000000,8,140,4.2,7E-07,2.33333333333333E-05,0,1111372,1,32,0,84,0,1,0,23.3,0,0,0,140,0,1.3,0,8,13,0,10,0,0,8.3,686423,0,-1,1,2,2970,0,0,0,660,Crystal Palace,,,,,4.6,79.4
,Allan,MID,EVE,5200000,2,47,2,3.84615384615385E-07,9.03846153846154E-06,0,169712,6,30,0,0,0,0,0,9,0,-3,0,47,3,0.4,0,2,0,0,7,0,0,0.6,84109,0,-1,0,0,2050,0,0,0,290,Man City,,,,,1.1,64.4
Bamidele,Alli,MID,TOT,7400000,2,30,0.810810810810811,1.09569028487947E-07,4.05405405405405E-06,0,270129,0,9,0,0,0,0,0,4.1,0,-6,0,30,6,0.3,0,2,0,0,3,0,2,0.6,50411,0,-1,0,0,613,0,0,0,101,Leicester,,,,,0.4,39.9
Miguel,Almiron,MID,NEW,5600000,3,97,2.9,5.17857142857143E-07,1.73214285714286E-05,0,124413,3,48,0,0,0,4,0,17.3,0,-4,0,97,4,0.5,0,3,8,0,5,0,2,0.5,81648,0,-1,0,1,2426,0,0,0,367,Fulham,,,,,2.7,132.6
Marcos,Alonso,DEF,CHE,5600000,0,57,1.54054054054054,2.75096525096525E-07,1.01785714285714E-05,0,481565,2,13,0,0,0,2,0,10.2,0,-4,0,57,4,0,0,0,5,0,5,0,1,2.2,387913,0,-1,0,1,958,0,0,0,225,Aston Villa,,,,,1.2,75.6
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,2184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3709,0,-1,0,0,0,0,0,0,0,Southampton,,,,,0,0
Steven,Alzate,MID,BHA,4100000,1,35,0.945945945945946,2.3071852340145E-07,8.53658536585366E-06,0,206801,2,17,0,0,0,1,0,8.5,0,-4,0,35,4,0.2,0,1,3,0,5,0,0,0.9,236556,0,-1,0,1,892,0,0,0,141,Arsenal,,,,,0.5,37.6
Daniel,Amartey,DEF,LEI,3900000,0,19,0.513513513513513,1.31670131670132E-07,4.87179487179487E-06,0,204986,3,12,0,0,0,1,0,4.9,0,-1,0,19,1,0,0,0,2,0,0,0,0,1.2,183417,0,-1,0,0,718,0,0,0,121,Tottenham,,,,,0.3,22.7
Ethan,Ampadu,DEF,SHU,4300000,0,44,1.18918918918919,2.76555625392835E-07,1.02325581395349E-05,0,93398,3,41,0,0,0,0,0,10.2,0,-2,0,44,2,0,0,0,4,0,2,0,0,0.4,57489,1,-1,0,1,2087,0,0,0,341,Burnley,,,,,0.6,70.1
Joachim,Andersen,DEF,FUL,4500000,0,93,3,6.66666666666667E-07,2.06666666666667E-05,0,45554,6,36,0,0,0,1,0,20.7,0,0,0,93,0,0,0,0,7,0,9,0,1,0.4,70075,0,-1,0,2,2729,0,0,1,501,Newcastle,,,,,2.6,84.5
Elliot,Anderson,MID,NEW,4500000,0,1,0.027027027027027,6.00600600600601E-09,2.22222222222222E-07,0,3709,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4028,0,-1,0,0,3,0,0,0,3,Fulham,,,,,0,0.2
Florin,Andone,FWD,BHA,4800000,0,0,0,0,0,0,32162,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,14497,0,-1,0,0,0,0,0,0,0,Arsenal,,,,,0,0
,Andre Gomes,MID,EVE,5300000,0,48,1.2972972972973,2.44773074961754E-07,9.0566037735849E-06,0,45090,3,22,0,0,0,0,0,9.1,0,-2,0,48,2,0,0,0,0,0,5,0,1,0.2,25681,0,-1,0,0,1559,0,0,0,224,Man City,,,,,0.6,53
,Anguissa,MID,FUL,4400000,1,76,2.1,4.77272727272727E-07,1.72727272727273E-05,0,455489,6,40,0,0,0,0,0,17.3,0,-1,0,76,1,0.2,0,1,4,0,6,0,3,1.2,471824,0,-1,0,0,2581,0,0,0,391,Newcastle,,,,,1.3,123.1
