FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6124,0,0,0,0,0,0,0,0,4,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Southampton,Chelsea,Man Utd,Wolverhampton,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,0,65,3.6,5E-07,9.02777777777778E-06,0,667602,0,11,0,0,0,6,0,9,12561,-3,0,65,3,0.1,0,0.8,8,0,5,0,2,3,552444,0,-1,0,1,950,1558,0,0,222,Sheffield United,Newcastle,Southampton,Man Utd,Everton,4,4.4,3.2,3.4,3.4,4,3.8,4.2,4,3.7,3.1,3.9,2.5,3.3,3.2,3.2,84.4
Che,Adams,FWD,SOU,5800000,5,82,3.9,6.72413793103448E-07,1.41379310344828E-05,0,1254765,1,34,0,0,0,4,0,14.1,11628,-2,0,82,2,0.4,0,2.4,9,0,6,0,6,4.4,1241310,0,-1,0,1,1712,11144,0,0,263,Newcastle,Wolverhampton,Chelsea,Leeds United F.C.,Everton,4.5,4.6,8.1,4.3,4.3,4.4,3.8,4.3,4.5,5.5,0,3.8,4,4.6,4.1,3.3,123.1
Tosin,Adarabioyo,DEF,FUL,4500000,6,57,3.2,7.11111111111111E-07,1.26666666666667E-05,0,31657,1,20,0,0,0,0,0,12.7,560,0,0,57,0,0.6,0,2.7,5,0,5,0,1,0.4,57025,0,-1,0,1,1620,2846,0,0,309,West Ham,Everton,Burnley,Sheffield United,Crystal Palace,3.5,6.2,3.1,3.3,3.8,4.4,2.4,3.7,4.2,3.9,0,2.8,3.1,2.5,3.7,2.6,53.9
,Adrian,GLK,LIV,4200000,0,2,0.0909090909090909,2.16450216450216E-08,4.76190476190476E-07,0,59493,0,9,0,7,0,0,0,0.5,248,-3,0,2,3,0,0,0,0,0,0,0,0,0.3,53518,0,-1,0,0,180,165,0,0,28,Man City,Leicester,Everton,Sheffield United,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2
Sergio,Aguero,FWD,MCI,10300000,0,6,1.2,1.16504854368932E-07,5.8252427184466E-07,0,499794,0,2,0,0,0,0,0,0.6,568,-2,0,6,2,0,0,0,0,0,1,0,0,1.1,289123,0,-1,0,0,140,132,0,0,20,Liverpool,Tottenham,Everton,Arsenal,West Ham,0,0,0,0,0,0.6,0.7,0.6,0.6,0.6,0,0.6,0.6,0.7,0.6,0.6,10.4
Ola,Aina,DEF,FUL,4500000,0,53,2.9,6.44444444444444E-07,1.17777777777778E-05,0,51115,2,21,0,0,0,1,0,11.8,1077,0,0,53,0,0.4,0,1.6,3,0,4,0,0,0.4,75598,0,-1,0,1,1594,724,0,0,271,West Ham,Everton,Burnley,Sheffield United,Crystal Palace,3.1,5.3,2.7,2.9,3.3,3.9,2.1,3.2,3.6,3.4,0,2.4,2.6,2.1,3.2,2.3,48.4
Rayan,Ait Nouri,DEF,WOL,5000000,0,32,1.45454545454545,2.90909090909091E-07,6.4E-06,0,46153,0,11,0,0,0,1,0,6.4,291,0,0,32,0,0.3,0,1.3,5,0,1,0,1,0.1,48799,0,-1,0,1,689,12,0,0,136,Leicester,Southampton,Leeds United F.C.,Newcastle,Aston Villa,0,0,0,0,0,1.3,1.2,1.2,1,1,1,1,0.9,0.8,0.7,1,33.8
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,1,41,1.9,3.95833333333333E-07,8.54166666666667E-06,0,39473,3,54,0,0,0,2,0,8.5,518,-2,0,41,2,0.4,0,1.7,2,0,1,0,1,0.3,30876,0,-1,0,0,1980,157,0,0,268,Tottenham,Man Utd,Burnley,Brighton,Newcastle,1.4,1.4,1.4,1.2,1.1,1.5,1,1.2,1.2,1.7,1.8,2,1.8,1.7,1.6,1.4,60.3
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Fulham,Sheffield United,Tottenham,Man City,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,MCI,5400000,0,21,1,1.85185185185185E-07,3.88888888888889E-06,0,614816,3,7,0,0,0,1,0,3.9,1609,-1,0,21,1,0,0,0,1,0,2,0,0,2.6,261826,0,-1,0,0,469,18,0,0,97,Liverpool,Tottenham,Everton,Arsenal,West Ham,0,0,0,0,0,0.5,0.8,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,16.6
Marc,Albrighton,MID,LEI,5200000,1,38,1.72727272727273,3.32167832167832E-07,7.30769230769231E-06,0,17770,2,10,0,0,0,0,0,7.3,184,-3,0,38,3,0.4,0,2.2,0,0,4,0,3,0.1,9598,0,-1,0,0,1036,63,0,0,159,Wolverhampton,Liverpool,Aston Villa,Arsenal,Brighton,1,0.9,0.9,0.9,1.2,1.5,1.4,0.9,1.1,1,0.9,1,0.9,0.9,1,0.9,63.9
Toby,Alderweireld,DEF,TOT,5400000,6,55,3.9,7.22222222222222E-07,1.01851851851852E-05,0,243833,2,12,0,0,0,1,0,10.2,1718,-1,0,55,1,0.2,0,1.3,4,0,6,0,0,1.7,153606,1,-1,0,1,1250,955,0,0,265,West Brom,Man City,West Ham,Burnley,Crystal Palace,4.4,5.2,5.1,3.9,4.8,5.2,3.7,3.9,4.1,4.3,0,4,4.3,5.3,4.2,5,51.6
Trent,Alexander-Arnold,DEF,LIV,7400000,0,71,3.4,4.59459459459459E-07,9.59459459459459E-06,0,3444808,1,28,0,0,0,1,0,9.6,20984,-1,0,71,1,0.6,0,4.3,7,0,4,0,3,15.1,883667,0,-1,0,1,1755,5439,0,0,392,Man City,Leicester,Everton,Sheffield United,Fulham,4.8,3.9,2.6,3.1,3.9,4,3.1,4.1,3.7,3.3,3,3.9,3.3,4,3.4,4.2,120.2
