FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6232,0,0,0,0,0,0,0,0,1,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Leicester,Man City,Sheffield United,Fulham,,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7100000,0,69,3.1,4.36619718309859E-07,9.71830985915493E-06,0,782016,0,12,0,0,0,6,0,9.7,694,-4,0,69,4,0.1,0,0.4,8,0,5,0,2,2,588805,0,-1,0,1,1031,167,0,0,224,Man City,Arsenal,Leicester,Aston Villa,,4.9,0,2.6,2.8,86.6
Che,Adams,FWD,SOU,5700000,13,127,3.7,6.49122807017544E-07,2.2280701754386E-05,0,1722069,1,50,0,0,0,8,0,22.3,4797,-3,0,127,3,0.7,0,4.2,13,0,7,0,7,4.5,1711414,0,-1,0,3,2527,12114,0,0,412,Liverpool,Crystal Palace,Fulham,Leeds United F.C.,West Ham,8.7,4.1,3.9,3,187.5
Tosin,Adarabioyo,DEF,FUL,4500000,1,96,3.2,7.11111111111111E-07,2.13333333333333E-05,0,83504,1,35,0,0,0,0,0,21.3,602,0,0,96,0,0.3,0,1.3,11,0,9,0,1,0.6,121914,1,-1,0,1,2683,694,0,0,522,Burnley,Southampton,Man Utd,Newcastle,,2.5,2.7,3.8,2.8,88.9
,Adrian,GLK,LIV,4200000,0,11,0.333333333333333,7.93650793650794E-08,2.61904761904762E-06,0,66345,0,9,0,10,0,0,0,2.6,129,-3,0,11,3,0,0,0,2,0,1,0,0,0.3,60061,0,-1,0,0,270,60,0,0,60,Southampton,Man Utd,West Brom,Burnley,Crystal Palace,0.4,0.2,0.2,0.2,5.9
Sergio,Aguero,FWD,MCI,10300000,3,28,2.5,2.42718446601942E-07,2.71844660194175E-06,0,549196,0,4,0,0,0,2,0,2.7,1007,-2,0,28,2,0.4,1,3.7,2,0,4,0,1,1.3,352713,0,-1,0,0,529,7571,0,0,102,Chelsea,Newcastle,Brighton,Everton,,1.6,2.5,2.1,1.7,47.3
Ola,Aina,DEF,FUL,4400000,0,101,3.4,7.72727272727273E-07,2.29545454545455E-05,0,234126,3,34,0,0,0,2,0,23,2614,-1,0,101,1,0.2,0,0.7,8,0,8,0,1,2.1,391737,0,-1,0,2,2603,3600,0,0,471,Burnley,Southampton,Man Utd,Newcastle,,2.7,2.9,4.2,3.1,86.1
Rayan,Ait Nouri,DEF,WOL,5000000,2,52,1.52941176470588,3.05882352941176E-07,1.04E-05,0,57028,0,20,0,0,0,1,0,10.4,346,0,0,52,0,0.5,0,2.5,6,0,3,0,1,0.2,64208,0,-1,0,1,1228,146,0,0,249,Brighton,Tottenham,Everton,Man Utd,,1,0.9,0.9,1.2,62.8
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,1,48,1.6,3.33333333333333E-07,1E-05,0,51837,3,63,0,0,0,2,0,10,109,-2,0,48,2,0.3,0,1.2,2,0,1,0,1,0.2,37698,0,-1,0,0,2509,94,0,1,312,Arsenal,Liverpool,West Ham,Leeds United F.C.,,1.4,1.4,1.5,1,74.3
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Everton,Brighton,West Brom,Southampton,,0,0,0,0,0
