FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,3771,0,0,0,0,0,0,0,0,111,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1311,0,-1,0,0,0,35,0,0,0,Man Utd,Wolverhampton,Everton,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7300000,1,13,3.2,4.38356164383562E-07,1.78082191780822E-06,0,191181,0,4,0,0,0,1,0,1.8,11660,-2,0,13,2,0.4,0,3.2,0,0,1,0,1,2.5,51957,0,-1,0,0,192,1496,0,0,41,Southampton,Man Utd,Burnley,Sheffield United,Newcastle,2.7,4.8,4.8,3,4,2.5,2.9,2.9,2.6,1.9,2.7,1.6,2.1,4.2,4.6,2.6,3.7,4.7,3.9,2.4,2.7,3.4,2.1,3.8,3,4.2,3.4,2.9,2.8,3.6,3.6,2.5,2,2.1,17.1
Che,Adams,FWD,SOU,5800000,11,21,4.2,7.24137931034483E-07,3.62068965517241E-06,0,248250,1,8,0,0,0,1,0,3.6,3440,-2,0,21,2,0.8,0,4.8,2,0,2,0,2,1.5,58599,0,-1,0,1,407,8042,0,0,57,Chelsea,Everton,Aston Villa,Newcastle,Wolverhampton,3.9,3.8,2.7,4.3,3.4,5.2,5.8,5,3.6,3.9,5.8,3.5,4.7,5,5.5,4.3,2.9,6.2,5.3,4.5,4,3.8,5.1,5,6.2,5.4,5.1,6.1,4.7,3.7,3.9,5.5,4.9,3.6,33.8
Tosin,Adarabioyo,DEF,FUL,4500000,2,2,0.5,1.11111111111111E-07,4.44444444444444E-07,0,89,0,1,0,0,0,0,0,0.4,49,0,0,2,0,0.4,0,2,0,0,0,0,0,0,451,0,-1,0,0,90,271,0,0,15,Sheffield United,Crystal Palace,West Brom,West Ham,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,2.3
,Adrian,GLK,LIV,4500000,2,2,0.5,1.11111111111111E-07,4.44444444444444E-07,0,12297,0,9,0,7,0,0,0,0.4,1001,0,0,2,0,0.1,0,0.5,0,0,0,0,0,0.5,23461,0,-1,0,0,180,5742,0,0,28,Everton,Sheffield United,West Ham,Man City,Leicester,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,4.2
Sergio,Aguero,FWD,MCI,10400000,2,2,2,1.92307692307692E-07,1.92307692307692E-07,0,255865,0,0,0,0,0,0,0,0.2,2603,-1,0,2,1,0,0,0.5,0,0,1,0,0,1.7,94164,0,-1,0,0,64,23940,0,0,14,Arsenal,West Ham,Sheffield United,Liverpool,Tottenham,1,1.4,2.1,1,2.7,1.6,1.5,2.9,2,1.4,1,1.5,1.6,1.1,1.7,2.4,1.2,2.8,1.6,1,1.4,1,1.4,2.6,1,2.3,1.1,1.1,1,1.8,1,2.2,2.5,1,4.9
Ola,Aina,DEF,FUL,4500000,2,4,1,2.22222222222222E-07,8.88888888888889E-07,0,256,0,2,0,0,0,0,0,0.9,74,0,0,4,0,0.4,0,2,0,0,0,0,0,0,961,0,-1,0,0,180,254,0,0,32,Sheffield United,Crystal Palace,West Brom,West Ham,Everton,0.5,0.6,0.5,0.6,0.5,0.7,1.1,0.6,0.5,0.5,0.5,0.5,0.7,0.7,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.8,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,1.3,0.5,5.3
Rayan,Ait Nouri,DEF,WOL,5000000,0,0,0,0,0,0,605,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1422,0,-1,0,0,0,156,0,0,0,Leeds United F.C.,Newcastle,Crystal Palace,Leicester,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4900000,0,2,0.5,1.02040816326531E-07,4.08163265306122E-07,0,14015,1,13,0,0,0,0,0,0.4,321,-1,0,2,1,0.1,0,0.7,0,0,0,0,0,0.2,3367,0,-1,0,0,360,130,0,0,32,Burnley,Brighton,Fulham,Tottenham,Man Utd,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.2
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,-1,0,0,0,10,0,0,0,Tottenham,Man City,Liverpool,Fulham,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
