FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,5841,0,0,0,0,0,0,0,0,20,-2,0,0,2,0,0,0,0,0,0,0,0,0,1527,0,-1,0,0,0,3,0,0,0,Fulham,Man City,Liverpool,Leicester,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,0,41,3.4,4.72222222222222E-07,5.69444444444444E-06,0,356865,0,6,0,0,0,3,0,5.7,4032,-3,0,41,3,0.1,0,1,5,0,4,0,2,2.3,195462,0,-1,0,0,597,1174,0,0,134,West Ham,Arsenal,Aston Villa,Man City,Fulham,2.8,3.6,2.2,3.1,0,7.3,3.3,2.9,3.2,4.1,3.6,2.7,3.1,3.2,3.8,3,4,4.1,3.6,3,4,2.5,3.1,2.8,3.4,57.6
Che,Adams,FWD,SOU,6000000,2,67,4.8,8E-07,1.11666666666667E-05,0,548516,1,18,0,0,0,4,0,11.2,12852,0,0,67,0,0.7,0,4.3,9,0,5,0,5,7.9,820815,0,-1,0,1,1199,57010,0,0,227,Man City,Fulham,West Ham,Liverpool,Leicester,5.7,5.2,5.3,6.6,0,10.9,5.8,4.4,5.9,6,6,5.4,4.9,5.7,6.4,4.7,5.4,5.1,7.1,3.7,5.3,4.4,6.9,5.5,4.4,92.8
Tosin,Adarabioyo,DEF,FUL,4500000,7,32,3.2,7.11111111111111E-07,7.11111111111111E-06,0,2036,1,12,0,0,0,0,0,7.1,300,0,0,32,0,0.8,0,3.5,5,0,2,0,1,0.1,6770,0,-1,0,1,900,1549,0,0,168,Newcastle,Southampton,Tottenham,Burnley,Chelsea,2.4,3,2.7,3.1,0,6.2,2.7,3.2,2.6,3.7,2.2,3.2,3,3,4.7,2.5,4,4.1,3.9,2.8,2.4,3,1.9,3.9,2.3,28.6
,Adrian,GLK,LIV,4300000,0,2,0.153846153846154,3.5778175313059E-08,4.65116279069767E-07,0,50643,0,9,0,7,0,0,0,0.5,482,-2,0,2,2,0,0,0,0,0,0,0,0,0.4,49312,0,-1,0,0,180,364,0,0,28,Crystal Palace,West Brom,Newcastle,Southampton,Man Utd,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Sergio,Aguero,FWD,MCI,10300000,0,4,1.3,1.2621359223301E-07,3.88349514563107E-07,0,426806,0,1,0,0,0,0,0,0.4,2987,-2,0,4,2,0,0,0.2,0,0,1,0,0,1.4,238137,0,-1,0,0,123,2364,0,0,17,Southampton,Newcastle,Everton,Chelsea,Brighton,0.6,0.9,0.6,0.6,0.9,1.2,0.7,1.1,0.6,0.6,0.7,0.7,0.6,0.7,0.7,0.8,0.7,0.7,0.6,0.8,0.8,0.7,0.9,0.8,0.7,6.6
Ola,Aina,DEF,FUL,4500000,2,36,3.3,7.33333333333333E-07,8E-06,0,17225,0,13,0,0,0,1,0,8,873,0,0,36,0,0.5,0,2.3,3,0,2,0,0,0.4,37835,0,-1,0,1,990,1196,0,0,176,Newcastle,Southampton,Tottenham,Burnley,Chelsea,2.5,3.1,2.8,3.2,0,6.6,2.9,3.4,2.7,3.9,2.4,3.4,3.2,3.2,4.8,2.6,4.2,4.3,4,2.9,2.5,3.2,2,4.1,2.4,35.5
Rayan,Ait Nouri,DEF,WOL,5000000,0,20,1.53846153846154,3.07692307692308E-07,4E-06,0,30196,0,5,0,0,0,1,0,4,917,0,0,20,0,0.1,0,0.5,3,0,1,0,0,0.2,39654,0,-1,0,1,333,98,0,0,76,Burnley,Tottenham,Man Utd,Brighton,Everton,1,0.8,1.3,0.8,0.8,1.4,0.8,0.9,1.3,0.8,0.8,0.8,0.8,1.4,1.4,1.4,1.2,0.9,1,0.9,1,0.9,0.8,0.8,1.1,18.1
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,1,22,1.7,3.54166666666667E-07,4.58333333333333E-06,0,22206,2,29,0,0,0,0,0,4.6,257,-2,0,22,2,0.5,0,2.5,1,0,1,0,1,0.2,9678,0,-1,0,0,1170,163,0,0,162,Aston Villa,Liverpool,Leeds United F.C.,Arsenal,Wolverhampton,1.2,1.1,0.9,1.5,0,2.7,2.1,1.5,1,0.9,1.3,1.1,1.1,0.8,1.1,0.8,0.8,1.1,1.1,1.6,1.7,1.5,1.7,1.5,1,27.3
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,737,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,-1,0,0,0,5,0,0,0,Chelsea,Brighton,Southampton,Everton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,MCI,5400000,0,14,1.16666666666667,2.16049382716049E-07,2.59259259259259E-06,0,554037,3,7,0,0,0,1,0,2.6,4201,-1,0,14,1,0,0,0.2,0,0,1,0,0,3.3,252951,0,-1,0,0,379,488,0,0,65,Southampton,Newcastle,Everton,Chelsea,Brighton,0.6,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.7,0.6,1,0.6,0.6,0.9,0.6,0.6,0.6,0.6,0.6,0.6,12.8
Marc,Albrighton,MID,LEI,5300000,2,18,1.38461538461538,2.61248185776488E-07,3.39622641509434E-06,0,13131,1,5,0,0,0,0,0,3.4,112,-2,0,18,2,0.4,0,2,0,0,2,0,1,0.1,4755,0,-1,0,0,530,125,0,0,90,Tottenham,Man Utd,Crystal Palace,Newcastle,Southampton,0.7,0.7,0.7,1,0,1.4,0.9,0.7,0.8,0.7,0.7,0.8,0.7,0.9,1,1.1,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.7,31.2
Toby,Alderweireld,DEF,TOT,5400000,-1,34,3.4,6.2962962962963E-07,6.2962962962963E-06,0,173196,0,10,0,0,0,0,0,6.3,1931,-1,0,34,1,0.3,0,1.6,3,0,4,0,0,1.6,77814,1,-1,0,0,890,1733,0,0,188,Leicester,Wolverhampton,Fulham,Leeds United F.C.,Aston Villa,2.5,4.1,3.7,2.4,4.7,3.4,4.2,3.4,2.8,4,4.4,4.3,3,3.8,4.5,2.9,3,3.4,2.8,3.6,3.2,3.5,4.2,3.2,3.7,32.9
Trent,Alexander-Arnold,DEF,LIV,7200000,9,35,2.9,4.02777777777778E-07,4.86111111111111E-06,0,3154546,1,18,0,0,0,0,0,4.9,4781,-3,0,35,3,0.3,0,2.3,4,0,2,0,2,13.6,476273,0,-1,0,0,959,19854,0,0,208,Crystal Palace,West Brom,Newcastle,Southampton,Man Utd,2.4,3.6,1.9,1.4,0,5.8,2.1,2.9,2.6,4.3,2.4,2.2,2.2,3.4,2.8,2.5,3.2,2.9,2.3,2.1,3.3,2.7,2.6,2.5,3.5,61.6
