FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6064,0,0,0,0,0,0,0,0,7,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Leeds United F.C.,Everton,Crystal Palace,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,1,64,3.8,5.27777777777778E-07,8.88888888888889E-06,0,545672,0,11,0,0,0,6,0,8.9,11212,-3,0,64,3,0.1,0,1,8,0,5,0,2,3.8,500988,0,-1,0,1,905,5848,0,0,222,Wolverhampton,Burnley,Tottenham,Sheffield United,Newcastle,4.1,3.7,3.8,4.4,4.9,3.1,3.8,3.6,4,3.8,4.7,4.4,4.2,3.3,4.4,2.7,3.4,3.6,3.4,84.3
Che,Adams,FWD,SOU,5900000,2,74,4.1,6.94915254237288E-07,1.25423728813559E-05,0,1104819,1,22,0,0,0,4,0,12.5,14116,-1,1,74,1,0.2,0,1.3,9,0,6,0,5,5.4,1174617,0,-1,0,1,1507,5974,-1,0,244,Arsenal,Aston Villa,Man Utd,Newcastle,Wolverhampton,4.1,4.1,4.2,4.6,4.9,4.4,4.2,4.5,5,3.9,4.5,4.9,6,0,4.4,3.9,5.2,4.4,3.3,107
Tosin,Adarabioyo,DEF,FUL,4500000,6,49,3.3,7.33333333333333E-07,1.08888888888889E-05,0,23387,1,16,0,0,0,0,0,10.9,761,0,0,49,0,0.6,0,2.8,5,0,4,0,1,0.4,50684,0,-1,0,1,1350,797,0,0,259,Brighton,West Brom,Leicester,West Ham,Everton,3.2,3.9,3.1,3.8,3,3.4,3.3,3.9,4.8,2.7,3.7,4.4,3.8,0,2.7,3.2,2.4,4,3,43
,Adrian,GLK,LIV,4200000,0,2,0.105263157894737,2.5062656641604E-08,4.76190476190476E-07,0,57668,0,9,0,7,0,0,0,0.5,152,-3,0,2,3,0,0,0,0,0,0,0,0,0.4,52450,0,-1,0,0,180,92,0,0,28,Tottenham,West Ham,Brighton,Man City,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Sergio,Aguero,FWD,MCI,10300000,0,6,1.2,1.16504854368932E-07,5.8252427184466E-07,0,494937,0,2,0,0,0,0,0,0.6,699,-2,0,6,2,0,0,0.2,0,0,1,0,0,1.1,287212,0,-1,0,0,140,117,0,0,20,West Brom,Sheffield United,Burnley,Liverpool,Tottenham,0,0,0,0,0,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0,0.6,0.6,0.7,0.6,0.6,10.4
Ola,Aina,DEF,FUL,4500000,6,52,3.2,7.11111111111111E-07,1.15555555555556E-05,0,40299,1,17,0,0,0,1,0,11.6,730,0,0,52,0,0.6,0,2.5,3,0,4,0,0,0.5,68075,0,-1,0,1,1424,1522,0,0,251,Brighton,West Brom,Leicester,West Ham,Everton,3.1,3.7,3,3.7,2.9,3.2,3.1,3.7,4.6,2.5,3.6,4.2,3.7,0,2.6,3.1,2.2,3.8,2.8,45.2
Rayan,Ait Nouri,DEF,WOL,5000000,1,32,1.68421052631579,3.36842105263158E-07,6.4E-06,0,41186,0,11,0,0,0,1,0,6.4,463,0,0,32,0,0.4,0,2.2,5,0,1,0,1,0.2,48698,0,-1,0,1,689,125,0,0,136,Chelsea,Crystal Palace,Arsenal,Leicester,Southampton,0,1.1,1.3,1.1,0.8,0.9,0.8,1.3,1.7,1.7,1.5,1.3,1.3,1.2,1.3,1.1,1,0.9,1.4,33.8
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,0,38,2,4.16666666666667E-07,7.91666666666667E-06,0,31865,3,48,0,0,0,2,0,7.9,584,-2,0,38,2,0.4,0,1.8,2,0,1,0,1,0.3,24274,0,-1,0,0,1710,1094,0,0,233,Man City,Fulham,Sheffield United,Tottenham,Man Utd,2.7,1.8,1.4,1.5,1.6,1.5,1.3,1.2,1.6,1,1.3,1.3,1.7,1.9,2.1,1.9,2,1.7,1.4,50.7
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,807,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Crystal Palace,Liverpool,Aston Villa,Fulham,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,MCI,5400000,0,21,1.16666666666667,2.16049382716049E-07,3.88888888888889E-06,0,602876,3,7,0,0,0,1,0,3.9,1790,-1,0,21,1,0,0,0,1,0,2,0,0,2.8,261709,0,-1,0,0,469,15,0,0,97,West Brom,Sheffield United,Burnley,Liverpool,Tottenham,0,0,0,0,0,0.7,0.9,0.8,0.6,1,0.6,0.6,0.6,0,0.6,0.6,0.6,0.6,0.6,16.6
Marc,Albrighton,MID,LEI,5300000,2,35,1.84210526315789,3.47567030784508E-07,6.60377358490566E-06,0,15997,2,9,0,0,0,0,0,6.6,180,-2,0,35,2,0.7,0,3.8,0,0,4,0,3,0.1,8717,0,-1,0,0,933,140,0,0,149,Everton,Leeds United F.C.,Fulham,Wolverhampton,Liverpool,1.4,0.9,1.3,1.1,0.9,1,0.9,1.4,1.7,1.5,0.9,1.1,1.2,1,1,1.2,1.1,1.2,0.9,54
