FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Billy,Sharp,FWD,SHU,5600000,0,12,0.857142857142857,1.53061224489796E-07,2.14285714285714E-06,0,23703,0,4,0,0,0,1,0,2.1,61,-4,0,12,4,0,0,0.2,2,0,0,0,0,0.1,8828,0,-1,0,0,188,25,0,0,24,Everton,Burnley,Crystal Palace,Newcastle,Tottenham,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,10.5
Luke,Shaw,DEF,MUN,4800000,3,27,2.7,5.625E-07,5.625E-06,0,145909,2,17,0,0,0,0,0,5.6,730,-2,0,27,2,0.5,0,2.2,7,0,2,0,1,0.8,100337,1,-1,0,1,845,3275,0,0,178,Leicester,Wolverhampton,Aston Villa,Liverpool,Fulham,2.9,2.9,1.9,0,5.7,1.9,3.4,1.7,1.5,3,1.4,2,3.7,2.5,2.9,1.8,2.7,1.9,2.6,2.7,3.6,1.5,2.4,3.1,41.2
Jonjo,Shelvey,MID,NEW,5300000,0,16,2,3.77358490566038E-07,3.0188679245283E-06,0,24385,2,10,0,0,0,0,0,3,119,-2,0,16,2,0.3,0,1.4,0,0,2,0,0,0.1,8253,0,-1,0,0,701,16,0,0,96,Man City,Liverpool,Leicester,Sheffield United,Arsenal,0,1,1,2.2,1.5,1,1.4,1,1.2,1.3,1.2,1.3,1.6,1,1.5,1,1.8,1.1,1,1,1.6,1,1.9,1.4,38.4
Gylfi,Sigurdsson,MID,EVE,6800000,11,48,3.42857142857143,5.04201680672269E-07,7.05882352941176E-06,0,77466,0,9,0,0,0,2,0,7.1,1830,-2,0,48,2,0.8,0,5.5,8,0,3,0,2,1.4,64135,0,-1,0,2,757,7878,0,0,166,Sheffield United,Man City,West Ham,Wolverhampton,Aston Villa,4.5,2.5,2.8,3,3.1,2.2,2.9,3.4,2.8,3.3,2,3.1,2.9,3.5,3.5,2.6,3.3,2.3,3.4,1.8,2.9,4.3,3.3,2.3,63
Adrien,Silva,MID,LEI,4400000,0,0,0,0,0,0,43055,0,0,0,0,0,0,0,0,109,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,8515,0,-1,0,0,0,6,0,0,0,Man Utd,Crystal Palace,Newcastle,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellis,Simms,FWD,EVE,4500000,0,0,0,0,0,0,4950,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0.1,7575,0,-1,0,0,0,246,0,0,0,Sheffield United,Man City,West Ham,Wolverhampton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh,Sims,MID,SOU,4300000,0,0,0,0,0,0,16954,0,0,0,0,0,0,0,0,93,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,9834,0,-1,0,0,0,65,0,0,0,Fulham,West Ham,Liverpool,Leicester,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moussa,Sissoko,MID,TOT,4800000,0,28,2.3,4.79166666666667E-07,5.83333333333333E-06,0,48628,2,11,0,0,0,0,0,5.8,533,-2,0,28,2,0.5,0,2.2,2,0,5,0,0,0.5,36357,0,-1,0,0,1022,648,0,0,132,Wolverhampton,Fulham,Leeds United F.C.,Aston Villa,Sheffield United,1.7,1.6,1.2,1.8,2.7,1.2,1.9,1.4,1.8,1.2,1.7,1.7,1.2,1.9,1.5,2.1,1.2,1.8,1.8,2.3,2,1.6,1.2,2,16
Oliver,Skipp,MID,TOT,4400000,0,0,0,0,0,0,2972,0,0,0,0,0,0,0,0,11,-1,0,0,1,0,0,0,0,0,0,0,0,0,1754,0,-1,0,0,0,3,0,0,0,Wolverhampton,Fulham,Leeds United F.C.,Aston Villa,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Islam,Slimani,FWD,LEI,4900000,0,1,0.0714285714285714,1.45772594752187E-08,2.04081632653061E-07,0,7415,0,1,0,0,0,0,0,0.2,154,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,9322,0,-1,0,0,19,127,0,0,3,Man Utd,Crystal Palace,Newcastle,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
