FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6202,0,0,0,0,0,0,0,0,2,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Brighton,Tottenham,Burnley,West Ham,Liverpool,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7100000,0,67,3.4,4.7887323943662E-07,9.43661971830986E-06,0,770779,0,12,0,0,0,6,0,9.4,471,-4,0,67,4,0,0,0.2,8,0,5,0,2,2.1,581958,0,-1,0,1,1014,48,0,0,223,West Brom,Crystal Palace,Brighton,West Ham,Fulham,0,3.8,3.5,3.4,2.6,3.3,2.6,3.2,3.2,2.9,85.1
Che,Adams,FWD,SOU,5800000,0,108,3.9,6.72413793103448E-07,1.86206896551724E-05,0,1520186,1,45,0,0,0,7,0,18.6,2215,-2,0,108,2,0.7,0,4.2,11,0,7,0,6,5.2,1568796,0,-1,0,2,2161,8512,0,0,345,Burnley,West Brom,Crystal Palace,Leicester,Liverpool,0,4.4,4,5.4,0,4.1,4.4,4.2,4.1,3.1,159.8
Tosin,Adarabioyo,DEF,FUL,4500000,1,91,3.5,7.77777777777778E-07,2.02222222222222E-05,0,50645,1,27,0,0,0,0,0,20.2,886,0,0,91,0,0.9,0,4.2,11,0,9,0,1,0.8,110394,1,-1,0,1,2340,407,0,0,473,Leeds United F.C.,Aston Villa,Wolverhampton,Arsenal,Chelsea,3.1,4.5,4.6,4.5,0,3.5,3.2,3.3,4.5,3.2,78.1
,Adrian,GLK,LIV,4200000,0,11,0.379310344827586,9.0311986863711E-08,2.61904761904762E-06,0,63871,0,9,0,10,0,0,0,2.6,81,-3,0,11,3,0.4,0,1.8,2,0,1,0,0,0.4,58708,0,-1,0,0,270,68,0,0,60,Arsenal,Aston Villa,Leeds United F.C.,Newcastle,Man Utd,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.9
Sergio,Aguero,FWD,MCI,10300000,0,15,1.9,1.84466019417476E-07,1.45631067961165E-06,0,515338,0,3,0,0,0,1,0,1.5,274,-2,0,15,2,0.1,0,1.5,0,0,2,0,0,1.2,312851,0,-1,0,0,308,530,0,0,52,Leicester,Leeds United F.C.,Aston Villa,Crystal Palace,Chelsea,0,1.4,1.2,1.1,0,1.5,1.1,1.5,1.4,1.2,23.4
Ola,Aina,DEF,FUL,4600000,1,92,3.5,7.60869565217391E-07,2E-05,0,115039,2,28,0,0,0,2,0,20,3973,1,0,92,-1,0.7,0,3.2,8,0,7,0,1,2.9,338088,0,-1,0,2,2250,466,0,0,421,Leeds United F.C.,Aston Villa,Wolverhampton,Arsenal,Chelsea,3.1,4.5,4.6,4.5,0,3.5,3.2,3.3,4.5,3.2,80.8
Rayan,Ait Nouri,DEF,WOL,5000000,0,34,1.17241379310345,2.3448275862069E-07,6.8E-06,0,48003,0,11,0,0,0,1,0,6.8,22,0,0,34,0,0.1,0,0.4,5,0,1,0,1,0.1,49845,0,-1,0,1,698,11,0,0,142,West Ham,Fulham,Sheffield United,Burnley,West Brom,0,0.9,0.8,0.8,0.6,0.7,0.6,0.6,0.6,0.8,33.8
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,0,41,1.7,3.54166666666667E-07,8.54166666666667E-06,0,49668,3,55,0,0,0,2,0,8.5,44,-2,0,41,2,-0.1,0,-0.4,2,0,1,0,1,0.2,35756,0,-1,0,0,2099,15,0,1,272,Chelsea,Southampton,Leicester,Aston Villa,Wolverhampton,0,1,1.2,1.2,1.4,1.8,1.5,1.5,1.6,1,62.3
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,839,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Arsenal,Wolverhampton,Leicester,Newcastle,Chelsea,0,0,0,0,0,0,0,0,0,0,0
