FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6236,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Man City,Sheffield United,Fulham,,,0,0,0,0
Tammy,Abraham,FWD,CHE,7100000,0,69,3.1,4.36619718309859E-07,9.71830985915493E-06,0,782871,0,12,0,0,0,6,0,9.7,165,-4,0,69,4,0.1,0,0.4,8,0,5,0,2,2,589001,0,-1,0,1,1031,78,0,0,224,Leicester,Aston Villa,,,,0,2.7,2.9,86.6
Che,Adams,FWD,SOU,5700000,9,136,3.9,6.84210526315789E-07,2.3859649122807E-05,0,1728236,1,51,0,0,0,9,0,23.9,1988,-3,0,136,3,0.9,0,5.2,16,0,7,0,7,4.9,1757506,0,-1,0,3,2617,5636,0,0,445,Fulham,Leeds United F.C.,West Ham,,,4.5,4.2,3.3,198.6
Tosin,Adarabioyo,DEF,FUL,4500000,1,97,3.1,6.88888888888889E-07,2.15555555555556E-05,0,84810,1,38,0,0,0,0,0,21.6,394,0,0,97,0,0.3,0,1.2,11,0,9,0,1,0.6,122884,1,-1,0,1,2773,148,0,0,538,Southampton,Man Utd,Newcastle,,,2.5,3.9,2.6,91.2
,Adrian,GLK,LIV,4200000,0,11,0.314285714285714,7.48299319727891E-08,2.61904761904762E-06,0,66556,0,9,0,10,0,0,0,2.6,50,-3,0,11,3,0,0,0,2,0,1,0,0,0.3,60142,0,-1,0,0,270,27,0,0,60,West Brom,Burnley,Crystal Palace,,,0.2,0.2,0.2,5.9
Sergio,Aguero,FWD,MCI,10300000,0,28,2.5,2.42718446601942E-07,2.71844660194175E-06,0,553815,0,4,0,0,0,2,0,2.7,3335,-2,0,28,2,0.3,1,2.8,2,0,4,0,1,1.5,371864,0,-1,0,0,529,287,0,0,102,Newcastle,Brighton,Everton,,,0,2.1,1.7,47.3
Ola,Aina,DEF,FUL,4400000,1,102,3.3,7.5E-07,2.31818181818182E-05,0,241220,3,36,0,0,0,2,0,23.2,1847,-1,0,102,1,0.2,0,0.8,8,0,8,0,1,2.1,396224,0,-1,0,2,2664,676,0,0,477,Southampton,Man Utd,Newcastle,,,2.8,4.2,2.9,87.7
Rayan,Ait Nouri,DEF,WOL,5000000,0,52,1.48571428571429,2.97142857142857E-07,1.04E-05,0,57596,0,20,0,0,0,1,0,10.4,120,0,0,52,0,0.4,0,2,6,0,3,0,1,0.2,64477,0,-1,0,1,1228,60,0,0,249,Tottenham,Everton,Man Utd,,,0.8,0.9,1.2,62.8
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,1,49,1.6,3.33333333333333E-07,1.02083333333333E-05,0,51996,3,64,0,0,0,2,0,10.2,34,-2,0,49,2,0.3,0,1.2,2,0,1,0,1,0.2,37830,0,-1,0,0,2554,36,0,1,315,Liverpool,West Ham,Leeds United F.C.,,,1.4,1.4,0.9,74.3
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Brighton,West Brom,Southampton,,,0,0,0,0
Nathan,Ake,DEF,MCI,5400000,1,29,0.828571428571429,1.53439153439153E-07,5.37037037037037E-06,0,628843,4,13,0,0,0,1,0,5.4,195,-1,0,29,1,0.4,0,2,1,0,3,0,0,2.4,267782,0,-1,0,0,797,606,0,0,150,Newcastle,Brighton,Everton,,,0.4,0.4,0.4,24.7
Marc,Albrighton,MID,LEI,5200000,0,74,2.05555555555556,3.95299145299145E-07,1.42307692307692E-05,0,23626,2,18,0,0,0,1,0,14.2,59,-3,0,74,3,0.7,0,3.6,3,0,4,0,7,0.1,16753,0,-1,0,1,1590,157,0,0,314,Chelsea,Tottenham,,,,0,1.4,1,119.8
Toby,Alderweireld,DEF,TOT,5400000,6,86,3.7,6.85185185185185E-07,1.59259259259259E-05,0,312144,2,21,0,0,0,1,0,15.9,279,-1,0,86,1,0.6,0,3.2,4,0,10,0,0,1.8,224841,1,-1,0,1,2060,268,0,0,440,Wolverhampton,Aston Villa,Leicester,,,4.9,4.2,3.8,73.9
Trent,Alexander-Arnold,DEF,LIV,7700000,1,144,4.2,5.45454545454545E-07,1.87012987012987E-05,0,3818272,1,40,0,0,0,2,0,18.7,1353,2,-1,144,-2,0.7,0,5.4,25,0,8,0,7,24.2,2009885,0,-1,0,4,2804,22073,1,0,694,West Brom,Burnley,Crystal Palace,,,5.2,4.5,4.7,226.5
