FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6210,0,0,0,0,0,0,0,0,1,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Tottenham,Burnley,West Ham,Liverpool,Arsenal,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7100000,0,67,3.4,4.7887323943662E-07,9.43661971830986E-06,0,773647,0,12,0,0,0,6,0,9.4,484,-4,0,67,4,0,0,0,8,0,5,0,2,2,583100,0,-1,0,1,1014,253,0,0,223,West Brom,Crystal Palace,Brighton,West Ham,Fulham,3.7,3.5,3.5,2.7,3.3,2.5,3.3,3.2,3,85.1
Che,Adams,FWD,SOU,5800000,1,109,3.8,6.55172413793103E-07,1.87931034482759E-05,0,1551873,1,45,0,0,0,7,0,18.8,11096,-2,0,109,2,0.9,0,5,11,0,7,0,6,5.4,1620545,0,-1,0,2,2165,7288,0,0,345,Burnley,West Brom,Tottenham,Leicester,Liverpool,4.2,3.8,3.5,0,3.9,4.1,4.1,4,3,160
Tosin,Adarabioyo,DEF,FUL,4500000,1,92,3.4,7.55555555555556E-07,2.04444444444444E-05,0,59168,1,30,0,0,0,0,0,20.4,952,0,0,92,0,0.7,0,3,11,0,9,0,1,0.8,114829,1,-1,0,1,2430,1320,0,0,483,Aston Villa,Wolverhampton,Arsenal,Chelsea,Burnley,4.3,4.5,4.3,0,3.3,2.9,3,4.3,3.1,80.4
,Adrian,GLK,LIV,4200000,0,11,0.379310344827586,9.0311986863711E-08,2.61904761904762E-06,0,64419,0,9,0,10,0,0,0,2.6,144,-3,0,11,3,0,0,0,2,0,1,0,0,0.4,59112,0,-1,0,0,270,67,0,0,60,Arsenal,Aston Villa,Leeds United F.C.,Newcastle,Man Utd,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.9
Sergio,Aguero,FWD,MCI,10300000,2,17,1.9,1.84466019417476E-07,1.6504854368932E-06,0,518451,0,3,0,0,0,1,0,1.7,929,-2,0,17,2,0.2,0,2.2,0,0,3,0,0,1.2,317304,0,-1,0,0,370,1146,0,0,57,Leicester,Leeds United F.C.,Aston Villa,Crystal Palace,Chelsea,1.4,1.2,1.2,0,1.4,1.1,1.5,1.4,1.2,26.1
Ola,Aina,DEF,FUL,4500000,1,93,3.4,7.55555555555556E-07,2.06666666666667E-05,0,147470,2,31,0,0,0,2,0,20.7,3919,0,1,93,0,0.5,0,2.2,8,0,7,0,1,2.6,343735,0,-1,0,2,2340,2000,-1,0,430,Aston Villa,Wolverhampton,Arsenal,Chelsea,Burnley,4.3,4.5,4.3,0,3.3,2.9,3,4.3,3.1,82.2
Rayan,Ait Nouri,DEF,WOL,5000000,0,34,1.17241379310345,2.3448275862069E-07,6.8E-06,0,48135,0,11,0,0,0,1,0,6.8,29,0,0,34,0,0,0,0,5,0,1,0,1,0.1,49937,0,-1,0,1,698,50,0,0,142,West Ham,Fulham,Sheffield United,Burnley,West Brom,0.9,0.7,0.8,0.6,0.6,0.6,0.6,0.6,0.8,33.8
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,1,42,1.7,3.54166666666667E-07,8.75E-06,0,50140,3,57,0,0,0,2,0,8.8,87,-2,0,42,2,0.1,0,0.3,2,0,1,0,1,0.2,36078,0,-1,0,0,2189,126,0,1,282,Chelsea,Southampton,Leicester,Aston Villa,Wolverhampton,1,1.1,1.2,1.4,1.8,1.5,1.5,1.6,1.1,65
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Wolverhampton,Leicester,Newcastle,Chelsea,Burnley,0,0,0,0,0,0,0,0,0,0
