FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Trent,Alexander-Arnold,DEF,LIV,7500000,0,1,1,1.33333333333333E-07,1.33333333333333E-07,0,384771,0,3,0,0,0,0,0,0.1,13273,0,0,1,0,0.1,0,0.5,0,0,0,0,0,47.9,41403,0,-1,0,0,88,1888,0,0,10,Chelsea,Arsenal,Aston Villa,Everton,Sheffield United,0.5,0.5,1.2,0.5,0.8,0.9,1.2,0.5,0.7,0.5,0.5,1.1,0.9,0.8,0.5,0.5,1.4,1.4,0.9,0.7,0.9,1.4,0.5,0.5,0.6,0.5,0.5,0.7,0.5,1.4,0.5,0.5,1.2,0.7,0.6,1.2,1.1,3.8
Ezgjan,Alioski,DEF,LEE,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,9964,0,0,0,0,0,0,0,0.2,562,0,0,1,0,0.1,0,0.5,0,0,0,0,0,0.6,2340,0,-1,0,0,20,147,0,0,3,Fulham,Sheffield United,Man City,Wolverhampton,Aston Villa,0.5,0.6,1.4,0.5,1.2,0.5,0.9,0.5,0.5,0.5,0.9,0.5,1.2,1.4,0.6,0.9,0.7,0.9,0.5,0.5,0.5,1.1,0.5,0.5,1.4,0.7,0.7,0.5,0.8,1.2,1.4,1.4,0.7,1.1,1.2,0.5,0.8,0
,Alisson,GLK,LIV,6000000,0,1,1,1.66666666666667E-07,1.66666666666667E-07,0,106499,0,3,0,0,0,0,0,0.2,3536,0,0,1,0,0.1,0,0.5,0,0,0,0,0,11.4,11371,0,-1,0,0,90,759,0,0,9,Chelsea,Arsenal,Aston Villa,Everton,Sheffield United,0.5,0.5,1.2,0.5,0.8,0.9,1.2,0.5,0.7,0.5,0.5,1.1,0.9,0.8,0.5,0.5,1.4,1.4,0.9,0.7,0.9,1.4,0.5,0.5,0.6,0.5,0.5,0.7,0.5,1.4,0.5,0.5,1.2,0.7,0.6,1.2,1.1,0.4
,Allan,MID,EVE,5500000,2,5,2.5,4.54545454545455E-07,9.09090909090909E-07,0,19957,0,2,0,0,0,0,0,0.9,2916,0,0,5,0,0.5,0,2.5,0,0,1,0,0,2,37892,0,-1,0,0,180,1703,0,0,29,West Brom,Crystal Palace,Brighton,Liverpool,Southampton,1.3,1.2,2.1,1.4,2.4,1.2,3.5,1.2,1.2,3.1,1.8,1.3,1.5,2.7,3.5,2.6,1.3,3.1,1.7,1.6,1.2,3.1,1.6,1.2,2.9,1.4,3.5,1.2,1.5,1.6,2.8,1.2,3.5,2.1,3.2,1.7,3.1,2.1
Bamidele,Alli,MID,TOT,7900000,0,1,1,1.26582278481013E-07,1.26582278481013E-07,0,107119,0,0,0,0,0,0,0,0.1,3431,-1,0,1,1,0.1,0,0.5,0,0,0,0,0,2.4,7666,0,-1,0,0,45,205,0,0,3,Southampton,Newcastle,Man Utd,West Ham,Burnley,0.5,0.5,1.2,0.6,1.2,0.5,0.5,1.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.2,0.6,0.5,0.5,0.5,0.5,1.2,0.5,1.4,0.5,0.5,0.7,0.5,1.4,0.5,0.5,0.8,0.5,0.5,1.4,0.5,4.1
Miguel,Almiron,MID,NEW,6000000,0,4,4,6.66666666666667E-07,6.66666666666667E-07,0,11784,0,0,0,0,0,0,0,0.7,649,0,0,4,0,0.3,0,2,0,0,0,0,1,1,8566,0,-1,0,0,5,243,0,0,13,Brighton,Tottenham,Burnley,Man Utd,Wolverhampton,4.3,4.5,5.7,5.7,2.9,3.1,4.7,3.8,2.5,5,2.9,2,3.5,5,3,3.7,5,2.5,2.1,2.4,3.3,5.5,3,5,3.7,2.2,5.7,3.5,5.3,5,5.1,2.3,3.2,2.9,5.7,5.7,2.7,4.9
Marcos,Alonso,DEF,CHE,6000000,0,2,2,3.33333333333333E-07,3.33333333333333E-07,0,27532,0,1,0,0,0,0,0,0.3,741,0,0,2,0,0.2,0,1,0,0,0,0,0,3.3,6931,0,-1,0,0,90,563,0,0,14,Liverpool,West Brom,Crystal Palace,Southampton,Man Utd,2.8,1.8,2.8,2,2.5,2.5,2.2,1,2.8,1,1,1.2,2.5,1.2,2.8,2.8,1,1,1.5,2.8,2.5,1.8,1.2,1.6,2.8,1,1,2.5,2.2,2.5,2.5,2.1,1,2.5,1.5,1.1,2.5,2.4
Steven,Alzate,MID,BHA,4500000,0,2,2,4.44444444444444E-07,4.44444444444444E-07,0,6582,0,3,0,0,0,0,0,0.4,267,0,0,2,0,0.2,0,1,0,0,0,0,0,0.5,14546,0,-1,0,0,78,704,0,0,14,Newcastle,Man Utd,Everton,Crystal Palace,West Brom,1,2.8,1,1,1,1.6,2.8,2.5,1,2.1,1,1,2.3,1.5,1,1.2,2.5,1,1.1,2,1,2.5,2.8,1,1,1.2,1.7,1.1,2.5,1,1,1.9,1,1,1.9,2.8,1,5.4
Daniel,Amartey,DEF,LEI,4000000,0,0,0,0,0,0,13089,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,1.5,8957,0,-1,0,0,0,504,0,0,0,Burnley,Man City,West Ham,Aston Villa,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan,Ampadu,DEF,SHU,4500000,0,0,0,0,0,0,9692,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0.8,3909,0,-1,0,0,0,218,0,0,0,Aston Villa,Leeds United F.C.,Arsenal,Fulham,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
