FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6229,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Arsenal,Leicester,Man City,Sheffield United,Fulham,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7100000,1,69,3.1,4.36619718309859E-07,9.71830985915493E-06,0,780070,0,12,0,0,0,6,0,9.7,365,-4,0,69,4,0.1,0,0.5,8,0,5,0,2,2,588103,0,-1,0,1,1031,142,0,0,224,Fulham,Man City,Arsenal,Leicester,Aston Villa,2.8,5,0,2.6,2.8,86.6
Che,Adams,FWD,SOU,5700000,2,114,3.6,6.31578947368421E-07,2E-05,0,1704191,1,48,0,0,0,7,0,20,3192,-3,0,114,3,0.3,0,1.5,11,0,7,0,6,4.2,1671308,0,-1,0,2,2359,5007,0,0,361,Leicester,Liverpool,Crystal Palace,Fulham,Leeds United F.C.,3.6,8.7,3.8,3.7,2.9,168.5
Tosin,Adarabioyo,DEF,FUL,4500000,1,95,3.3,7.33333333333333E-07,2.11111111111111E-05,0,79222,1,33,0,0,0,0,0,21.1,561,0,0,95,0,0.2,0,1,11,0,9,0,1,0.6,120529,1,-1,0,1,2610,241,0,0,508,Chelsea,Burnley,Southampton,Man Utd,Newcastle,3.4,2.6,2.9,4.1,3,86
,Adrian,GLK,LIV,4200000,0,11,0.333333333333333,7.93650793650794E-08,2.61904761904762E-06,0,65896,0,9,0,10,0,0,0,2.6,74,-3,0,11,3,0,0,0,2,0,1,0,0,0.3,59805,0,-1,0,0,270,36,0,0,60,Southampton,West Brom,Burnley,Crystal Palace,,0,0.2,0.2,0.2,0.2,5.9
Sergio,Aguero,FWD,MCI,10300000,8,25,2.5,2.42718446601942E-07,2.42718446601942E-06,0,546366,0,3,0,0,0,2,0,2.4,316,-2,0,25,2,0.3,0,2.7,2,0,4,0,0,1.2,341376,0,-1,0,0,460,1985,0,0,93,Crystal Palace,Chelsea,Newcastle,Brighton,Everton,2.4,1.6,2.5,2.1,1.8,38.9
Ola,Aina,DEF,FUL,4400000,0,101,3.4,7.72727272727273E-07,2.29545454545455E-05,0,215386,3,34,0,0,0,2,0,23,2403,-1,0,101,1,0.5,0,2.2,8,0,8,0,1,2.2,379751,0,-1,0,2,2603,2339,0,0,471,Chelsea,Burnley,Southampton,Man Utd,Newcastle,3.6,2.8,3.1,4.3,3.1,86.1
Rayan,Ait Nouri,DEF,WOL,5000000,1,49,1.48484848484848,2.96969696969697E-07,9.8E-06,0,52310,0,18,0,0,0,1,0,9.8,294,0,0,49,0,0.6,0,3,6,0,3,0,1,0.2,64031,0,-1,0,1,1102,63,0,0,228,West Brom,Brighton,Tottenham,Everton,Man Utd,1,1,0.8,0.9,1.2,45.2
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,1,46,1.6,3.33333333333333E-07,9.58333333333333E-06,0,51380,3,60,0,0,0,2,0,9.6,73,-2,0,46,2,0.2,0,1,2,0,1,0,1,0.2,37464,0,-1,0,0,2374,61,0,1,294,Wolverhampton,Arsenal,Liverpool,West Ham,Leeds United F.C.,1.5,1.4,1.4,1.5,1,67.7
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Burnley,Everton,Brighton,West Brom,Southampton,0,0,0,0,0,0
Nathan,Ake,DEF,MCI,5400000,6,27,0.818181818181818,1.51515151515152E-07,5E-06,0,627629,4,8,0,0,0,1,0,5,133,-1,0,27,1,0.4,0,2,1,0,3,0,0,2.4,263467,0,-1,0,0,617,203,0,0,128,Crystal Palace,Chelsea,Newcastle,Brighton,Everton,0.4,0.4,0.4,0.4,0.4,20.4
Marc,Albrighton,MID,LEI,5200000,1,59,1.78787878787879,3.43822843822844E-07,1.13461538461538E-05,0,22564,2,13,0,0,0,0,0,11.3,117,-3,0,59,3,0.3,0,1.8,0,0,4,0,6,0.1,15374,0,-1,0,0,1410,56,0,0,255,Southampton,Newcastle,Man Utd,Chelsea,Tottenham,1,2,0,1,0.9,96.6
