FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
John,McGinn,MID,AVL,5500000,2,56,3.7,6.72727272727273E-07,1.01818181818182E-05,0,253713,4,16,0,0,0,1,0,10.2,4350,0,0,56,0,0.5,0,3,2,0,8,0,5,1.5,306120,0,-1,0,0,1350,3072,0,0,219,Man Utd,Tottenham,Everton,Man City,Burnley,3.3,2.2,5.5,4.5,3.6,2.7,2.6,4.2,2.2,4.1,3.2,4.3,5.3,3.4,2.7,2.4,3.6,4.1,2,3.1,3.6,3,67
David,McGoldrick,FWD,SHU,5200000,2,48,3.2,6.15384615384615E-07,9.23076923076923E-06,0,137394,1,15,0,0,0,4,0,9.2,6255,-3,0,48,3,0.7,0,3.4,5,0,4,0,1,1.5,162995,0,-1,0,1,921,14025,0,0,161,Crystal Palace,Newcastle,Tottenham,Man Utd,Man City,3.6,3.3,2.5,3.5,2.4,3.6,2.8,2.6,3.3,3.3,2.9,3.6,2.1,3.2,2.6,2.7,3.3,3,3.9,3.1,3.6,2.9,59.8
Dwight,McNeil,MID,BUR,5700000,0,34,2.6,4.56140350877193E-07,5.96491228070175E-06,0,58540,1,18,0,0,0,0,0,6,449,-3,0,34,3,0.3,0,1.8,0,0,6,0,1,0.3,18588,0,-1,0,0,1166,21,0,0,151,Man Utd,West Ham,Liverpool,Aston Villa,Chelsea,0,1.4,3,1.3,1.7,1.7,2,1.4,2.5,1.7,1.8,2,1.5,1.7,2.2,1.5,1.7,1.9,2,1.8,1.6,3,47.4
Scott,McTominay,MID,MUN,4900000,2,42,3,6.12244897959184E-07,8.57142857142857E-06,0,52144,0,14,0,0,0,2,0,8.6,5494,-1,0,42,1,0.8,0,4.1,3,0,2,0,1,1,94380,0,-1,0,1,919,10954,0,0,183,Aston Villa,Burnley,Liverpool,Fulham,Sheffield United,1.5,3.2,4.6,3.5,2.8,2.4,2.1,3.2,2.4,2.5,1.8,2.1,2.1,2.2,2.5,3,2.9,1.8,2.5,1.7,2.7,2.4,48.1
Ben,Mee,DEF,BUR,4900000,0,48,5.3,1.08163265306122E-06,9.79591836734694E-06,0,40549,0,8,0,0,0,1,0,9.8,7044,-1,0,48,1,1.2,0,5.7,6,0,5,0,0,1.6,126006,0,-1,0,1,810,14212,0,0,185,Man Utd,West Ham,Liverpool,Aston Villa,Chelsea,0,6.9,13.5,6.7,5.1,7.6,6,6.6,7.2,6.1,6.9,5.5,5.7,5.1,5.4,7.3,6.5,7.2,6.7,5.4,7.5,6.2,32.7
Benjamin,Mendy,DEF,MCI,5900000,0,24,1.71428571428571,2.90556900726392E-07,4.06779661016949E-06,0,197555,2,8,0,0,0,1,0,4.1,3550,-1,0,24,1,0.2,0,1.3,2,0,2,0,0,1.6,159660,0,-1,0,1,504,2010,0,0,96,Chelsea,Brighton,Crystal Palace,Aston Villa,West Brom,0.9,1.1,2.9,1.3,1.2,1,1.3,1,1.4,1.6,1.4,1.2,1.9,1.2,0.9,1.5,1.1,1.2,1.1,0.9,1,0.9,14.6
Edouard,Mendy,GLK,CHE,5100000,2,51,3.9,7.64705882352941E-07,1E-05,0,425411,0,12,0,23,0,0,0,10,27867,1,1,51,-1,0.5,0,2.6,0,0,6,0,0,7.1,856677,0,-1,0,0,1170,5125,-1,0,238,Man City,Fulham,Leicester,Wolverhampton,Burnley,5.6,0,8.7,5.6,4.5,3.9,3.9,3.4,3.1,4.7,3.4,3.7,4.6,5,4.3,3.8,4.8,5,4.8,4.6,3.7,5,18.8
Nampalys,Mendy,MID,LEI,4500000,0,30,2.1,4.66666666666667E-07,6.66666666666667E-06,0,296001,4,17,0,0,0,0,0,6.7,6883,0,0,30,0,0.2,0,0.9,0,0,4,0,1,2.3,381218,0,-1,0,0,1104,1053,0,0,174,Newcastle,Southampton,Chelsea,Everton,Leeds United F.C.,1.8,0,2.3,1.7,1,1.7,1.4,1,1.5,1,1.8,1.9,2,1,1.5,1.4,1,1.5,1.2,1.3,1.5,1,20.1
Teden,Mengi,DEF,MUN,3900000,0,0,0,0,0,0,57989,0,0,0,0,0,0,0,0,2009,-1,0,0,1,0,0,0,0,0,0,0,0,1,68170,0,-1,0,0,0,678,0,0,0,Aston Villa,Burnley,Liverpool,Fulham,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illan,Meslier,GLK,LEE,4600000,2,70,4.1,8.91304347826087E-07,1.52173913043478E-05,0,240855,0,33,0,67,0,0,0,15.2,12137,1,0,70,-1,0.8,0,3.9,9,0,6,0,0,6.1,593334,0,-1,0,2,1530,18717,0,0,379,Tottenham,Brighton,Southampton,Newcastle,Leicester,4.7,0,7.3,4.1,5.2,3.2,4.9,5.6,5.4,4.2,5.6,3.6,5.1,4,5.5,5.3,4.5,4.7,3.4,4.7,3.9,4.9,52
