FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,5786,0,0,0,0,0,0,0,0,13,-2,0,0,2,0,0,0,0,0,0,0,0,0,1519,0,-1,0,0,0,1,0,0,0,Leeds United F.C.,Fulham,Man City,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,1,41,3.4,4.72222222222222E-07,5.69444444444444E-06,0,338668,0,6,0,0,0,3,0,5.7,5986,-3,0,41,3,0.4,0,2.8,5,0,4,0,2,2.5,192262,0,-1,0,0,597,592,0,0,134,Wolverhampton,West Ham,Arsenal,Aston Villa,Man City,2.9,2.6,3.7,2.4,3.2,0,7.4,3.1,3.1,3.3,4.4,3.4,2.7,3.1,3.3,3.9,3.2,3.9,3.9,3.5,2.9,3.9,2.6,2.9,2.9,3.7,57.6
Che,Adams,FWD,SOU,6000000,5,65,5,8.33333333333333E-07,1.08333333333333E-05,0,505692,1,17,0,0,0,4,0,10.8,7453,0,0,65,0,0.8,0,4.8,9,0,5,0,5,7.3,729232,0,-1,0,1,1118,14811,0,0,228,Arsenal,Man City,Fulham,West Ham,Liverpool,5.6,6.3,5.6,5.4,7.2,0,11.5,5.9,5,6.4,6.4,6.1,5.5,5.1,6,6.7,5,6.1,5.3,7.4,4.1,5.9,4.9,7.2,5.7,4.5,88.1
Tosin,Adarabioyo,DEF,FUL,4500000,9,25,2.8,6.22222222222222E-07,5.55555555555556E-06,0,1404,1,11,0,0,0,0,0,5.6,48,0,0,25,0,0.6,0,2.8,3,0,2,0,0,0,2982,0,-1,0,1,810,435,0,0,141,Brighton,Newcastle,Southampton,Tottenham,Burnley,2.4,2.1,2.3,2.2,2.7,0,5.4,2.3,2.6,2.2,3,1.7,2.8,2.4,2.8,4.1,1.9,3.4,3.4,3.2,2.1,1.9,2.7,1.5,3.8,1.8,23.9
,Adrian,GLK,LIV,4300000,0,2,0.166666666666667,3.87596899224806E-08,4.65116279069767E-07,0,49237,0,9,0,7,0,0,0,0.5,355,-2,0,2,2,0,0,0,0,0,0,0,0,0.4,48524,0,-1,0,0,180,196,0,0,28,Tottenham,Crystal Palace,West Brom,Newcastle,Southampton,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Sergio,Aguero,FWD,MCI,10300000,1,4,1.3,1.2621359223301E-07,3.88349514563107E-07,0,421216,0,1,0,0,0,0,0,0.4,795,-2,0,4,2,0,0,0.2,0,0,1,0,0,1.3,227634,0,-1,0,0,123,3097,0,0,17,West Brom,Southampton,Newcastle,Everton,Chelsea,1,0.6,0.8,0.6,0.6,0.9,1.2,0.6,1.2,0.7,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.6,0.7,0.8,0.7,0.6,0.8,0.7,0.8,6.6
Ola,Aina,DEF,FUL,4500000,6,34,3.4,7.55555555555556E-07,7.55555555555556E-06,0,15083,0,12,0,0,0,1,0,7.6,403,0,0,34,0,0.5,0,2.4,3,0,2,0,0,0.3,33368,0,-1,0,1,900,1096,0,0,160,Brighton,Newcastle,Southampton,Tottenham,Burnley,3.3,2.8,3.1,3,3.6,0,7.2,3.1,3.4,3,3.9,2.4,3.7,3.3,3.7,5,2.6,4.4,4.4,4.3,2.8,2.6,3.6,2,4.9,2.4,31.5
Rayan,Ait Nouri,DEF,WOL,5000000,0,20,1.66666666666667,3.33333333333333E-07,4E-06,0,27292,0,3,0,0,0,1,0,4,1092,0,0,20,0,0.1,0,0.6,3,0,1,0,0,0.2,39283,0,-1,0,1,274,89,0,0,64,Chelsea,Burnley,Tottenham,Man Utd,Brighton,0.9,1.2,0.9,1.9,1,0.8,1.6,0.8,1.1,1.4,0.9,0.8,0.8,0.9,1.6,1.8,1.5,1.3,1,1.2,1.2,1.1,1,0.9,0.8,1.5,18.1
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,5,21,1.8,3.75E-07,4.375E-06,0,21601,2,26,0,0,0,0,0,4.4,138,-2,0,21,2,0.6,0,2.8,1,0,1,0,1,0.2,8759,0,-1,0,0,1080,309,0,0,156,Man City,Aston Villa,Liverpool,Leeds United F.C.,Arsenal,1.6,1.3,1.3,0.9,1.6,0,2.8,2.3,1.6,1.2,1,1.8,1.3,1.2,0.9,1.1,1,0.9,1.2,1.1,1.7,1.9,1.6,2.1,1.6,1.1,25.7
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,-1,0,0,0,2,0,0,0,Crystal Palace,Chelsea,Brighton,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
