FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6224,0,0,0,0,0,0,0,0,4,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,West Ham,Liverpool,Arsenal,Leicester,Man City,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7100000,0,67,3.4,4.7887323943662E-07,9.43661971830986E-06,0,777679,0,12,0,0,0,6,0,9.4,723,-4,0,67,4,0,0,0,8,0,5,0,2,2,586433,0,-1,0,1,1014,723,0,0,223,Brighton,West Ham,Fulham,Man City,Arsenal,3.4,2.8,3.3,2.7,3.1,3.2,3.1,85.1
Che,Adams,FWD,SOU,5800000,2,112,3.6,6.20689655172414E-07,1.93103448275862E-05,0,1654631,1,47,0,0,0,7,0,19.3,15050,-2,0,112,2,0.2,0,1.3,11,0,7,0,6,4.6,1657077,0,-1,0,2,2269,3303,0,0,352,Tottenham,Leicester,Liverpool,Fulham,Leeds United F.C.,3.2,0,3.7,3.7,3.8,3.7,2.8,165.7
Tosin,Adarabioyo,DEF,FUL,4500000,2,94,3.4,7.55555555555556E-07,2.08888888888889E-05,0,72594,1,31,0,0,0,0,0,20.9,2483,0,0,94,0,0.2,0,1,11,0,9,0,1,0.7,118976,1,-1,0,1,2520,240,0,0,497,Arsenal,Chelsea,Burnley,Southampton,Man Utd,4.3,0,3.5,2.9,3,4.2,3.1,82.8
,Adrian,GLK,LIV,4200000,0,11,0.354838709677419,8.44854070660522E-08,2.61904761904762E-06,0,65365,0,9,0,10,0,0,0,2.6,174,-3,0,11,3,0,0,0,2,0,1,0,0,0.4,59591,0,-1,0,0,270,72,0,0,60,Leeds United F.C.,Newcastle,Man Utd,Southampton,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.9
Sergio,Aguero,FWD,MCI,10300000,0,17,1.9,1.84466019417476E-07,1.6504854368932E-06,0,542291,0,3,0,0,0,1,0,1.7,1686,-2,0,17,2,0.1,0,0.7,0,0,3,0,0,1.2,337464,0,-1,0,0,370,111,0,0,57,Aston Villa,Crystal Palace,Chelsea,Newcastle,Brighton,0,0,1.6,1,1.6,1.4,1.1,26.1
Ola,Aina,DEF,FUL,4500000,2,101,3.5,7.77777777777778E-07,2.24444444444444E-05,0,188244,2,32,0,0,0,2,0,22.4,9723,0,0,101,0,0.7,0,3,8,0,8,0,1,2.4,365240,0,-1,0,2,2513,2483,0,0,461,Arsenal,Chelsea,Burnley,Southampton,Man Utd,4.5,0,3.7,3,3.2,4.4,3.2,83.7
Rayan,Ait Nouri,DEF,WOL,5000000,6,48,1.54838709677419,3.09677419354839E-07,9.6E-06,0,49648,0,14,0,0,0,1,0,9.6,697,0,0,48,0,0.9,0,4.7,6,0,3,0,1,0.2,59839,0,-1,0,1,967,2334,0,0,203,Sheffield United,Burnley,West Brom,Brighton,Tottenham,1.2,0.9,1,1,0.9,0.9,1.2,42.3
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,0,43,1.7,3.54166666666667E-07,8.95833333333333E-06,0,50886,3,57,0,0,0,2,0,9,104,-2,0,43,2,0.1,0,0.7,2,0,1,0,1,0.2,36932,0,-1,0,0,2194,168,0,1,286,Leicester,Aston Villa,Wolverhampton,Arsenal,Liverpool,1.2,1.4,1.7,1.4,1.5,1.6,1.1,65.2
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,843,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Newcastle,Chelsea,Burnley,Everton,Brighton,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,MCI,5400000,0,21,0.65625,1.21527777777778E-07,3.88888888888889E-06,0,627086,4,8,0,0,0,1,0,3.9,226,-1,0,21,1,0,0,0,1,0,2,0,0,2.4,262810,0,-1,0,0,527,103,0,0,103,Aston Villa,Crystal Palace,Chelsea,Newcastle,Brighton,0.3,0,0.3,0.3,0.3,0.3,0.3,19.1
