FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,5000000,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0.1,215,0,-1,0,0,0,215,0,0,0,West Ham,Brighton,Tottenham,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7500000,0,0,0,0,0,0,9207,0,0,0,0,0,0,0,0,9207,0,0,0,0,0,0,0,0,0,0,0,0,4.7,2426,0,-1,0,0,0,2426,0,0,0,Brighton,Liverpool,West Brom,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6000000,2,2,0.0526315789473684,8.7719298245614E-09,3.33333333333333E-07,0,13786,0,1,0,0,0,0,0,0.3,13786,0,0,2,0,0.3,0,2,0,0,0,0,0,4.6,5497,0,-1,0,0,84,5497,0,0,3,Crystal Palace,Tottenham,Burnley,West Brom,Chelsea,0,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0,0,0.1,0.1,0.1,3.9
,Adrian,GLK,LIV,4500000,0,0,0,0,0,0,787,0,0,0,0,0,0,0,0,787,0,0,0,0,0,0,0,0,0,0,0,0,0.3,268,0,-1,0,0,0,268,0,0,0,Leeds United F.C.,Chelsea,Arsenal,Aston Villa,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,10500000,0,0,0,0,0,0,8299,0,0,0,0,0,0,0,0,8299,0,0,0,0,0,0,0,0,0,0,0,0,4.4,12571,0,-1,0,0,0,12571,0,0,0,Wolverhampton,Leicester,Leeds United F.C.,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,5000000,0,0,0,0,0,0,1657,1,3,0,0,0,0,0,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0.4,769,0,-1,0,0,90,769,0,0,2,Leicester,Everton,Chelsea,Southampton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,-1,0,0,0,34,0,0,0,Newcastle,Arsenal,Wolverhampton,Leicester,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,MCI,5500000,0,0,0,0,0,0,12057,0,0,0,0,0,0,0,0,12057,0,0,0,0,0,0,0,0,0,0,0,0,7.3,13045,0,-1,0,0,0,13045,0,0,0,Wolverhampton,Leicester,Leeds United F.C.,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc,Albrighton,MID,LEI,5500000,1,1,7.23362913010526E-29,1.31520529638278E-35,1.81818181818182E-07,0,690,0,0,0,0,0,0,0,0.2,690,0,0,1,0,0.2,0,1,0,0,0,0,0,0.2,517,0,-1,0,0,23,517,0,0,3,West Brom,Burnley,Man City,West Ham,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Toby,Alderweireld,DEF,TOT,5500000,2,2,0.0526315789473684,9.56937799043062E-09,3.63636363636364E-07,0,5343,0,1,0,0,0,0,0,0.4,5343,0,0,2,0,0.4,0,2,0,0,0,0,0,3,3708,0,-1,0,0,90,3708,0,0,12,Everton,Southampton,Newcastle,Man Utd,West Ham,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0,0.1,0.1,0,0.1,0.1,0,3
Trent,Alexander-Arnold,DEF,LIV,7500000,1,1,0.0263157894736842,3.50877192982456E-09,1.33333333333333E-07,0,96851,0,3,0,0,0,0,0,0.1,96851,0,0,1,0,0.1,0,1,0,0,0,0,0,53.4,10470,0,-1,0,0,88,10470,0,0,10,Leeds United F.C.,Chelsea,Arsenal,Aston Villa,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8
Ezgjan,Alioski,DEF,LEE,4500000,0,0,0,0,0,0,3172,0,0,0,0,0,0,0,0,3172,0,0,0,0,0,0,0,0,0,0,0,0,0.7,765,0,-1,0,0,0,765,0,0,0,Liverpool,Fulham,Sheffield United,Man City,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alisson,GLK,LIV,6000000,1,1,0.0263157894736842,4.3859649122807E-09,1.66666666666667E-07,0,30210,0,3,0,0,0,0,0,0.2,30210,0,0,1,0,0.2,0,1,0,0,0,0,0,12.5,4547,0,-1,0,0,90,4547,0,0,9,Leeds United F.C.,Chelsea,Arsenal,Aston Villa,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
,Allan,MID,EVE,5500000,3,3,0.0789473684210526,1.43540669856459E-08,5.45454545454545E-07,0,4805,0,0,0,0,0,0,0,0.5,4805,0,0,3,0,0.5,0,3,0,0,1,0,0,1.7,10596,0,-1,0,0,90,10596,0,0,16,Tottenham,West Brom,Crystal Palace,Brighton,Liverpool,0.1,0.1,0,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,2
