FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,3096,0,0,0,0,0,0,0,0,99,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1144,0,-1,0,0,0,36,0,0,0,Burnley,Man Utd,Wolverhampton,Everton,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7300000,5,12,4,5.47945205479452E-07,1.64383561643836E-06,0,160804,0,3,0,0,0,1,0,1.6,2589,-2,0,12,2,0.4,0,3,0,0,1,0,1,2.7,30469,0,-1,0,0,191,3525,0,0,38,Crystal Palace,Southampton,Man Utd,Burnley,Sheffield United,2.6,2,6,6,3,6,2.7,2,4.7,4.8,2,4.3,2,2,5.1,6,2,2.9,6,5.8,2,5,2.9,2,5.3,5.4,3.4,5.7,2,3.8,2.8,6,2,2,3.5,17.1
Che,Adams,FWD,SOU,5900000,2,10,2.5,4.23728813559322E-07,1.69491525423729E-06,0,191894,1,5,0,0,0,0,0,1.7,6052,-1,0,10,1,0.4,0,2.5,0,0,2,0,1,2.2,48171,0,-1,0,0,322,494,0,0,16,West Brom,Chelsea,Everton,Aston Villa,Newcastle,2.6,2.9,1.2,1.3,1.2,2,2.6,3.8,2.2,1.8,1.5,3.8,1.4,1.2,2.4,2.2,1.4,1.2,3.8,3.8,1.2,1.2,2,2.8,1.5,3.8,2.1,3.2,1.9,3.3,1.3,2.4,2.4,1.5,1.5,18.1
,Adrian,GLK,LIV,4500000,0,0,0,0,0,0,6265,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1889,0,-1,0,0,0,128,0,0,0,Aston Villa,Everton,Sheffield United,West Ham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,10400000,0,0,0,0,0,0,240223,0,0,0,0,0,0,0,0,2626,-1,0,0,1,0,0,0,0,0,0,0,0,1.4,56164,0,-1,0,0,0,119,0,0,0,Leeds United F.C.,Arsenal,West Ham,Sheffield United,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4900000,1,2,0.5,1.02040816326531E-07,4.08163265306122E-07,0,12065,1,13,0,0,0,0,0,0.4,285,-1,0,2,1,0.1,0,0.5,0,0,0,0,0,0.2,2569,0,-1,0,0,360,72,0,0,32,Southampton,Burnley,Brighton,Fulham,Tottenham,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.4,0.3,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,3.3
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,-1,0,0,0,6,0,0,0,Leicester,Tottenham,Man City,Liverpool,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,MCI,5500000,1,8,2.7,4.90909090909091E-07,1.45454545454545E-06,0,153438,1,6,0,0,0,1,0,1.5,20211,0,0,8,0,0.5,0,2.7,0,0,0,0,0,7.9,180836,0,-1,0,0,199,2498,0,0,37,Leeds United F.C.,Arsenal,West Ham,Sheffield United,Liverpool,2.2,1.4,2.5,3.1,2.4,3.3,1.4,1.4,4.1,1.6,2.4,1.4,1.6,3.9,1.4,2,3,1.8,3.2,4.1,1.4,2.2,1.6,2.4,3.3,1.5,2.4,1.4,4,1.4,3.5,1.4,3.7,3.3,1.4,9.3
Marc,Albrighton,MID,LEI,5400000,0,2,0.666666666666667,1.23456790123457E-07,3.7037037037037E-07,0,7172,0,0,0,0,0,0,0,0.4,218,-1,0,2,1,0.1,0,0.5,0,0,0,0,0,0.2,2406,0,-1,0,0,30,84,0,0,6,West Ham,Aston Villa,Arsenal,Leeds United F.C.,Wolverhampton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Toby,Alderweireld,DEF,TOT,5400000,0,2,0.666666666666667,1.23456790123457E-07,3.7037037037037E-07,0,89597,0,1,0,0,0,0,0,0.4,2162,-1,0,2,1,0.1,0,0.5,0,0,0,0,0,2,23496,0,-1,0,0,90,351,0,0,12,Man Utd,West Ham,Burnley,Brighton,West Brom,0.7,0.3,0.4,0.3,0.3,0.3,0.5,0.3,0.4,0.7,0.3,0.4,0.3,0.3,0.6,0.3,0.3,0.4,0.3,0.3,0.7,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,3
Trent,Alexander-Arnold,DEF,LIV,7500000,0,15,5,6.66666666666667E-07,2E-06,0,795857,1,4,0,0,0,0,0,2,15721,0,0,15,0,0.5,0,3.8,4,0,1,0,1,43.2,221534,0,-1,0,0,268,9882,0,0,68,Aston Villa,Everton,Sheffield United,West Ham,Man City,7.3,4.2,5.2,5,7.5,3.2,7.3,4.7,7.3,3.3,7.5,4.9,7.5,5.7,3.8,4.9,7.3,5.9,2.5,4.7,5.8,2.5,6.9,3.5,7.5,3.4,5.5,5.7,5.3,2.5,7.5,3,6.8,7.2,5.5,18.4
Ezgjan,Alioski,DEF,LEE,4400000,1,3,1,2.27272727272727E-07,6.81818181818182E-07,0,23194,0,1,0,0,0,0,0,0.7,578,-1,0,3,1,0.2,0,0.8,0,0,0,0,0,0.5,6192,0,-1,0,0,66,273,0,0,9,Man City,Wolverhampton,Aston Villa,Leicester,Crystal Palace,0.5,0.5,1,0.5,0.7,0.5,0.5,0.9,0.5,0.5,1.2,0.5,0.5,0.6,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.7,0.8,0.5,0.5,0.6,0.5,1.1,0.6,0.7,0.6,0.5,0.6,0.5,0.5,3.5
,Alisson,GLK,LIV,6000000,0,17,5.7,9.5E-07,2.83333333333333E-06,0,210200,0,4,0,5,0,0,0,2.8,5558,0,0,17,0,0.7,0,4.2,2,0,1,0,0,14.3,209474,0,-1,1,1,270,11037,0,0,66,Aston Villa,Everton,Sheffield United,West Ham,Man City,8.3,5.2,6.3,6,8.6,3.9,8.6,5.7,8.6,4.1,8.5,5.9,8.6,6.9,4.7,5.6,8.6,7.1,2.8,5.4,7,2.8,8.2,4.3,8.6,4.2,6.6,6.5,6.5,2.8,8.6,3.7,8,8.4,6.3,7.5
,Allan,MID,EVE,5500000,0,7,2.3,4.18181818181818E-07,1.27272727272727E-06,0,95850,0,3,0,0,0,0,0,1.3,9362,0,0,7,0,0.3,0,1.8,0,0,1,0,0,1.3,62867,0,-1,0,0,270,172,0,0,38,Brighton,Liverpool,Southampton,Newcastle,Man Utd,0,1.2,1.9,3,1.2,2.6,1.2,2.3,1.2,1.4,1.2,2.3,1.2,1.2,1.8,1.2,1.2,1.2,1.4,1.9,1.4,1.6,1.2,2.3,1.3,1.7,1.2,2.6,1.2,1.2,1.2,1.2,2.1,1.2,1.6,8.2
Bamidele,Alli,MID,TOT,7600000,0,1,0.333333333333333,4.3859649122807E-08,1.31578947368421E-07,0,217383,0,0,0,0,0,0,0,0.1,1218,-4,0,1,4,0,0,0.2,0,0,0,0,0,0.8,12803,0,-1,0,0,45,405,0,0,3,Man Utd,West Ham,Burnley,Brighton,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.1
Miguel,Almiron,MID,NEW,5900000,0,7,2.33333333333333,3.95480225988701E-07,1.1864406779661E-06,0,39913,0,2,0,0,0,0,0,1.2,1717,-1,0,7,1,0.3,0,1.8,0,0,0,0,1,0.7,14718,0,-1,0,0,126,231,0,0,33,Burnley,Man Utd,Wolverhampton,Everton,Southampton,1.2,1.2,2.3,1.2,2.5,1.2,1.6,1.7,1.2,1.9,1.2,2.1,1.2,1.2,2.9,1.7,1.2,1.9,1.2,1.2,2.9,2.5,1.2,2.2,1.2,3.2,1.2,2.8,1.2,2.1,1.2,1.9,1.2,1.2,3.2,14.8
Marcos,Alonso,DEF,CHE,5900000,0,2,0.7,1.1864406779661E-07,3.38983050847458E-07,0,96082,1,6,0,0,0,0,0,0.3,7792,-1,0,2,1,0.1,0,0.5,0,0,0,0,0,2.7,28673,0,-1,0,0,225,223,0,0,36,Crystal Palace,Southampton,Man Utd,Burnley,Sheffield United,0.4,0.4,0.8,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.4,0.5,0.4,0.4,0.4,0.8,0.4,0.4,0.7,8.5
