FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,4453,0,0,0,0,0,0,0,0,234,-1,0,0,1,0,0,0,0,0,0,0,0,0,1358,0,-1,0,0,0,1,0,0,0,Wolverhampton,Everton,Southampton,Chelsea,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,1,14,2.8,3.88888888888889E-07,1.94444444444444E-06,0,214964,0,4,0,0,0,1,0,1.9,6358,-3,1,14,3,0.3,0,2.3,0,0,1,0,1,2.3,54786,0,-1,0,0,211,867,-1,0,44,Man Utd,Burnley,Sheffield United,Newcastle,Tottenham,3.9,3.6,2.8,3.6,2.4,1.7,2.7,1.9,1.6,2.1,1.4,2.2,3.6,4.1,1.5,2.2,4,3.1,2,2.1,2,1.8,3.1,2.5,2.9,2.8,2.5,2.2,3,2.5,2.5,1.4,2,17.4
Che,Adams,FWD,SOU,5800000,8,29,4.8,8.27586206896552E-07,5E-06,0,263516,1,8,0,0,0,2,0,5,3498,-2,0,29,2,1.2,0,7,4,0,3,0,2,1.8,88717,0,-1,0,1,495,8937,0,0,87,Everton,Aston Villa,Newcastle,Wolverhampton,Man Utd,5,4,5.3,3.9,5.4,6.8,6.6,4.3,5.7,6.8,4.6,6.1,5.9,6.8,6.1,4.1,7.1,6.7,4.4,4.5,5.3,6,6.1,7.2,5.7,5.2,7.1,4.9,4,5,6.1,4.8,4.4,41.8
Tosin,Adarabioyo,DEF,FUL,4500000,1,3,0.6,1.33333333333333E-07,6.66666666666667E-07,0,245,0,3,0,0,0,0,0,0.7,42,0,0,3,0,0.3,0,1.5,0,0,0,0,0,0,921,0,-1,0,0,180,94,0,0,26,Crystal Palace,West Brom,West Ham,Everton,Leicester,0.3,0.3,0.3,0.3,0.4,0.5,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.8,0.3,4
,Adrian,GLK,LIV,4500000,0,2,0.4,8.88888888888889E-08,4.44444444444444E-07,0,21622,0,9,0,7,0,0,0,0.4,5848,0,0,2,0,0.1,0,0.5,0,0,0,0,0,0.7,41109,0,-1,0,0,180,984,0,0,28,Sheffield United,West Ham,Man City,Leicester,Brighton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,4.2
Sergio,Aguero,FWD,MCI,10400000,1,3,1.5,1.44230769230769E-07,2.88461538461538E-07,0,290188,0,1,0,0,0,0,0,0.3,26943,-1,0,3,1,0.1,0,0.8,0,0,1,0,0,2.6,192060,0,-1,0,0,109,4146,0,0,16,West Ham,Sheffield United,Liverpool,Tottenham,Burnley,0,0,1,1.6,0.9,1.2,1.5,1.2,0.8,0.8,0.9,0.8,1,1.3,0.9,1.1,1.4,0.8,1,0.8,0.8,0.8,1.7,0.8,1.4,0.8,0.8,0.8,1,0.8,1.4,1.4,0.8,5.8
Ola,Aina,DEF,FUL,4500000,1,5,1,2.22222222222222E-07,1.11111111111111E-06,0,622,0,4,0,0,0,0,0,1.1,135,0,0,5,0,0.4,0,1.7,0,0,0,0,0,0,1874,0,-1,0,0,270,246,0,0,49,Crystal Palace,West Brom,West Ham,Everton,Leicester,0.5,0.5,0.6,0.5,0.9,1,0.5,0.5,0.6,0.5,0.6,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,1.5,0.5,10.2
Rayan,Ait Nouri,DEF,WOL,5000000,0,0,0,0,0,0,953,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1635,0,-1,0,0,0,65,0,0,0,Newcastle,Crystal Palace,Leicester,Southampton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,2,4,0.8,1.66666666666667E-07,8.33333333333333E-07,0,15369,1,14,0,0,0,0,0,0.8,232,-2,1,4,2,0.2,0,1,0,0,0,0,0,0.2,3599,0,-1,0,0,450,83,-1,0,45,Brighton,Fulham,Tottenham,Man Utd,Sheffield United,0.4,0.4,0.4,1,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.4,0.4,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,4.2
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,539,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,-1,0,0,0,17,0,0,0,Man City,Liverpool,Fulham,Sheffield United,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
