FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Nathan,Ake,DEF,MCI,5400000,0,13,1.44444444444444,2.67489711934156E-07,2.40740740740741E-06,0,530046,2,6,0,0,0,1,0,2.4,5047,-1,0,13,1,0,0,0,0,0,1,0,0,3.6,249329,0,-1,0,0,289,417,0,0,57,Fulham,Man Utd,West Brom,Southampton,Newcastle,1,1.4,1.3,0.7,0.7,0.7,0.7,0.8,1.2,0.8,0.9,0.8,1,0.7,1.2,1.1,1.1,0.8,1.3,0.9,0.7,1.1,0.8,0.7,0.7,0.7,0.8,0.7,10.8
Marc,Albrighton,MID,LEI,5300000,5,13,1.3,2.45283018867925E-07,2.45283018867925E-06,0,12157,0,5,0,0,0,0,0,2.5,95,-2,0,13,2,0.4,0,2,0,0,0,0,1,0.1,3899,0,-1,0,0,350,146,0,0,63,Sheffield United,Brighton,Everton,Tottenham,Man Utd,1.2,0.6,0.6,0.7,0.6,0.6,1,0.6,0.6,0.8,0.6,0.8,0.7,0.6,0.7,0.6,0.8,0.7,1,0.6,0.6,0.7,0.6,0.6,0.6,0.7,0.7,0.6,16.7
Toby,Alderweireld,DEF,TOT,5400000,6,32,4.6,8.51851851851852E-07,5.92592592592593E-06,0,165368,0,5,0,0,0,0,0,5.9,1136,-1,0,32,1,0.9,0,4.8,3,0,4,0,0,1.5,59745,0,-1,0,0,620,3022,0,0,140,Arsenal,Crystal Palace,Liverpool,Leicester,Wolverhampton,5,5.6,6.3,3.5,6.3,4.9,3.2,6.9,5.9,5.9,5.9,3.2,5.6,6.4,6.3,4.4,5.4,6.9,4.1,5.7,4.8,4.8,6,4.3,6.2,5.6,4.4,6.2,21.3
Trent,Alexander-Arnold,DEF,LIV,7200000,1,22,2.4,3.33333333333333E-07,3.05555555555556E-06,0,3108829,1,16,0,0,0,0,0,3.1,11707,-3,0,22,3,0.1,0,0.8,4,0,1,0,1,13.2,397798,0,-1,0,0,712,9098,0,0,148,Wolverhampton,Fulham,Tottenham,Crystal Palace,West Brom,2.7,1.9,1.5,1.6,2.8,1.7,1.2,2.1,2.5,1.7,2,1.9,3.3,2,1.5,1.8,2.4,2,1.5,2.5,2.1,1.9,1.5,2.8,1.9,1.7,1.8,2.6,46.4
Ezgjan,Alioski,DEF,LEE,4400000,1,27,2.7,6.13636363636364E-07,6.13636363636364E-06,0,41935,0,8,0,0,0,0,0,6.1,927,-1,0,27,1,1.2,0,5.3,4,0,3,0,0,0.7,38012,0,-1,0,1,503,5376,0,0,108,Chelsea,West Ham,Newcastle,Man Utd,Burnley,2.5,2.1,1.4,4,1.7,2.8,2.8,1.6,1.5,2.7,3.1,1.4,2.3,3.7,3.1,1.7,3.1,1.4,2.9,1.7,3.6,2.8,2.2,2.9,1.4,2.9,1.9,2.4,26.5
,Alisson,GLK,LIV,5900000,0,32,4,6.77966101694915E-07,5.42372881355932E-06,0,836335,1,8,0,15,0,0,0,5.4,16193,-1,0,32,1,0.5,0,2.8,3,0,2,0,0,6.5,282489,0,-1,1,1,720,425,0,0,144,Wolverhampton,Fulham,Tottenham,Crystal Palace,West Brom,0,0,3.4,3.7,5.6,3.8,2.6,4.5,5.2,3.8,4.4,4.2,5.9,4.3,3.4,4,5,4.3,3.5,5.2,4.5,4.3,3.4,5.6,4.2,3.9,4,5.4,17.3
,Allan,MID,EVE,5300000,2,17,1.7,3.20754716981132E-07,3.20754716981132E-06,0,143122,4,16,0,0,0,0,0,3.2,1345,-2,0,17,2,0.3,0,1.7,0,0,1,0,0,0.9,79716,0,-1,0,0,898,345,0,0,121,Burnley,Chelsea,Leicester,Arsenal,Sheffield United,1.3,0.8,1.1,0.8,1.6,0.8,0.8,0.9,1,0.8,0.9,1.3,1,1,0.8,1,1,1.1,1,0.8,1.2,0.8,1.2,0.8,0.9,1.4,1,0.8,27.2
Bamidele,Alli,MID,TOT,7400000,0,2,0.2,2.7027027027027E-08,2.7027027027027E-07,0,242256,0,0,0,0,0,0,0,0.3,508,-6,0,2,6,0,0,0,0,0,0,0,0,0.6,18842,0,-1,0,0,66,160,0,0,8,Arsenal,Crystal Palace,Liverpool,Leicester,Wolverhampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.8
Miguel,Almiron,MID,NEW,5600000,0,18,1.8,3.21428571428571E-07,3.21428571428571E-06,0,66769,1,7,0,0,0,0,0,3.2,407,-4,0,18,4,0.4,0,2,0,0,2,0,1,0.4,19547,0,-1,0,0,482,330,0,0,69,West Brom,Leeds United F.C.,Fulham,Man City,Liverpool,0,1.2,1.6,0.9,0.9,0.9,0.9,1.9,1.5,0.9,1.3,0.9,1,1.2,1.2,0.9,1.3,0.9,1.4,0.9,1.6,0.9,0.9,0.9,1.4,0.9,1.3,1.3,27.9
Marcos,Alonso,DEF,CHE,5700000,0,2,0.2,3.50877192982456E-08,3.50877192982456E-07,0,181692,1,6,0,0,0,0,0,0.4,1430,-3,0,2,3,0,0,0,0,0,0,0,0,1.6,38654,0,-1,0,0,225,215,0,0,36,Leeds United F.C.,Everton,Wolverhampton,West Ham,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.5
Steven,Alzate,MID,BHA,4400000,0,9,0.9,2.04545454545455E-07,2.04545454545455E-06,0,99660,1,11,0,0,0,0,0,2,1025,-1,0,9,1,0,0,0,0,0,1,0,0,0.7,114071,0,-1,0,0,350,136,0,0,59,Southampton,Leicester,Fulham,Sheffield United,West Ham,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,16.1
Daniel,Amartey,DEF,LEI,3900000,0,0,0,0,0,0,93237,1,4,0,0,0,0,0,0,705,-1,0,0,1,0,0,0,0,0,0,0,0,0.8,41373,0,-1,0,0,144,185,0,0,19,Sheffield United,Brighton,Everton,Tottenham,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
Ethan,Ampadu,DEF,SHU,4400000,0,8,0.8,1.81818181818182E-07,1.81818181818182E-06,0,48717,0,6,0,0,0,0,0,1.8,499,-1,0,8,1,0.2,0,0.7,0,0,0,0,0,0.4,16111,0,-1,0,0,364,43,0,0,55,Leicester,Southampton,Man Utd,Brighton,Everton,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,11.7
