FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,5997,0,0,0,0,0,0,0,0,4,-2,0,0,2,0,0,0,0,0,0,0,0,0,1549,0,-1,0,0,0,1,0,0,0,Sheffield United,Arsenal,Aston Villa,Leeds United F.C.,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,0,60,4.3,5.97222222222222E-07,8.33333333333333E-06,0,459207,0,9,0,0,0,6,0,8.3,5597,-3,0,60,3,0.7,0,4.8,8,0,5,0,2,3.3,367593,0,-1,0,1,777,34504,0,0,216,Fulham,Leicester,Wolverhampton,Burnley,Tottenham,0,10.2,5.1,4.6,4.4,5.4,5.3,3.8,4.6,4.3,4.7,4.4,5.6,5.3,5.2,4.2,5.4,3.7,4.3,4.4,4.5,77
Che,Adams,FWD,SOU,6000000,0,70,4.4,7.33333333333333E-07,1.16666666666667E-05,0,928664,1,18,0,0,0,4,0,11.7,28388,0,0,70,0,0.3,0,2,9,0,6,0,5,6.7,1094865,0,-1,0,1,1346,6499,0,0,232,Leicester,Arsenal,Aston Villa,Man Utd,Newcastle,0,5.3,4.7,4.2,4.9,5.3,5.4,4.9,4.7,5.3,5.6,4.3,5,5.4,6.5,0,4.8,4.3,5.8,4.9,4,98.6
Tosin,Adarabioyo,DEF,FUL,4500000,2,40,3.3,7.33333333333333E-07,8.88888888888889E-06,0,14585,1,13,0,0,0,0,0,8.9,1082,0,0,40,0,1.3,0,6,5,0,3,0,1,0.4,39333,0,-1,0,1,1080,2895,0,0,205,Tottenham,Chelsea,Man Utd,Brighton,West Brom,2.9,6.8,3.1,3.8,2.9,4.1,2.8,3.3,3.4,3.5,4.7,2.9,4,4.5,4,0,2.5,3.5,2.3,3.8,2.7,33.1
,Adrian,GLK,LIV,4200000,0,2,0.117647058823529,2.80112044817927E-08,4.76190476190476E-07,0,55655,0,9,0,7,0,0,0,0.5,267,-3,1,2,3,0,0,0,0,0,0,0,0,0.4,51393,0,-1,0,0,180,167,-1,0,28,Man Utd,Burnley,Tottenham,West Ham,Brighton,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Sergio,Aguero,FWD,MCI,10300000,0,6,1.2,1.16504854368932E-07,5.8252427184466E-07,0,474728,0,2,0,0,0,0,0,0.6,6750,-2,0,6,2,0.1,0,0.6,0,0,1,0,0,1.4,286359,0,-1,0,0,140,35,0,0,20,Brighton,Crystal Palace,Aston Villa,West Brom,Sheffield United,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0,0.7,0.6,0.7,0.7,0.6,10.4
Ola,Aina,DEF,FUL,4500000,2,44,3.4,7.55555555555556E-07,9.77777777777778E-06,0,32086,0,14,0,0,0,1,0,9.8,1013,0,0,44,0,0.9,0,4,3,0,3,0,0,0.5,58713,0,-1,0,1,1170,1161,0,0,217,Tottenham,Chelsea,Man Utd,Brighton,West Brom,3,7.1,3.2,4,3.1,4.3,3,3.5,3.5,3.7,4.9,3,4.1,4.7,4.1,0,2.6,3.7,2.4,4,2.9,40.6
Rayan,Ait Nouri,DEF,WOL,5000000,6,30,1.76470588235294,3.52941176470588E-07,6E-06,0,36425,0,11,0,0,0,1,0,6,368,0,0,30,0,0.4,0,2,5,0,1,0,1,0.2,45055,0,-1,0,1,618,920,0,0,130,Everton,West Brom,Chelsea,Crystal Palace,Arsenal,1,1.7,0.9,1.2,1.5,1.1,0.9,1.1,0.9,1.5,1.9,1.8,1.7,1.2,1.3,1.4,1.4,1.2,1,1,1.5,33.3
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,0,31,1.9,3.95833333333333E-07,6.45833333333333E-06,0,28350,2,39,0,0,0,1,0,6.5,297,-2,0,31,2,0.6,0,3,2,0,1,0,1,0.2,17957,0,-1,0,0,1440,396,0,0,202,Wolverhampton,West Ham,Man City,Fulham,Sheffield United,0,3.6,2.4,1.7,1.3,1.3,1.5,1.3,1.2,1,1.6,1,1.1,1.2,1.6,1.9,2,1.9,2,1.7,1.2,38
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,789,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,-1,0,0,0,4,0,0,0,Burnley,West Brom,Crystal Palace,Liverpool,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
