FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6226,0,0,0,0,0,0,0,0,1,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Liverpool,Arsenal,Leicester,Man City,Sheffield United,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7100000,1,68,3.2,4.50704225352113E-07,9.57746478873239E-06,0,778740,0,12,0,0,0,6,0,9.6,372,-4,0,68,4,0,0,0.2,8,0,5,0,2,2,587027,0,-1,0,1,1017,183,0,0,221,West Ham,Fulham,Man City,Arsenal,Leicester,2.6,3,2.5,2.9,2.8,2.9,85.9
Che,Adams,FWD,SOU,5800000,0,112,3.6,6.20689655172414E-07,1.93103448275862E-05,0,1684139,1,47,0,0,0,7,0,19.3,4455,-2,0,112,2,0.2,0,1.3,11,0,7,0,6,4.3,1660967,0,-1,0,2,2269,1669,0,0,352,Leicester,Liverpool,Fulham,Leeds United F.C.,West Ham,0,3.7,3.7,3.9,3.6,2.8,165.7
Tosin,Adarabioyo,DEF,FUL,4500000,0,94,3.4,7.55555555555556E-07,2.08888888888889E-05,0,76936,1,31,0,0,0,0,0,20.9,427,0,0,94,0,0.2,0,1,11,0,9,0,1,0.6,119539,1,-1,0,1,2520,270,0,0,497,Chelsea,Burnley,Southampton,Man Utd,Newcastle,0,3.5,2.8,3.1,4.3,3.1,82.8
,Adrian,GLK,LIV,4200000,0,11,0.34375,8.18452380952381E-08,2.61904761904762E-06,0,65632,0,9,0,10,0,0,0,2.6,83,-3,0,11,3,0,0,0,2,0,1,0,0,0.3,59670,0,-1,0,0,270,24,0,0,60,Newcastle,Man Utd,Southampton,West Brom,Burnley,0.2,0.2,0.2,0.2,0.2,0.2,5.9
Sergio,Aguero,FWD,MCI,10300000,0,17,1.9,1.84466019417476E-07,1.6504854368932E-06,0,545159,0,3,0,0,0,1,0,1.7,209,-2,0,17,2,0.1,0,0.7,0,0,3,0,0,1.2,337980,0,-1,0,0,370,345,0,0,57,Crystal Palace,Chelsea,Newcastle,Brighton,Everton,0,1.5,1,1.6,1.4,1.1,26.1
Ola,Aina,DEF,FUL,4400000,0,101,3.5,7.95454545454545E-07,2.29545454545455E-05,0,206740,2,32,0,0,0,2,0,23,1533,-1,1,101,1,0.7,0,3,8,0,8,0,1,2.2,371076,0,-1,0,2,2513,2745,-1,0,461,Chelsea,Burnley,Southampton,Man Utd,Newcastle,0,3.7,2.9,3.2,4.4,3.3,83.7
Rayan,Ait Nouri,DEF,WOL,5000000,0,48,1.5,3E-07,9.6E-06,0,50739,0,18,0,0,0,1,0,9.6,329,0,0,48,0,0.7,0,3.5,6,0,3,0,1,0.2,63589,0,-1,0,1,1057,247,0,0,215,Burnley,West Brom,Brighton,Tottenham,Everton,0.9,0.9,1,0.8,0.8,1.2,45.2
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,1,45,1.6,3.33333333333333E-07,9.375E-06,0,51111,3,59,0,0,0,2,0,9.4,70,-2,0,45,2,0.2,0,1,2,0,1,0,1,0.2,37139,0,-1,0,0,2329,92,0,1,291,Aston Villa,Wolverhampton,Arsenal,Liverpool,West Ham,1.2,1.6,1.3,1.4,1.5,1,67.7
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Chelsea,Burnley,Everton,Brighton,West Brom,0,0,0,0,0,0,0
