FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,5397,0,0,0,0,0,0,0,0,39,-2,0,0,2,0,0,0,0,0,0,0,0,0,1447,0,-1,0,0,0,10,0,0,0,Chelsea,Crystal Palace,Aston Villa,West Brom,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,9,36,4.5,6.25E-07,5E-06,0,244003,0,5,0,0,0,3,0,5,1773,-3,0,36,3,1,0,7.3,5,0,3,0,2,2.4,96180,0,-1,0,0,467,10538,0,0,125,Newcastle,Tottenham,Leeds United F.C.,Everton,Wolverhampton,6.2,3.4,4,5.5,3.9,3.9,5.2,3.1,4.4,6.2,5.8,4.2,3.8,6.1,6.4,5.3,4.3,4,5.1,6.1,5.2,5.5,5.6,4.8,4,5.8,5.3,3.7,3.6,5.7,54.4
Che,Adams,FWD,SOU,5900000,0,41,5.1,8.64406779661017E-07,6.94915254237288E-06,0,329599,1,11,0,0,0,3,0,6.9,7044,-1,0,41,1,0.8,0,5,5,0,4,0,3,4.7,359069,0,-1,0,1,675,11115,0,0,134,Wolverhampton,Man Utd,Brighton,Sheffield United,Arsenal,3.6,5.9,5.8,7.2,5.1,6.3,5.7,5.7,7,6.1,6.3,5.5,4.8,6.9,6.2,6.1,5.2,5.3,6.2,6.7,6.2,5.6,5.7,7.6,5.2,5.3,5,7.6,5.9,3.7,55.1
Tosin,Adarabioyo,DEF,FUL,4500000,1,12,2.4,5.33333333333333E-07,2.66666666666667E-06,0,812,0,7,0,0,0,0,0,2.7,50,0,0,12,0,0.7,0,3,0,0,1,0,0,0,1763,0,-1,0,0,450,43,0,0,74,Everton,Leicester,Man City,Liverpool,Brighton,1.5,2.4,2.9,2.8,1.7,1.6,1.9,2.1,2.4,2.8,1.4,1.7,2,1.5,2.3,1.2,1.9,1.8,2.3,3,1.4,2.5,2.7,2.5,1.2,1.5,1.7,1.2,3.6,1.6,11.3
,Adrian,GLK,LIV,4400000,0,2,0.25,5.68181818181818E-08,4.54545454545455E-07,0,41415,0,9,0,7,0,0,0,0.5,570,-1,0,2,1,0,0,0,0,0,0,0,0,0.4,44040,0,-1,0,0,180,231,0,0,28,Leicester,Brighton,Wolverhampton,Fulham,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Sergio,Aguero,FWD,MCI,10300000,0,3,1.5,1.45631067961165E-07,2.9126213592233E-07,0,395382,0,1,0,0,0,0,0,0.3,637,-2,0,3,2,0,0,0,0,0,1,0,0,1.2,197090,0,-1,0,0,109,2826,0,0,16,Tottenham,Burnley,Fulham,Man Utd,West Brom,1.2,0.8,1.1,1.5,1,0.8,1,1,0.8,0.9,1.4,1.1,1.1,1.2,0.9,0.8,0.9,0.8,0.8,1.1,0.8,1.3,0.8,1.1,1,1.1,0.8,1.3,1.1,0.9,5.8
Ola,Aina,DEF,FUL,4500000,1,23,3.8,8.44444444444444E-07,5.11111111111111E-06,0,5659,0,8,0,0,0,1,0,5.1,702,0,0,23,0,1.3,0,6,3,0,1,0,0,0.3,20228,0,-1,0,1,540,1385,0,0,107,Everton,Leicester,Man City,Liverpool,Brighton,3.1,4.6,5,5.2,3.5,3.4,3.8,4.2,4.7,4.5,3.1,3.6,4,3.1,4.5,2.6,3.9,3.8,4.5,5.1,2.9,4.8,5.1,4.8,2.6,3.1,3.5,2.3,5.7,3.4,22.1
Rayan,Ait Nouri,DEF,WOL,5000000,0,17,2.125,4.25E-07,3.4E-06,0,10029,0,1,0,0,0,1,0,3.4,1314,0,0,17,0,0.8,0,4.2,3,0,1,0,0,0.3,26940,0,-1,0,1,165,184,0,0,45,Southampton,Arsenal,Liverpool,Aston Villa,Chelsea,0,2,1.8,1.4,1.2,1.9,1.1,3.1,1.3,1.3,2,1.1,1.4,1.9,1.3,1.1,1.2,1.2,2,2.4,2.4,2,1.4,1.7,1.5,1.5,1.4,1.6,1.1,2.5,8.8
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,2,9,1.1,2.29166666666667E-07,1.875E-06,0,17819,1,18,0,0,0,0,0,1.9,147,-2,0,9,2,0.4,0,1.8,0,0,0,0,0,0.2,4624,0,-1,0,0,720,161,0,0,89,Man Utd,Sheffield United,Crystal Palace,Newcastle,Man City,1.4,0.6,0.8,0.6,1,0.6,0.7,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.9,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.8,0.6,0.6,13.3
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,663,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,-1,0,0,0,4,0,0,0,Sheffield United,Aston Villa,Man Utd,Leeds United F.C.,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
