FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6215,0,0,0,0,0,0,0,0,2,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Burnley,West Ham,Liverpool,Arsenal,Leicester,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7100000,0,67,3.4,4.7887323943662E-07,9.43661971830986E-06,0,775666,0,12,0,0,0,6,0,9.4,777,-4,0,67,4,0,0,0,8,0,5,0,2,2,584644,0,-1,0,1,1014,320,0,0,223,Crystal Palace,Brighton,West Ham,Fulham,Man City,3.6,3.6,2.7,3.3,2.6,3.2,3.1,3,85.1
Che,Adams,FWD,SOU,5800000,0,109,3.8,6.55172413793103E-07,1.87931034482759E-05,0,1599875,1,45,0,0,0,7,0,18.8,14881,-2,0,109,2,0.5,0,3,11,0,7,0,6,5.2,1647674,0,-1,0,2,2165,3755,0,0,345,West Brom,Tottenham,Leicester,Liverpool,Fulham,3.9,3.5,0,3.9,4.1,4.1,4,3,160
Tosin,Adarabioyo,DEF,FUL,4500000,0,92,3.4,7.55555555555556E-07,2.04444444444444E-05,0,64981,1,30,0,0,0,0,0,20.4,2090,0,0,92,0,0.2,0,0.8,11,0,9,0,1,0.8,117976,1,-1,0,1,2430,304,0,0,483,Wolverhampton,Arsenal,Chelsea,Burnley,Southampton,4.3,4.3,0,3.4,2.9,3.1,4.2,3.2,80.4
,Adrian,GLK,LIV,4200000,0,11,0.366666666666667,8.73015873015873E-08,2.61904761904762E-06,0,64910,0,9,0,10,0,0,0,2.6,137,-3,0,11,3,0,0,0,2,0,1,0,0,0.4,59365,0,-1,0,0,270,70,0,0,60,Aston Villa,Leeds United F.C.,Newcastle,Man Utd,Southampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.9
Sergio,Aguero,FWD,MCI,10300000,0,17,1.9,1.84466019417476E-07,1.6504854368932E-06,0,526358,0,3,0,0,0,1,0,1.7,4719,-2,0,17,2,0.3,0,2.7,0,0,3,0,0,1.4,337245,0,-1,0,0,370,207,0,0,57,Leeds United F.C.,Aston Villa,Crystal Palace,Chelsea,Newcastle,0,1.2,0,1.5,1.1,1.6,1.4,1.2,26.1
Ola,Aina,DEF,FUL,4500000,6,99,3.5,7.77777777777778E-07,2.2E-05,0,166342,2,31,0,0,0,2,0,22,3585,0,0,99,0,0.5,0,2.2,8,0,8,0,1,2.5,356422,0,-1,0,2,2423,3770,0,0,451,Wolverhampton,Arsenal,Chelsea,Burnley,Southampton,4.5,4.4,0,3.6,3,3.2,4.4,3.3,82.8
Rayan,Ait Nouri,DEF,WOL,5000000,7,42,1.4,2.8E-07,8.4E-06,0,48485,0,14,0,0,0,1,0,8.4,82,0,0,42,0,0.5,0,2.7,6,0,2,0,1,0.1,53103,0,-1,0,1,877,1086,0,0,180,Fulham,Sheffield United,Burnley,West Brom,Brighton,1,1,0.8,0.9,0.9,0.7,0.7,1.1,39
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,0,42,1.7,3.54166666666667E-07,8.75E-06,0,50467,3,57,0,0,0,2,0,8.8,85,-2,0,42,2,0.1,0,0.5,2,0,1,0,1,0.2,36538,0,-1,0,0,2189,111,0,1,282,Southampton,Leicester,Aston Villa,Wolverhampton,Arsenal,1.1,1.2,1.4,1.7,1.5,1.4,1.6,1.1,65
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Leicester,Newcastle,Chelsea,Burnley,Everton,0,0,0,0,0,0,0,0,0
