FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Steven,Alzate,MID,BHA,4400000,0,9,0.818181818181818,1.85950413223141E-07,2.04545454545455E-06,0,101867,1,11,0,0,0,0,0,2,450,-1,0,9,1,0,0,0,0,0,1,0,0,0.7,114335,0,-1,0,0,350,44,0,0,59,Leicester,Fulham,Sheffield United,West Ham,Arsenal,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,16.1
Daniel,Amartey,DEF,LEI,3900000,0,0,0,0,0,0,94602,1,4,0,0,0,0,0,0,186,-1,0,0,1,0,0,0,0,0,0,0,0,0.8,41756,0,-1,0,0,144,108,0,0,19,Brighton,Everton,Tottenham,Man Utd,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
Ethan,Ampadu,DEF,SHU,4300000,1,9,0.818181818181818,1.90274841437632E-07,2.09302325581395E-06,0,49573,0,9,0,0,0,0,0,2.1,101,-2,0,9,2,0.2,0,0.8,0,0,0,0,0,0.4,16437,0,-1,0,0,454,65,0,0,63,Southampton,Man Utd,Brighton,Everton,Burnley,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.5,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,11.7
Joachim,Andersen,DEF,FUL,4500000,0,12,1.09090909090909,2.42424242424242E-07,2.66666666666667E-06,0,565,0,7,0,0,0,0,0,2.7,17,0,0,12,0,0.2,0,1,0,0,1,0,0,0,1006,0,-1,0,0,450,26,0,0,74,Liverpool,Brighton,Newcastle,Southampton,Tottenham,1,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.7,1.1,0.5,0.7,0.9,0.8,0.5,0.5,0.6,0.5,1,0.5,8.2
Elliot,Anderson,MID,NEW,4500000,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,-1,0,0,0,32,0,0,0,West Brom,Leeds United F.C.,Fulham,Man City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,4800000,0,0,0,0,0,0,28875,0,0,0,0,0,0,0,0,20,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,11656,0,-1,0,0,0,10,0,0,0,Leicester,Fulham,Sheffield United,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Andre Gomes,MID,EVE,5400000,1,14,1.27272727272727,2.35690235690236E-07,2.59259259259259E-06,0,37221,1,7,0,0,0,0,0,2.6,79,-1,0,14,1,0.2,0,1.2,0,0,2,0,0,0.2,20733,0,-1,0,0,453,51,0,0,44,Chelsea,Leicester,Arsenal,Sheffield United,Man City,0.6,0.7,0.6,1,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.6,0.6,0.6,0.7,0.7,0.6,0.7,0.6,0.7,0.6,0.6,0.9,0.7,0.6,13.1
,Anguissa,MID,FUL,4500000,0,28,2.5,5.55555555555556E-07,6.22222222222222E-06,0,191000,1,15,0,0,0,0,0,6.2,1102,0,0,28,0,0.6,0,2.5,2,0,1,0,2,2,263644,0,-1,0,0,833,1979,0,0,161,Liverpool,Brighton,Newcastle,Southampton,Tottenham,1.6,1.8,2.2,2,1.6,2.3,1.2,1.6,2,1.8,1.5,1.7,1.8,2.8,1.3,1.2,1.7,1.6,1.7,2.2,2,1.4,1.8,2.4,1.4,1.7,1.7,46.7
Faustino,Anjorin,MID,CHE,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-1,0,0,0,4,0,0,0,Everton,Wolverhampton,West Ham,Arsenal,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail,Antonio,FWD,WHU,6200000,0,28,4,6.45161290322581E-07,4.51612903225806E-06,0,724257,1,9,0,0,0,3,0,4.5,993,-3,0,28,3,0,0,0.2,5,0,2,0,0,1.8,147157,0,-1,0,0,526,134,0,0,78,Leeds United F.C.,Crystal Palace,Chelsea,Brighton,Southampton,0,0,0,4.5,3.5,4.7,4.9,4.4,5.1,4.9,4.5,5.2,5.1,3.3,3.3,3.5,5.2,3.8,3.5,3.7,5.4,3,4.7,4.1,5.4,4.4,4.1,52.4
Alphonse,Areola,GLK,FUL,4500000,0,27,2.7,6E-07,6E-06,0,89008,0,18,0,39,0,0,0,6,469,0,0,27,0,0.3,0,1.5,0,0,1,0,0,1.3,69733,0,-1,0,0,900,451,0,0,175,Liverpool,Brighton,Newcastle,Southampton,Tottenham,3.7,2.2,2,2.1,2.2,2.4,3,1.8,2.3,2.4,2,2.8,1.8,2.4,2.3,2.9,3.8,1.8,3,3.3,3.1,1.9,2,2.6,1.4,3.6,1.6,29.5
Stuart,Armstrong,MID,SOU,5500000,8,43,4.3,7.81818181818182E-07,7.81818181818182E-06,0,47567,0,10,0,0,0,2,0,7.8,927,0,0,43,0,0.6,0,3.5,2,0,5,0,2,0.7,68482,0,-1,0,1,870,543,0,0,149,Sheffield United,Arsenal,Man City,Fulham,West Ham,6,4.4,4.3,4,4.2,4.1,4.5,4.3,4.7,3.1,3.8,4.7,5.2,4,4,5.4,4.5,3.6,5.6,4,4.4,2.6,3.8,2.4,5.2,4,3.6,39.8
Kepa,Arrizabalaga,GLK,CHE,4700000,0,6,0.545454545454545,1.1605415860735E-07,1.27659574468085E-06,0,161831,0,6,0,8,0,0,0,1.3,186,-3,0,6,3,0,0,0,0,0,0,0,0,0.6,43704,0,-1,0,0,270,20,0,0,40,Everton,Wolverhampton,West Ham,Arsenal,Aston Villa,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,5
Christian,Atsu,MID,NEW,5200000,0,0,0,0,0,0,5814,0,0,0,0,0,0,0,0,8,-3,0,0,3,0,0,0,0,0,0,0,0,0,898,0,-1,0,0,0,4,0,0,0,West Brom,Leeds United F.C.,Fulham,Man City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick,Aubameyang,MID,ARS,11500000,0,37,3.4,2.95652173913043E-07,3.21739130434783E-06,0,2986328,2,14,0,0,0,2,0,3.2,5083,-5,0,37,5,0.2,0,1.8,1,0,3,0,1,9.2,477699,0,-1,0,0,986,863,0,0,123,Burnley,Southampton,Everton,Chelsea,Brighton,3.5,2.9,3.3,2.3,3.6,3.3,2.6,2.5,2.6,1.8,2.9,3.1,2.3,2.5,3.6,4,2,3,2.4,4.5,3.2,2.6,3.9,3.6,3.2,2.5,2.7,58.9
Serge,Aurier,DEF,TOT,5200000,1,33,3,5.76923076923077E-07,6.34615384615385E-06,0,298028,0,4,0,0,0,1,0,6.3,1887,-3,0,33,3,1,0,5,2,0,3,0,1,1.9,168132,0,-1,0,0,461,319,0,0,136,Crystal Palace,Liverpool,Leicester,Wolverhampton,Fulham,0,3.8,2,3.4,2.9,1.8,3.9,3.1,3.9,3.2,1.8,3.2,4,3.6,2.6,3,4,2,2.8,3,2.5,3.3,2.4,3.2,3.4,2.3,3.5,25.9
Charlie,Austin,FWD,WBA,5100000,1,1,0.0909090909090909,1.7825311942959E-08,1.96078431372549E-07,0,64853,0,1,0,0,0,0,0,0.2,87,-4,0,1,4,0,0,0.2,0,0,0,0,0,0.2,12112,0,-1,0,0,45,111,0,0,2,Newcastle,Man City,Aston Villa,Liverpool,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
Jordan,Ayew,FWD,CRY,5700000,0,25,2.8,4.91228070175439E-07,4.3859649122807E-06,0,442636,0,9,0,0,0,1,0,4.4,1048,-3,0,25,3,0.2,0,1.2,2,0,2,0,1,1.7,117527,0,-1,0,0,600,352,0,0,67,Tottenham,West Ham,Liverpool,Aston Villa,Leicester,2.1,1.9,3.2,2.3,2.4,3.3,2.4,1.6,2.1,2.6,3,2.7,2.8,3,3.5,2.2,3.3,2.4,2.5,1.9,1.7,2.8,2.5,3,1.8,2.5,2.1,25
Luke,Ayling,DEF,LEE,4500000,1,30,2.5,5.55555555555556E-07,6.66666666666667E-06,0,245703,2,22,0,0,0,0,0,6.7,1967,0,0,30,0,0.7,0,3.2,1,0,4,0,0,3.9,255123,0,-1,0,0,1059,2208,0,0,215,West Ham,Newcastle,Man Utd,Burnley,West Brom,2,1.2,3.6,1.8,2.5,2.4,1.4,1.4,2.2,2.8,1.2,2.1,3.2,2.7,1.6,2.9,1.2,2.6,1.7,3.2,2.9,2.1,2.5,1.2,2.6,1.6,2.3,56.6
Cesar,Azpilicueta,DEF,CHE,5700000,0,17,1.54545454545455,2.71132376395534E-07,2.98245614035088E-06,0,407780,1,3,0,0,0,0,0,3,1393,-3,0,17,3,0,0,0,0,0,2,0,1,2.8,77519,0,-1,0,0,320,94,0,0,72,Everton,Wolverhampton,West Ham,Arsenal,Aston Villa,0.8,1.2,1,1.5,0.8,1.6,1.3,1.2,1.3,0.9,1,1.1,0.8,0.8,1.1,0.8,1.1,1.4,1.2,1.1,0.8,1.3,1.1,1.5,1.1,0.8,1.5,14.4
Eric,Bailly,DEF,MUN,4900000,0,-1,-0.1,-2.04081632653061E-08,-2.04081632653061E-07,0,20803,1,7,0,0,0,0,0,-0.2,36,-1,0,-1,1,0,0,0,0,0,0,0,0,0.2,8462,0,-1,0,0,98,27,0,0,11,Man City,Sheffield United,Leeds United F.C.,Leicester,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Fabian,Balbuena,DEF,WHU,4400000,2,38,3.8,8.63636363636364E-07,8.63636363636364E-06,0,59191,1,11,0,0,0,1,0,8.6,1228,-1,0,38,1,0.6,0,2.8,0,0,4,0,0,2.1,188975,0,-1,0,0,900,7152,0,0,159,Leeds United F.C.,Crystal Palace,Chelsea,Brighton,Southampton,4.3,4.5,3.7,3.4,2.8,3.4,4.8,4,4.2,5.4,5.1,4.4,3.8,3,4.8,2.9,5.7,4.6,4.5,3.2,3.8,2.9,4.3,2.8,4.2,4.3,3.3,28
George,Baldock,DEF,SHU,5100000,1,19,1.6,3.13725490196078E-07,3.72549019607843E-06,0,258875,1,21,0,0,0,0,0,3.7,908,-4,0,19,4,0.3,0,1.5,0,0,0,0,1,1.4,41188,0,-1,0,0,1080,56,0,0,139,Southampton,Man Utd,Brighton,Everton,Burnley,0.8,1.3,1.1,0.8,1.1,1.1,0.8,0.8,1.8,1.5,1.4,0.8,1.3,1.2,1.7,0.8,1.2,0.9,1.1,1.3,1.2,0.8,1,1.2,0.8,0.9,1.1,45.8
Gareth,Bale,MID,TOT,9400000,0,13,1.18181818181818,1.25725338491296E-07,1.38297872340426E-06,0,135893,0,3,0,0,0,1,0,1.4,768,-1,0,13,1,0,0,0,3,0,1,0,0,0.5,156641,0,-1,0,0,115,149,0,0,33,Crystal Palace,Liverpool,Leicester,Wolverhampton,Fulham,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.8,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.7,13.8
Patrick,Bamford,FWD,LEE,6200000,5,75,6.2,1E-06,1.20967741935484E-05,0,1240903,1,20,0,0,0,8,0,12.1,4482,7,0,75,-7,0.7,0,4.2,11,0,4,0,3,39,3515441,0,-1,0,1,1013,34416,0,0,242,West Ham,Newcastle,Man Utd,Burnley,West Brom,5.6,6.5,9.3,7.2,8.5,8.5,6.8,6.8,9.3,9.3,6.9,7.8,8.9,7.3,4.9,7.8,5.2,8.7,7.2,7.1,8,6.2,9.3,5.5,9,7.4,7.9,100.9
Phil,Bardsley,DEF,BUR,4500000,0,1,0.1,2.22222222222222E-08,2.22222222222222E-07,0,37296,2,8,0,0,0,0,0,0.2,104,0,0,1,0,0,0,0,0,0,0,0,0,0.2,10681,0,-1,0,0,270,1,0,0,24,Arsenal,Aston Villa,Wolverhampton,Leeds United F.C.,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1
Ross,Barkley,MID,AVL,5900000,0,32,3.55555555555556,6.02636534839925E-07,5.42372881355932E-06,0,417153,0,9,0,0,0,2,0,5.4,2412,-1,0,32,1,0.1,0,0.3,4,0,2,0,1,1.4,462930,0,-1,0,1,494,131,0,0,116,Wolverhampton,Burnley,West Brom,Crystal Palace,Chelsea,0,0,3.8,2.3,3.7,3.7,1.8,2.4,4.5,3.1,2.2,2.5,4.1,1.9,4.3,3,4.4,5,3,2.5,2.3,3.4,3.9,1.8,3,3.6,2.1,57.8
Ashley,Barnes,FWD,BUR,6000000,0,12,1.7,2.83333333333333E-07,2E-06,0,13933,1,12,0,0,0,0,0,2,100,0,0,12,0,0.1,0,0.8,0,0,2,0,0,0.1,9309,0,-1,0,0,476,55,0,0,13,Arsenal,Aston Villa,Wolverhampton,Leeds United F.C.,Sheffield United,1.2,1.2,1.1,1.4,1.5,1.6,1,0.9,0.8,1,1,1.3,1.4,1.4,1.1,1,1.3,1,0.8,1.1,1.5,0.8,0.8,1.5,0.9,1.4,1.6,26.6
